sample_name	box	host_subject_id	tube_id	cage_id	condition	collection_timepoint	dob	dod	host_age	host_age_units	collection_disease_stage	cohort	dam	sire	mouse_strain	sex	elevation	elevation_units	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	host_body_habitat	host_body_product	host_body_site	host_common_name	host_scientific_name	host_taxid	iacuc_institute	iacuc_protocol_id	latitude	latitude_units	life_stage	longitude	longitude_units	sample_type	scientific_name	taxon_id	title	NASH_score	NASH_category	condition_ZT	NASH_category_new	steatosis_grade	fibrosis_stage	steatosis_grade_new	fibrosis_stage_new
19R.T1	4	19R	19R.ZT1	STZ_19	FA	ZT1	1921.01.22	1921.04.15	8	weeks	TRF	NASH	C57_12L	C57_12M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	3	NASH	FA_ZT1	pre-NASH	1	1	1+	1+
20N.T1	4	20N	20N.ZT1	STZ_20	FA	ZT1	1921.01.20	1921.04.16	8	weeks	TRF	NASH	C57_1N	C57_1M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	1	Non_NASH	FA_ZT1	pre-NASH	0	1	0	1+
21L.T1	4	21L	21L.ZT1	STZ_21	NA	ZT1	1921.01.20	1921.04.16	8	weeks	TRF	NASH	C57_9N	C57_9M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	1	not_applicable	NA_ZT1	pre-NASH	0	0	none	none
21R.T1	4	21R	21R.ZT1	STZ_21	NA	ZT1	1921.01.22	1921.04.16	8	weeks	TRF	NASH	C57_13N	C57_13M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	2	not_applicable	NA_ZT1	pre-NASH	0	0	none	none
22L.T1	4	22L	22L.ZT1	STZ_22	NA	ZT1	1921.01.21	1921.04.16	8	weeks	TRF	NASH	C57_11L	C57_11M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	1	not_applicable	NA_ZT1	pre-NASH	0	0	none	none
22N.T1	4	22N	22N.ZT1	STZ_22	NA	ZT1	1921.01.20	1921.04.15	8	weeks	TRF	NASH	C57_3L	C57_3M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	2	not_applicable	NA_ZT1	pre-NASH	0	0	none	none
23N.T1	5	23N	23N.ZT1	STZ_23	NA	ZT1	1921.01.20	1921.04.16	8	weeks	TRF	NASH	C57_3L	C57_3M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	1	not_applicable	NA_ZT1	pre-NASH	0	0	none	none
24L.T1	5	24L	24L.ZT1	STZ_24	NA	ZT1	1921.01.21	1921.04.16	8	weeks	TRF	NASH	C57_11L	C57_11M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	1	not_applicable	NA_ZT1	pre-NASH	0	0	none	none
13L.T2	5	13L	13L.ZT13	STZ_13	FT	ZT13	1921.01.20	1921.04.15	8	weeks	TRF	NASH	C57_4N	C57_4M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	3	NASH	FT_ZT13	pre-NASH	1	1	1+	1+
13N.T2	5	13N	13N.ZT13	STZ_13	FT	ZT13	1921.01.19	1921.04.15	8	weeks	TRF	NASH	C57_12N	C57_12M	C57BL/6	M	193	meters	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	feces	host-associated	USA:CA: San Diego	UBERON:feces	UBERON:feces	UBERON:feces	Mouse	Mus musculus	10090	UCSD	S16285	32.842	Decimal degrees	adult	-117.258	Decimal degrees	feces	mouse gut metagenome	410661	STAM/TRF	4	NASH	FT_ZT13	pre-NASH	2	0	1+	0
