mtb 7378 m/z 265.25 Suspect related to Spectral Match to Palmitelaidic acid from NIST14 (predicted molecular formula: C18H32O) with delta m/z 10.021 (putative explanation: Ser->Pro substitution; atomic difference: 2C,2H,-1O)	mtb 6097 m/z 265.25 Suspect related to 1-Oleoyl-2-acetyl-sn-glycerol (predicted molecular formula: C18H34O2) with delta m/z -116.047 (putative explanation: unspecified; atomic difference: unspecified)	mtb 269 m/z 279.13 Suspect related to Spectral Match to Ile-Pro from NIST14 (predicted molecular formula: C14H18N2O4) with delta m/z 49.982 (putative explanation: Leu/Ile->Tyr substitution; atomic difference: 3C,-2H,1O)	mtb 5341 m/z 279.23 Suspect related to NCGC00095546-02!2,4-dihydroxyheptadec-16-enyl acetate (predicted molecular formula: C18H32O3) with delta m/z -32.026 (putative explanation: nan (reverse); atomic difference: -1C,-4H,-1O)	mtb 6837 m/z 282.28 Suspect related to trans-Vaccenic acid (predicted molecular formula: C18H37NO2) with delta m/z 17.027 (putative explanation: replacement of proton with ammonium ion; atomic difference: 3H,1N)	mtb 1683 m/z 283.11 Suspect related to Spectral Match to L-Tryptophan from NIST14 (predicted molecular formula: C11H14N4O5) with delta m/z 78.01 (putative explanation: unspecified|unspecified; atomic difference: 3C,3N|5C,2H,1O)	mtb 4493 m/z 300.29 Suspect related to Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14 (predicted molecular formula: unknown) with delta m/z -39.0 (putative explanation: unspecified; atomic difference: unspecified)	mtb 1953 m/z 310.17 Massbank:PB006006 Sinapine|2-[(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoyl]oxyethyl-trimethylazanium	mtb 7565 m/z 310.31 Suspect related to Spectral Match to 13-Docosenamide, (Z)- from NIST14 (predicted molecular formula: unknown) with delta m/z -28.015 (putative explanation: unspecified; atomic difference: unspecified)	mtb 3949 m/z 355.26 Suspect related to 7-alpha-hydroxy cholesterol (predicted molecular formula: C24H38O4) with delta m/z -12.073 (putative explanation: unspecified; atomic difference: unspecified)	mtb 6556 m/z 355.28 Suspect related to Spectral Match to Linoleic acid ethyl ester from NIST14 (predicted molecular formula: C21H38O4) with delta m/z 46.005 (putative explanation: formic acid adduct; atomic difference: 1C,2H,2O)	mtb 4505 m/z 357.28 Suspect related to ""(R)-4-((1R,3S,5R,8S,9S,10S,13R,14S,17R)-1,3-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"" (predicted molecular formula: C24H38O3) with delta m/z -18.011 (putative explanation: Dehydration|Pyro-glu from E|carbodiimide crosslinker; atomic difference: -2H,-1O|-2H,-1O|-2H,-1O)	mtb 6987 m/z 359.3 Suspect related to 13S-Hydroxy-9Z,11E,15Z-octadecatrienoic acid (predicted molecular formula: C24H40O3) with delta m/z 82.078 (putative explanation: unspecified; atomic difference: 6C,10H)	mtb 7776 m/z 362.34 Suspect related to h_31_mesterolone (predicted molecular formula: C24H43NO) with delta m/z 57.093 (putative explanation: unspecified; atomic difference: unspecified)	mtb 8320 m/z 385.35 Spectral Match to (+)-4-Cholesten-3-one from NIST14	mtb 5688 m/z 390.3 Suspect related to Deoxycholic acid (predicted molecular formula: C24H41NO4) with delta m/z 15.011 (putative explanation: ADP-ribosylation followed by conversion to hydroxamic acid via hydroxylamine|Leu/Ile->Lys substitution|Tyrosine oxidation to 2-aminotyrosine|unspecified; atomic difference: 1H,1N|1H,1N|1H,1N|1H,1N)	mtb 1546 m/z 407.24 FruLeuIle	mtb 3962 m/z 407.28 ""Candidate Tetrahydroxylated bile acid (delta mass -18.01; sirius atomic difference: -2H, -1O; buddy atomic difference: -2H, -1O; spectral library match to CCMSLIB00005465782, """"(R)-4-((1R,3S,5S,7R,8S,9S,10S,12S,13R,14S,17R)-1,3,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"""")""	mtb 4167 m/z 407.28 ""Candidate Tetrahydroxylated bile acid (delta mass -18.0105; sirius atomic difference: -2H, -1O; buddy atomic difference: -2H, -1O; spectral library match to CCMSLIB00006581917, """"3alpha,7alpha-dihydroxy-12-oxo-5beta-cholanic acid"""")""	mtb 7658 m/z 429.37 Suspect related to Spectral Match to (+)-.alpha.-Tocopherol from NIST14 (predicted molecular formula: unknown) with delta m/z -2.007 (putative explanation: O isotope (reverse)|O18 Labeling (reverse); atomic difference: -(18)O|1O,-1O[18])	mtb 2212 m/z 432.28 Suspect related to Spectral Match to Hexaethylene glycol from NIST14 (predicted molecular formula: C19H37N5O6) with delta m/z 149.105 (putative explanation: unspecified; atomic difference: unspecified)	mtb 2333 m/z 438.24 NCGC00179905-02!(E)-3-(4-methoxyphenyl)-1-[2,4,6-trimethoxy-3-(3-methylbut-2-enyl)phenyl]prop-2-en-1-one	mtb 5866 m/z 471.35 Enoxolone
-0.837988853226126	-0.780018543974351	-0.0293475409622844	-0.390294379860326	-0.848232586548039	0.787598270034462	-0.686689506322259	0.269454681197536	-0.168173058463765	0.981713391778436	0.356293185722264	0.405533439151397	0.287500873291433	-0.83961910964769	-0.600351903845401	0.802043858866654	0.987814632782922	0.458436791132413	0.625211772173671	-0.896554158859635	0.320142584184487	-0.107889776359732	-0.446148420502567
-0.633633111049846	-0.320952657828087	0.711320734767904	-0.796989756208525	-0.742800282982255	0.581408399509058	0.1084418346841	0.398898174149799	0.144356044425145	0.316885378488551	-0.36488887764867	0.22959118730073	0.934417460211675	-0.847083239913628	-0.598198790865977	-0.073992008078672	0.45532872650448	-0.59624539607826	-0.17376117072557	-0.770608213106444	-0.526545746913942	-0.931259565263353	0.606192983600259
0.727253565284407	0.48220969681931	-0.495141762666371	0.559305674521952	0.791301150793479	-0.710639128286797	-0.310499150114525	-0.666941913108526	-0.451806186072819	-0.224489355512127	0.128048662077969	0.0866058105669168	-0.782867707355908	0.751421308982882	0.32686303043211	0.216339110345874	-0.353812499879658	0.607048934254082	-0.0038773499598581	0.664477575319912	0.706999454803644	0.938524442004667	-0.576000043638319
0.716141942791262	0.426218385327015	-0.628008349403963	0.745376217571381	0.810853248238069	-0.670093703215737	-0.0910272609641212	-0.480091529492357	-0.202608553208989	-0.376133739053883	0.25692443725688	-0.178855894538065	-0.890421337291338	0.873469956957424	0.564929491105331	0.0312989545023187	-0.508003063584918	0.534402005504219	0.0619377292521867	0.802403122563304	0.524179559980023	0.911161637959103	-0.534597252734475
-0.162600101533748	-0.50404121729823	-0.985936458806332	0.822973621648059	-0.000760847123130129	0.234139865972401	-0.197047746944775	0.28676422978216	0.285517786479059	0.211665255921032	0.938528328566362	-0.463736459473433	-0.861326820632237	0.335668157838767	0.574848757651497	0.342925165692827	0.0828308056643935	0.784604713551567	0.851021138773005	0.25151276457689	0.350670756364404	0.707968009154094	-0.854011674677649
0.526635122962843	0.792654207760674	0.863783658790851	-0.588617395053772	0.384487283371181	-0.581216763652096	0.286469217365155	-0.499431952199141	-0.344511933322601	-0.49389625638252	-0.979274586796487	0.379558293427885	0.59960575174977	0.0421814283659492	-0.347634950174382	-0.479139699279268	-0.39821300557278	-0.742293082805152	-0.987532512919931	0.118642971609474	-0.25932543291788	-0.455805901803237	0.814792167291583
-0.82518853758948	-0.604120078141211	0.421924955437603	-0.736137811890986	-0.902988815698853	0.755016558105195	-0.437759568113991	0.291125905953764	-0.128189888943093	0.809302968743045	-0.0431272407629314	0.474678720831788	0.715988757603515	-0.998095327486243	-0.774621611306082	0.508846650992897	0.888281784260528	-0.020778053412243	0.243836510978379	-0.997166585489941	-0.0167329992411969	-0.551169516909176	0.0467633647493256
-0.32290521318441	-0.538586952371499	-0.661987169740753	0.310981155696512	-0.234877227025757	0.320445574450693	-0.766418154641057	-0.0341513001665608	-0.257349405727624	0.716840308477617	0.70150023799441	0.178828684380023	-0.522356973852818	-0.120030150757509	-0.068006245727973	0.861439809776884	0.603938105848064	0.97302247938823	0.80488887099939	-0.241852231557084	0.75278533792419	0.683312555458075	-0.973899846178764
0.669244166032007	0.653462461636732	0.101214520021357	0.327985220005798	0.675293984441857	-0.611465051964221	0.851185379080274	-0.043541067549519	0.370666628776922	-0.99596713216243	-0.345176109358528	-0.528755946191753	-0.141050624075909	0.713571230095523	0.616127537536636	-0.93276164642539	-0.971766549292296	-0.638126326491178	-0.608788376560929	0.798117620374163	-0.562302016190635	-0.127857313045061	0.606767114704499
0.968980559516247	0.826474168004932	-0.158424891927676	0.410923287800658	0.986083145667332	-0.954112014734912	0.0448374482099195	-0.736347247055213	-0.390427253947211	-0.610737859623111	-0.2620476943305	0.0381038916004752	-0.551482571963004	0.864353843187845	0.355952243094762	-0.204339402295211	-0.689720605787098	0.142896734723609	-0.452123437764533	0.833503428028655	0.388518000785016	0.654270506369707	-0.103786109143419
0.438511496380917	0.725318623768429	0.899208422813218	-0.636052457736852	0.292437807976254	-0.493667983592502	0.31504578344982	-0.417498296129149	-0.288334358258861	-0.460903024676577	-0.973205242021513	0.361668756561693	0.671082738485168	-0.0384380452066071	-0.374702666489281	-0.493719841748879	-0.353277894664666	-0.792988145532537	-0.967479717790546	0.0458935595004283	-0.330662907621334	-0.547349966605957	0.860606767150194
0.223586080415636	0.0702661537839749	-0.392721195023501	0.688160642611448	0.320160804987962	-0.117542307921751	0.89399335782146	0.494819166166994	0.822350617407794	-0.773682350404613	0.280865324658846	-0.943469313029834	-0.412385777310511	0.63215673823413	0.916704258777536	-0.823946373746213	-0.782014544247397	-0.374666542318678	0.00370818784576558	0.699832543943341	-0.66975620912258	-0.0599360883047591	0.274627980582061
