# Constructed from biom file
#OTU ID	13L.N2	13L.T1	13L.T2	13N.N1	13N.N2	14R.N2	13N.T2	17N.N2	18R.N2	13L.N1	15L.T2	21L.N2	19R.T2	13N.T1	14R.T1	17R.T2	22N.N2	21R.T2	17N.T1	14L.N1	18R.T1	20N.N1	18L.N1	23N.T2	22L.N1	16R.N1	21L.T1	14R.T2	14L.N2	20N.N2	22N.T1	17N.T2	18L.N2	18R.T2	16R.N2	24L.N1	22L.N2	15L.N1	21L.T2	24L.N2	19R.N1	14L.T1	17R.N1	20N.T1	16R.T1	18L.T1	21R.N1	22N.T2	15L.N2	22L.T1	19R.N2	17R.N2	16R.T2	21R.N2	18L.T2	14L.T2	24L.T1	23N.N1	20N.T2	15L.T1	18R.N1	17R.T1	19R.T1	22L.T2	21L.N1	14R.N1	23N.N2	21R.T1	17N.N1	22N.N1	24L.T2	23N.T1
b44621e5c80607cdfacbf7a81e1cbe41	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2.190039473768824	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7fee9350277038eef98dee70b4190563	1.0838885582129576	1.501880626923394	0.6257737471096165	-0.02716295002556457	0.6788404099803209	1.4447467521041464	2.0403536572606233	1.94824382480813	nan	0.5825492484709569	2.280540316383628	nan	1.1869355328095805	0.6291201208734654	2.5641002223772356	1.411137419466412	nan	-1.668105807264106	2.013683607632915	1.2774913287376037	3.639075862479893	1.1997510247419516	2.2733622862788616	nan	-1.9007170845563044	0.7655176785162174	nan	1.1064157720974972	2.0619817122067126	1.864114954751555	-2.492388072711597	2.939354213561712	2.5731939566151487	1.0899336880126445	1.7445588961516556	nan	-1.680859637575776	1.1520857229686463	nan	nan	-0.5473042342890428	1.0874406358827642	3.447281097935082	1.3665607866507523	0.29899013753606685	2.444935266430204	nan	nan	1.2068626770848807	nan	0.8458419789724703	2.6728567435127752	-0.14469831333649807	nan	3.712781845520662	1.0538877751789109	-2.6586129980708293	nan	1.861767877941566	1.279798677584493	-1.0493085842529455	0.5111616128250853	1.3377577238435716	nan	nan	1.235316056821338	nan	nan	0.45813623714466445	nan	nan	nan
d6f3a6808f1fb78039f2583994b3f739	nan	nan	nan	nan	nan	-0.9888666032963034	-1.2677533013355191	nan	nan	nan	1.2219333623292172	0.3910536553339101	nan	nan	1.7243495676254144	-0.7700868165233645	0.92705077424006	1.901426889217264	-1.021269379074357	nan	nan	nan	nan	1.3918483322434412	-1.9007170845563044	-0.4582577531058982	-1.366288796059548	nan	-0.4321415926862118	nan	1.7842780463044594	-1.007070218583765	nan	nan	0.835188607122074	-0.005943067872674845	0.5878239037425894	-1.412863634492889	0.5358320439491004	1.9771987256622765	-1.8465872184193035	-1.2151444571112826	nan	nan	-1.0509365794129488	nan	-0.9592500631231875	1.9521243204284104	-0.42455414206799436	-0.9235047547893762	nan	nan	nan	2.4898329512046935	-0.9967483557916719	-0.3811967501104121	-1.5600007094027184	0.07331024661772911	nan	-0.8719635256749685	nan	-1.8242133029919518	nan	2.2352698561550985	nan	nan	1.5119666352140175	nan	nan	0.25646000505339295	nan	-0.6481472985276717
3008058d9758761fb9975d832d7a035e	nan	nan	nan	-2.2784547486320603	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2a75f0b7741e4b22a9843daf1e4c10a4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.8615784724850961	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.3303161138533328	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
be9fb1d1571f6b8907d5dc9591060e0c	-0.19240490769260532	nan	nan	nan	-1.4006011316995153	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2.0594359766194934	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2.31375674577939	-1.0799275465832965	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b474eab56e9f3cfb7bbb6e2e77feab2b	nan	nan	nan	nan	nan	nan	nan	0.5106561693006899	nan	nan	nan	0.49113711389089243	1.142483770238747	nan	nan	nan	nan	nan	-0.6847971424531449	nan	1.411998321993992	nan	1.1408484459350712	nan	nan	nan	nan	nan	nan	nan	nan	-0.19614000236743756	0.7727008074183388	0.17364295613848935	-1.4334949341962897	nan	nan	nan	nan	-1.6863629204673707	nan	nan	0.4782170714632521	nan	0.8098157613020573	1.4641060134184771	nan	nan	nan	-2.1762677232847443	-1.987371365083746	1.182422123140288	-0.057686936346867945	nan	2.3354561543835315	nan	nan	nan	nan	nan	nan	nan	0.8369824359310822	nan	-1.9987470679150254	nan	nan	-1.4198250575412183	1.0426495767018134	nan	nan	nan
896cab88673c4f58419e196d0a3546cd	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.9633209836561036	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2.0594359766194934	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2.086324745683938	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.3827891494409608	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7962fd1e48eb3ee4290fa19840f3c1c5	1.2145087406300217	3.748895868762629	2.998563098776911	1.0714493386425445	1.8380773204648655	3.2306411018798027	1.6039263235484924	2.2936050088465896	-2.4866078410254095	3.192159376759915	-2.0167450898351627	nan	2.4642396102210657	1.4574420798016634	4.393038694847045	1.1126444309104153	-1.9633209836561036	-0.4153428387687379	1.339584622043664	3.7179462159547705	0.9236455540800597	2.3770555819857258	0.41260994556385544	-0.8594434663630555	nan	3.7748821008602667	nan	2.8247080894436793	3.523366524681673	2.9707272860867415	-1.7992408921516514	1.6496866881308936	-0.09229663006826616	0.29142599179487316	2.6211843716333796	-0.9222337997468291	-2.086324745683938	3.301160956407283	nan	nan	2.758582967568787	2.5065248198256462	0.5783005300202353	3.320464583386811	nan	0.6839474558689034	-0.0837813257692881	-1.5136115823713157	2.6563359398263033	-2.8694149038446897	2.602685183094297	0.9952105810521417	nan	nan	nan	1.267461875476969	nan	-0.9563091705634292	3.4362743724915554	nan	-2.4356029453728345	1.4592010430138211	2.8214262489886393	nan	nan	4.021698101193454	-1.6660871951339287	-1.825290165649382	1.922208299307239	-0.3031557828820288	-1.0701930438635712	nan
134247c006461307f308091f8be9a687	nan	nan	nan	nan	nan	-2.5983045157304048	nan	-1.0474884487458613	-1.7934606604654642	nan	nan	nan	nan	nan	nan	-0.7700868165233645	nan	nan	-2.6307072915084584	nan	-1.2735790232561577	nan	-1.533300203491458	nan	-1.9007170845563044	nan	nan	nan	nan	nan	nan	-1.7002173991437104	nan	nan	nan	nan	-1.1700340138097838	nan	nan	nan	nan	nan	-0.8567839952690877	nan	nan	-0.8666499565422638	nan	nan	nan	-0.23035757422943082	nan	-1.43253765489591	nan	nan	-0.9967483557916719	nan	nan	nan	nan	nan	nan	nan	-1.7532847295147445	nan	nan	nan	nan	nan	0.3329730941906579	0.04515091138618654	nan	nan
520146f24409cd6ca7d957109aba38d5	0.9062073809755047	1.4463107757685831	2.027105985594048	1.7905720056057506	1.3719875905402663	-0.9888666032963034	1.0009302399828446	-0.8243448974316507	-1.3879955523573004	0.4841091756577045	1.0967702193752107	nan	0.4493365896788015	1.2256404657443385	0.7258207375142876	1.175823332531948	-0.4592435868798308	nan	-0.8389478222804021	-0.65403008286561	nan	-1.7446879544244878	0.41260994556385544	nan	-0.10895761532824899	-1.5568700417740065	-1.653970868511328	0.25074966203977667	-1.0199282575883313	-0.6088155039897298	nan	-1.7002173991437104	nan	1.8397762122491352	-0.4526656811845635	nan	0.3560222896852654	-1.412863634492889	-2.6422217863988458	nan	-0.17261078484763281	0.45883197646039076	-0.8567839952690877	-0.6371689332933874	-0.6942616354742164	-2.8125601055975773	nan	nan	nan	-1.0776554346166352	0.2098532122524741	-0.4517084018841846	-1.8494464055749233	nan	-0.709066283339892	0.9538043166219285	-2.6586129980708293	nan	-0.3970145923940862	0.3807994428203987	-1.742455764812889	1.0845075935724102	-0.9059868691275419	-1.4452413482883228	nan	-0.34286931210865834	nan	-2.5184373462093275	-0.0724920139175067	-0.5908378553338096	-0.8878714870696163	nan
