row ID	130.mzML Peak area	131.mzML Peak area	132.mzML Peak area	133.mzML Peak area	134.mzML Peak area	135.mzML Peak area	136.mzML Peak area	40.mzML Peak area	41.mzML Peak area	42.mzML Peak area	43.mzML Peak area	44.mzML Peak area	45.mzML Peak area	46.mzML Peak area
12	5200439.423	2942963.1	3278545.323	444104.7179	1739690.188	2597903.872	2002765.508	4196041.583	3678061.076	994311.8898	1112848.841	2120401.395	2130139.112	3766447.737
13	1525.774176	3148074.949	1352800.429	1287501.09	1050819.51	2421206.64	597095.6834	768.3336831	1777.520795	478.091545	1093.565953	1288.786992	6727.579316	1192.85556
14	4119.910836	3560879.77	2167552.363	1282960.267	1068857.664	1834826.896	236006.6816	3036.499638	7993.355673	5048.237598	4013.566245	3332.628905	27500.37239	5789.641063
15	2498498.303	2425746.457	4328786.14	1359093.428	7137118.572	3038804.452	913023.3599	4236786.663	2441987.327	19400000	3949832.609	3831351.045	2501696.624	1343827.174
16	179577.1505	5433473.611	4935457.255	2609935.019	1824796.772	1816283.287	801766.5463	6358.875665	63261.95034	8233.072693	23876.2764	6217.471173	144043.3316	13103.33001
17	51823.84386	8583781.632	4466313.285	2504277.763	2213111.99	8587682.779	426583.621	218615.2686	129196.3224	461066.0781	551627.7576	128192.2144	238638.9955	173224.707
18	80407.356	593292.9345	389119.95	231035.6163	360812.2725	2564836.911	68404.41767	1058954.508	1661633.103	1509737.656	1947268.587	306227.1452	300368.3909	118167.0923
19	4559665.82	4524135.562	4527560.996	3825559.696	3425681.487	4448422.362	3701131.84	4547426.505	3782154.32	3918174.273	4444745.843	4234863.939	4415110.071	5126881.281
20	111903.3555	71300000	5e+07	11600000	8593465.954	69800000	2938397.143	11350.10021	58275.54473	3668.173516	7073.774944	6964.954946	404058.4368	17113.0645
21	312685.7188	3277305.345	1070347.527	262538.9798	244792.1616	319265.1354	102329.238	410146.0004	806149.191	732589.596	969524.2735	441290.3404	1277120.315	729472.9649
22	637358.3743	5352045.767	1191818.389	498981.6985	527510.4965	721442.5285	345169.6754	578475.2688	1152051.438	1365094.504	1650486.4	575917.5293	2312013.991	1411710.264
23	3369.380392	5578809.801	1397501.456	717008.5312	626195.5897	4175882.363	265736.3744	14414.11569	3276.935764	1938.804416	7627.143219	4591.207077	39624.96729	8736.489515
24	320854.8739	303454.1711	335791.0564	370901.2881	496595.7904	812410.4954	462306.3048	328023.6747	309969.1792	564382.3158	84408.17317	437753.3789	355537.7712	433869.5566
25	389764.1265	1731558.107	806003.3044	283032.5749	1248046.669	5176915.262	432548.0688	5723569.197	5179249.72	5512877.357	8173292.967	1517016.491	946189.834	185241.7236
26	1600721.352	1583145.967	2830265.028	909554.4704	4659128.733	1933619.185	659523.1463	2763953.553	1595922.654	12800000	2546867.065	2507694.041	1617000.494	864044.8553
27	66871.70273	9793378.551	3987925.436	2412457.225	1793249.276	2185823.3	302877.6786	111236.2254	547404.967	116118.5977	315761.5775	380896.401	91004.61551	122755.5474
28	259478.7968	82968.3327	124051.8275	269679.6774	171915.8424	134449.3276	41193.28686	334450.1292	97318.61493	34827.67584	142288.3654	2099.98602	357689.8675	134521.3964
29	5673.020424	13400000	8307009.189	1277291.721	978884.125	12100000	352007.3121	0	6540.682454	0	732.5474923	0	43351.81428	0
30	1102590.412	848670.7669	1081804.597	825216.7771	808516.299	855244.1646	840597.4801	1010232.02	989202.9019	919293.2698	1021589.934	1000041.557	1130563.986	1215871.847
31	754429.7101	2454569.991	2114018.705	799753.532	806901.4853	2505535.437	1147983.991	944037.831	1001185.206	240376.3644	266088.8472	719043.8417	3597149.255	1285480.494
32	2544.051982	2823516.133	2226547.619	1406353.107	1145301.291	1784212.105	389362.5355	0	1832.507877	0	0	0	41845.77828	0
33	4709.756271	7463145.615	3480424.603	1363942.342	1286473.577	2672725.384	387281.5117	3222.485362	6937.528076	5027.108186	3820.382585	3082.002308	12171.87011	2592.862249
