row ID	113.mzML Peak area	114.mzML Peak area	115.mzML Peak area	116.mzML Peak area	117.mzML Peak area	118.mzML Peak area	119.mzML Peak area	120.mzML Peak area	121.mzML Peak area	122.mzML Peak area	123.mzML Peak area	29.mzML Peak area	30.mzML Peak area	31.mzML Peak area	32.mzML Peak area	33.mzML Peak area
1	5.56163082694345	9.00535238044987	9.65915366398469	15.4574311562575	15.8655236869408	13.9489514241924	14.6117643822235	14.6935630358613	15.2128915081074	13.5665124682683	14.1178707509685	13.2409580261251	7.26954403825534	15.5023362208767	7.41398798075272	8.01580725268066
2	9.72827600597928	10.8081100404718	11.0848927440597	11.2131462449744	10.9323540982456	9.44862627248175	11.6494306653893	12.0520487251245	11.1178570261383	12.056318703704	11.8983190797373	11.1433112361502	10.6629442545837	11.1395598794963	11.3032592880781	11.3054075761737
3	14.0030323335456	14.8991233358142	12.3107460837183	11.8752706283932	13.48170352639	12.6472493196368	11.7881216600371	12.9692464201201	12.0499952821179	12.4426050555964	12.4934777943441	13.2730901709026	13.6051093892221	12.804711180795	13.5746103459649	13.2244483637257
4	14.820281852845	15.2682683798178	12.0701984997272	11.8752706283932	13.3149710417628	12.4510214007328	12.2434646428557	12.8613029643837	12.5042025433158	12.4426050555964	12.9162382791804	13.4650759786166	14.497786083158	13.0723004637111	14.7267162112237	14.1700475287584
5	17.4535018587277	18.2203689386078	18.2114633853859	16.7708907939999	18.259777323166	17.5126976512356	15.153310289172	15.8678409331873	17.3838676708907	18.3719280575791	14.8222616466941	18.6442573554689	17.8127109696945	18.8360749627601	17.5054296507716	16.3683672256273
6	14.8112217979977	14.7608527495939	14.0800044444531	14.6260968911816	14.9456431170643	14.8373368835811	14.8518259041105	15.0237084819679	14.7092683713529	14.8957009339589	14.8836367657551	14.6909314223169	15.4374661525307	14.5851230306248	14.8948209883757	15.0850679387187
7	6.18046542655119	8.5810641632095	5.99638216238196	14.8935224686527	14.9196688290059	12.7226377505214	13.3779306355743	13.0404045223024	14.3948656243338	13.0346340760744	13.1165769876123	13.0947902098903	6.43017750800084	14.0499035570695	6.33917787967353	6.9013138124747
8	7.56973695238963	10.3085481315926	9.64826000711547	16.4847627115658	16.0300149180808	14.1958685915638	14.6567656473053	14.9407774187588	15.9576079576062	14.9989734491983	14.8565039267521	14.2449335501074	6.13065556830117	16.0562858484724	6.568314117688	7.96976192628674
9	8.68775027312224	9.4767932363187	7.90579608553937	13.7511454748859	12.7544949300208	11.5839643551785	11.4327891633743	12.3619116473023	12.8394718101705	13.4150226153713	11.2042879471561	12.5003118768764	10.1161435034983	14.8647647600707	7.88009274032214	8.25552711307032
10	5.14455970290034	7.47831640167363	5.17614646777107	13.2416257772918	14.4253998422848	12.8713399904926	12.8713207613601	12.8632543250437	11.9341560173258	13.5376017145904	12.7771425529515	12.3844088023671	6.52478552162483	14.4066783177747	3.40719981953771	5.2048553367872
11	12.184449132575	12.3359198874332	10.2615673540084	11.0168353358383	13.576052628873	10.4663733390369	11.9689601401301	12.5420427139003	12.6741946755205	12.7494001435611	12.8289638414801	12.3984073109037	10.0201406737021	12.7231055488563	10.6741564132252	10.4932421579912
