row ID	1.mzML Peak area	100.mzML Peak area	101.mzML Peak area	102.mzML Peak area	103.mzML Peak area	104.mzML Peak area	105.mzML Peak area	106.mzML Peak area	15.mzML Peak area	16.mzML Peak area	17.mzML Peak area	18.mzML Peak area	19.mzML Peak area	2.mzML Peak area	20.mzML Peak area	21.mzML Peak area	22.mzML Peak area	3.mzML Peak area	4.mzML Peak area	5.mzML Peak area	6.mzML Peak area	7.mzML Peak area	8.mzML Peak area	80.mzML Peak area	81.mzML Peak area	82.mzML Peak area	83.mzML Peak area	84.mzML Peak area	85.mzML Peak area	86.mzML Peak area	87.mzML Peak area	88.mzML Peak area	89.mzML Peak area	96.mzML Peak area	97.mzML Peak area	98.mzML Peak area	99.mzML Peak area
887	225875.769	50461.49789	217691.0998	133247.5958	319291.0813	295157.0927	734641.9063	440753.8205	322550.9923	115182.9397	322409.1825	115979.926	126740.5755	3167436.016	39039.46087	219398.4169	136697.0696	986700.4572	205951.5369	296609.0985	1611889.319	192609.161	347262.6185	585179.3738	1570145.53	2800003.184	2006475.079	2653386.457	227786.1874	1822968.979	1280477.492	462767.5504	2296057.421	352064.8678	190265.2419	355692.3298	117211.69
888	9040553.235	1920722.146	3248613.506	519122.3847	511914.2182	234282.9219	1034336.499	595514.351	1e+07	3580151.685	10600000	8423785.91	7668273.816	3641540.767	12800000	5039419.333	8026297.64	7920175.983	4278457.24	3100867.362	3984021.47	3617781.312	8562292.389	3704449.24	2878647.233	2651430.697	715877.2672	3461555.818	140584.678	1351574.484	6069945.383	627894.6792	3380622.3	400105.7632	4936689.392	3720678.394	328762.1798
889	1666186.411	426109.1062	1294767.207	84045.638	134857.4059	618471.7784	966806.0178	356617.6422	3206264.597	3642020.679	5763183.83	4490002.201	2794943.406	162334.2112	4741672.148	2173662.231	3499691.574	2649042.67	2044278.903	1679844.411	2086288.644	139285.1977	3993429.521	2170598.239	228007.5415	265508.2252	157067.8494	1669556.309	133041.0486	1383588.285	2852233.578	102681.7336	1683909.364	644868.9684	2566711.967	1891025.969	177818.752
890	518.8665123	1754.920418	86490.36301	4185.063025	126042.3814	200962.2179	5161.29305	32762.77495	2158.726034	0	0	0	0	3257140.757	0	0	471.9980947	491.363709	6167799.985	4044114.555	0	0	0	687.8667821	945.0771659	5111.819577	321241.5051	1769.120822	89767.5386	317394.0581	0	1300858.452	1308850.434	43942.74876	0	194230.0807	55437.64282
891	618390.8372	86189.67931	77291.28847	30179.16071	280979.0929	295117.0466	7069.466831	49403.2712	1165147.927	21540.69431	5497213.635	1870189.352	185285.7077	1616102.323	0	11199.61969	0	2051185.835	58292.62222	672181.3156	1132485.572	8326.263832	842024.0964	1516695.447	2311936.877	2528702.557	1120722.05	1895870.565	456590.1088	254781.4901	1717972.094	412059.2615	877247.906	794478.6254	990696.9296	505483.517	225832.6758
892	128505.4804	70783.3855	127691.4185	1800.22814	158417.4822	215153.8504	0	34960.43008	174392.5129	0	1178782.966	485491.0522	13150.21277	3743409.515	8994.109493	2188.229937	3307.007108	361246.8891	88627.70587	2309001.988	684125.0989	0	26192.59087	536350.8058	764001.4622	1294301.159	1781319.889	1354368.585	1231794.216	17453.94857	95406.76654	385150.0418	709858.6131	1563695.13	85220.57352	369401.795	932905.5054
893	0	0	48703.7718	1088.740338	11338.52591	338857.3069	0	54356.31328	0	0	0	0	0	236922.4349	0	1422.449168	0	0	1343156.888	2105170.313	1282.245682	1824.404343	0	0	0	3851.857261	592008.7756	175537.7844	17514.95859	94392.58139	0	542246.0297	696028.3943	2033.047066	0	156946.3665	22106.22883
894	0	1229318.538	504010.5123	5642.074927	209684.2924	16172.91736	0	271800.7762	429641.7626	583103.8764	38344.98148	111538.6504	3709033.476	5645.875468	36157.94207	0	558176.8288	4548156.234	2580.492699	563756.5328	0	4270714.216	252906.8036	58900000	1571174.793	8256436.448	7148049.619	8570905.516	3027024.028	19216.78751	6203440.235	383383.1316	111640.1505	4862641.857	101808.9514	4969925.2	2390733.836
895	0	1188526.79	469017.1349	8673.341345	262434.6961	10062.1295	2697.339895	614757.3538	1277672.202	541184.9823	128713.7059	194125.8054	9422609.514	16750.81392	76278.45325	22774.38648	503220.9324	6541745.245	14967.28288	1426174.186	0	4143653.677	380084.4541	8.9e+07	1487508.504	8946230.274	9945632.514	8695886.441	7597472.491	26870.23405	5789411.689	386441.2815	100563.114	11800000	283960.8933	7525838.284	9572152.964
896	0	2756297.687	905574.0867	7625.673193	506361.3706	27309.16558	0	794449.2343	1428239.299	1144513.253	218008.3133	356192.1353	9396352.888	32388.53254	161492.515	32541.03108	1177020.62	10800000	13884.07248	1643330.238	0	6102272.973	680159.4839	87400000	3035367.455	15900000	8570947.141	14800000	4407319.229	91861.09326	11300000	767879.1487	251249.7974	12300000	420973.6003	11400000	7703811.343
897	124145.1295	1886259.432	775642.925	302420.7317	323731.6566	216151.0683	591102.5255	473600.5402	524350.4724	171791.159	476014.6846	346303.0243	502790.9729	409056.5184	364073.4309	541660.8624	454876.0201	197813.8636	309658.5863	187352.775	267156.7927	104770.3998	152567.6992	314470.3087	528380.623	501511.518	241920.22	602855.1311	341606.3868	211511.863	176793.614	138063.1269	700014.5864	708514.13	386589.8475	1080447.664	731207.757
898	226.1954706	69184.78968	44792.61552	13016.74115	9162.070593	45486.67298	49530.32825	44970.39173	1805.336321	1022.785814	700.9698122	1870.129327	732.9991954	67227.16274	1261.728173	1280.899016	764.2663179	0	400361.0104	225381.8385	373.5618944	1120.733766	251.5879819	7955.545223	4132.646204	8169.735659	18540.63307	28170.57052	88354.015	14883.81622	312.768595	90697.8938	15572.49244	50468.29409	1671.275113	29115.10329	59957.78756
899	27304.46292	48797.59772	21716.84771	41383.62032	39164.37007	66214.11818	42424.03642	63500.93942	6543.330799	3432.042555	7047.011225	2477.634288	6825.682119	216141.8275	2638.796964	19516.54102	5287.36393	45227.78119	1176840.067	112040.1666	50387.09001	23279.4334	12199.00202	113452.7739	92530.13791	77995.54137	91062.72217	152524.4892	234164.0158	66633.33086	17332.23655	79228.59918	111122.3055	67817.42825	16370.07118	5463.301576	46423.71027
