row ID	1.mzML Peak area	100.mzML Peak area	101.mzML Peak area	102.mzML Peak area	103.mzML Peak area	104.mzML Peak area	105.mzML Peak area	106.mzML Peak area	15.mzML Peak area	16.mzML Peak area	17.mzML Peak area	18.mzML Peak area	19.mzML Peak area	2.mzML Peak area	20.mzML Peak area	21.mzML Peak area	22.mzML Peak area	3.mzML Peak area	4.mzML Peak area	5.mzML Peak area	6.mzML Peak area	7.mzML Peak area	8.mzML Peak area	80.mzML Peak area	81.mzML Peak area	82.mzML Peak area	83.mzML Peak area	84.mzML Peak area	85.mzML Peak area	86.mzML Peak area	87.mzML Peak area	88.mzML Peak area	89.mzML Peak area	96.mzML Peak area	97.mzML Peak area	98.mzML Peak area	99.mzML Peak area
1	37955.70279	10400000	5777560.814	2145700.285	1609588.086	3470551.709	655130.9554	2697329.109	7144.053627	4199.905364	7974.649916	3211.194644	2395.917707	1958007.135	7498.704539	2982.251549	7754.334655	165026.5861	14400000	7524712.475	47515.00028	51060.10604	6008.963094	609254.8089	304255.5318	1222689.686	2530175.49	95510.00694	5235727.779	2020443.277	15909.15817	2379840.965	1311237.852	5789503.581	806652.5243	3830569.901	8070613.544
2	397889.5083	490379.9074	380930.4511	497060.3575	326501.3503	305932.9411	409015.2183	321062.0582	647642.348	350576.1478	534207.4823	529557.3897	424742.9394	278434.1614	587341.882	645346.953	520864.439	408141.966	326400.2409	377400.3033	529023.0602	616913.1173	1045541.813	253838.3596	252885.7568	112080.584	228746.6846	203863.8027	96494.10673	410353.6771	444326.0198	377957.739	432298.652	319630.6918	591390.6867	643641.9749	417637.1154
3	702622.7835	756373.946	358223.858	362321.3728	277196.3392	310545.2382	566888.7356	258895.608	1785442.484	750146.9223	4423050.59	2573353.17	1185473.733	759044.704	3002185.521	1282803.198	1921990.636	1816664.753	1130230.574	628941.608	868940.5194	2459936.469	1548840.581	863836.1318	1088111.746	759683.4424	674365.0267	1560341.776	943737.3959	769277.4159	1525973.008	502477.1059	1158072.148	455402.1618	1187465.791	490444.0556	399520.3558
4	533917.6272	708578.708	478886.9113	478985.1181	371035.9647	409691.0301	772958.7472	319276.1669	1656659.152	1092549.631	7116742.103	3615807.59	985226.3642	902752.0235	4019426.668	1780594.546	4044039.181	2927319.062	1130230.574	744400.2005	1008559.159	3946311.338	2985968.028	1448380.459	2285217.083	1179915.192	954673.4854	1472882.871	592070.6724	1113568.353	3871454	724847.6773	1837011.399	470744.0239	1775022.049	645282.5666	408327.6186
5	9663091.185	17500000	11800000	7137421.983	12400000	10300000	10200000	5989142.885	1.6e+07	5987487.797	37300000	27500000	8903202.018	45900000	2547333.765	4072485.324	7319951.491	13900000	66700000	45700000	8928002.403	3067262.977	9477678.979	40300000	22700000	35200000	41400000	57800000	13100000	20800000	24600000	19300000	38700000	2.6e+07	15200000	23400000	10200000
6	4304625.176	4909324.268	3445837.2	3574002.563	3716460.866	2702409.593	3717066.12	3022007.972	3167892.589	2386568.602	3333327.261	4640300.489	3437283.212	4547902.815	5433232.487	4440462.647	2418232.836	5852688.209	3114989.68	4313370.437	4422276.498	4946755.295	2837935.687	2446886.286	3726930.527	3134444.024	4158785.221	3866756.837	2452066.181	3332451.258	4812811.429	3841956.288	5351324.533	3030698.907	3286929.568	4613507.66	4311714.918
7	6681.904574	28100000	15800000	1477314.22	1520533.07	2628288.677	341130.3776	1668763.063	8207.774463	4226.255028	3820.158337	6299.288178	4145.14924	1381031.701	4230.898623	5341.69551	4320.612233	3287.874891	5851721.822	2822980.691	8431.067979	34337.79286	3990.065324	454573.9488	48689.31628	1619165.914	3153435.116	517738.4946	4186592.093	1588772.196	2494.876379	1087156.487	604844.4035	11100000	1431233.026	8052262.33	1.3e+07
8	8218.127664	36700000	31400000	4124486.595	4221560.668	9892330.99	870544.0934	4716903.707	16518.92072	9243.901896	11486.93778	4322.106177	11322.18516	2992350.493	10578.34807	5472.413006	9785.579515	14139.96589	13500000	6829156.059	40098.02514	112779.0663	2688.666248	933753.9426	156155.044	3046643.327	7008019.937	904361.2079	9326008.646	4730512.22	18074.29228	4412139.568	1565012.014	2e+07	4330760.304	12300000	31100000
9	30497.51869	2376072.782	2855798.049	534456.3737	929203.8598	2259719.118	1195987.881	1148379.452	38790.63039	6781.643011	29273.63973	70755.31144	31241.51309	1151292.874	51690.02219	98595.02154	29887.91223	48044.83914	3200340.057	1334538.005	13859.46475	63772.5662	23568.30661	320024.5654	240679.7925	127428.8072	487138.8737	211340.5636	333847.7947	535610.0624	21079.80433	703397.1186	480814.7351	1386364.639	257997.6038	566430.1527	2444872.149
10	3404.105657	4267463.466	2362444.327	780483.8863	958326.2419	1536086.939	828653.3171	1743949.055	5484.366178	4251.792006	1955.402901	1660.101542	3563.068865	1209145.475	10587.96986	3550.794933	4464.745615	4659.083177	5029468.574	5144093.002	8287.898575	27162.27138	2827.498332	296021.5719	71445.03634	803961.3602	832107.6244	106742.3806	3240691.348	730933.8861	4963.114523	1854329.524	2449137.407	2574621.268	424566.9034	1106463.961	2475944.547
11	163457.3184	894649.7377	601280.4886	843423.0446	403380.3891	380933.356	626979.5035	444877.385	240780.9273	207483.3614	657223.0635	277266.918	93380.24425	602054.9079	563568.5822	111052.145	197269.8087	318983.0078	1638794.992	791622.3421	115943.9309	205998.3919	124554.6815	69212.33778	251231.9641	98167.94082	490291.4546	654212.0428	354511.2723	1315791.351	561767.6837	599409.9393	868044.2274	487969.475	587138.0053	146076.6687	343208.5162
12	994764.4339	2323462.512	1783258.903	969136.8875	792694.4258	611177.7572	1473631.689	391431.8365	4830218.215	1703615.379	3493640.113	1259758.979	2795788.291	971995.0667	6713356.498	992445.1731	2570267.6	1247516.066	652444.3071	596471.7947	301101.4463	973117.7451	2697931.098	1429802.024	1736958.576	2685837.876	1268714.135	2961502	1567314.599	1515754.598	3198497.758	863071.2044	1659355.968	1051172.286	3592111.908	3378237.702	1222208.078
13	3014.936995	6810771.122	3319505.393	974022.3524	990603.9431	1483450.548	920610.7966	2033660.156	1017.61333	2278.293492	1117.328611	602.987418	429.169842	2497886.012	562.2575638	969.015229	1083.852543	2046.031907	15400000	8056261.02	15879.21766	43625.023	1019.130393	119508.7072	37829.17239	943447.7359	1526188.322	647983.5585	4294903.908	907892.9837	2136.043777	1744236.762	1667635.26	3832435.028	459501.6645	1629245.317	2805618.53
14	8165.364531	5894590.298	3995480.725	734253.0272	617906.9088	1266399.042	168523.7874	583493.5181	9553.986682	6029.481875	5792.152536	8204.970716	8501.632237	449904.4112	2873.315652	8740.430819	7659.41034	20595.25416	2174881.086	991643.0965	9277.179135	31574.31862	3886.365277	118091.9166	19694.3216	752285.3413	1187406.214	67490.93607	1219920.32	1049172.819	4200.061315	681361.2394	255022.0081	3121940.548	655307.6237	3554595.254	4660775.999
15	2876628.696	4626247.403	6643460.418	2080898.137	8527797.774	5739928.517	3414534.683	2652954.648	5307931.875	2073432.557	7797388.829	11500000	5721867.846	9960954.37	1146659.371	946946.6353	2074017.534	6431802.352	2.8e+07	14400000	3366962.798	1369924.198	5073408.666	11300000	7808944.011	9932758.262	10400000	10500000	3835042.887	7671551.333	5623890.487	5174827.894	7981288.608	8290366.913	4150568.225	10500000	4192417.79
16	21936.69325	10500000	9710225.328	2259624.892	2385499.141	4264106.088	796858.028	2822206.111	37836.13362	28319.18344	13485.34824	11764.46682	43535.93968	2615093.442	6871.469974	46405.98341	8667.129142	26291.6823	17800000	4415782.324	26774.53468	44095.30327	41537.37125	589353.3305	58619.72946	1685747.401	3677438.38	1436886.108	9671537.336	1694326.26	25505.85983	3278236.444	1623065.939	6197821.321	845523.4757	3479399.091	6233371.098
17	656499.4474	14400000	8939612.227	1542092.411	898906.4999	2773994.591	531629.2083	1199148.951	352916.9397	93937.35214	829117.8723	230804.0974	98163.49267	2134024.599	264798.5698	145767.1553	122201.09	1266610.276	7389299.353	4323246.16	413778.5118	205128.7772	141326.2063	439483.5386	798688.0421	2597848.654	3342457.363	760675.3396	3186072.318	2780822.308	484978.2642	1876699.347	885995.4338	6560997.401	1815002.229	8430796.117	1e+07
18	344978.0423	4178281.171	1266475.578	483086.2413	729879.7717	1260549.204	888655.7787	1831556.895	489952.9902	641427.2433	2983972.028	1889535.457	614427.9984	5668373.005	245540.7175	148046.6003	202823.3805	1100501.704	5817438.97	7633906.953	2231488.272	370877.2968	629923.7645	1425763.212	1725780.711	2996004.61	7216606.345	10600000	1876110.446	3896310.464	4186889.998	3976977.739	11800000	2383509.278	641867.5911	1813401.62	1017113.41
19	2710465.59	5037503.761	3669606.427	3011627.465	3397896.14	3753332.995	3197840.717	3736395.158	3946163.316	3076611.864	4433675.938	4844906.95	4494095.293	3780584.929	5415286.711	3539628.968	4072147.718	4595886.688	4745379.597	5100239.614	2753711.76	3482856.816	4375192.324	3212622.573	2985759.217	3767953.827	4483892.418	4458546.692	3827261.86	4380388.795	4123213.679	3968554.401	4432118.636	4931725.98	4407888.066	4463160.245	4761335.897
20	33718.4205	1.3e+08	1.07e+08	12200000	13500000	25200000	5067289.388	21200000	41978.37951	5669.556681	10655.55783	9129.503915	3676.53769	1.8e+07	12731.11096	31438.23615	14227.71266	10070.38107	65200000	40800000	162911.7928	408296.3189	13344.89825	3631358.552	812359.3173	13900000	27900000	7444227.118	62300000	11200000	52520.43396	16900000	10900000	93300000	13500000	45900000	73200000
21	1314994.356	8736929.234	3932187.703	578998.0769	708062.5682	803558.0744	425544.0193	695114.9673	625112.6122	226442.8198	779096.3087	1362053.39	594866.193	1374788.993	522529.4559	806232.6037	883267.9854	450689.995	3960498.668	1769999.234	2384458.82	281802.5623	593075.8006	2586940.118	3425729.286	1181133.305	1234099.935	2824249.769	1331174.758	836485.5377	737354.6869	814645.8483	2970529.251	4132806.53	3224310.381	2292077.403	3312403.674
22	1721247.608	16900000	7781729.406	1002844.432	1066752.55	1739061.15	562273.9332	1167460.482	1048683.376	308689.2412	1225485.3	2414617.081	851347.7181	2073749.804	680981.2621	1307046.42	1449754.312	718843.7045	5027316.572	2524973.587	3349155.739	574989.2035	1025542.534	3280492.148	3920664.304	2246080.806	3678987.333	6167846.327	2898560.4	1384180.521	1539636.573	1576023.69	4613708.043	6225805.92	4937667.398	5514295.283	7708057.662
23	8545.643509	10500000	6297966.073	583820.3954	842441.2255	1704830.883	652721.3199	1215452.924	5970.812397	3561.134501	3394.220484	5413.275278	2360.198381	1492808.152	5687.437646	1904.349247	1509.359108	5168.610639	6996448.723	5527571.716	7093.482233	56420.19603	6484.669738	310946.4655	66300.1194	558855.7612	1175971.081	228507.7443	4987377.979	821056.3932	2916.149424	1382074.552	742238.3803	5277161.356	630751.1546	1217013.76	3554293.036
24	362611.9927	445233.1306	398228.4957	367045.0352	373867.0475	471664.9958	366774.1262	364639.2806	439268.64	241859.8437	318619.7708	331657.3911	422563.6003	369201.2105	104777.0239	200069.8537	428930.1461	321689.0047	359983.696	375592.8213	393863.9295	429263.9206	398805.8807	450294.7799	373862.5634	457211.2841	543808.4301	412426.9463	405106.7505	241310.897	373860.7442	408038.1747	448456.8062	360359.4406	219612.0986	478985.1481	413485.8974
25	1166023.302	7347913.076	3783759.683	1120345.388	1956560.789	2362108.884	2629154.345	3565811.005	1778868.063	2409726.012	8839901.612	6430901.399	3235796.975	10300000	1113089.611	574411.7913	908540.1649	6667949.779	6728581.106	8845686.94	6468356.327	1582900.994	2584062.003	7214121.931	8283517.19	9170908.703	14900000	27700000	4115858.039	6796084.846	19300000	5684562.218	25100000	3170896.6	2467050.281	5083841.418	3643098.597
26	1852596.279	2993756.578	4405020.338	1324483.88	5606089.939	3752062.835	2225118.815	1720123.318	3499970.894	1322203.438	5123861.385	7505808.688	3744978.52	6586422.669	718365.1295	695893.6945	1314904.519	4246150.38	18300000	9512457.271	2173057.283	881000.7456	3291083.08	7375576.843	5138438.062	6541565.843	6849252.342	6896105.11	2503685.669	4969256.541	3684703.389	3324425.582	5309473.965	5361867.692	2680245.473	6905725.625	2756271.057
27	459700.9547	14200000	8789890.621	1967830.123	1511385.029	2288235.004	2206395.217	2765225.248	166430.4858	84478.78823	394652.1269	576670.1186	223309.9788	4075078.27	329370.7633	101051.4338	166995.5079	343942.057	19900000	10100000	122750.0571	72856.23886	67677.8771	6507513.107	2645567.546	1417776.231	2067684.204	1482510.421	8443417.367	1406237.003	182756.2663	2539109.667	2798834.046	14900000	370951.2534	2056374.211	4270545.14
28	73987.69768	150328.326	8085.658661	354247.9178	5888.503824	9535.087596	5951.013293	14275.94248	393394.561	4989.382453	601118.9947	138516.7692	2355.888734	558902.071	28681.54869	186735.4336	304154.0452	418714.7457	61942.53913	247975.3859	244136.5354	297166.6172	464394.2584	691057.3975	529129.8018	90073.1199	96963.89122	1210995.299	2840.111278	747977.8589	755409.1162	16644.90112	840039.9408	242906.1468	486206.2759	93824.14025	93317.7956
29	506.5587145	26900000	20300000	1309768.817	1578676.542	3496267.791	577067.0461	2929699.188	0	948.3518318	0	0	0	3233576.823	0	753.5739862	0	0	12700000	7588873.73	3952.947479	31308.45455	0	441954.4908	126928.2027	2209948.479	4687735.825	1367789.171	7503518.307	1525128.015	733.9578005	2366696.011	1930104.556	17800000	1975933.882	7773161.603	12200000
30	684440.1688	1015400.368	661233.6722	783418.3711	748372.0051	763428.5697	779083.2493	779327.9533	1053208.122	807124.84	1106864.028	1181905.641	999078.617	940409.2074	1212340.139	928710.8163	1028793.374	1025044.769	1175281.984	1100381.163	850755.1637	888630.9347	1037032.047	1058746.217	975079.5234	906589.9559	1056909.409	1199151.862	494013.0138	1077659.235	1023966.903	896537.2045	1117586.456	1004093.226	1214135.363	1019381.928	1004535.954
31	1074043.58	4136268.737	2230448.299	940971.4311	1052287.408	1372704.588	3215879.873	2999029.339	2184872.207	589545.833	2507307.94	711730.0175	795435.1506	4918811.78	1584125.043	3305177.813	932515.4052	5611158.09	10600000	5419844.285	2225014.31	2557977.092	2695564.591	2613298.447	7737809.181	6423900.61	8421845.024	14700000	2905427.913	3516115.254	10300000	1135016.128	10700000	3095827.578	1333054.924	1624253.463	1580902.2
32	1340.920444	2253338.183	2700605.559	787732.0436	1005514.26	2020860.429	277495.2559	1173778.779	0	0	0	0	0	436041.7839	0	1423.37423	0	0	1384568.466	1070467.798	5602.104356	22013.59185	0	211355.3698	25398.13382	568112.5431	1103461.352	132503.1876	644851.2804	1026143.289	0	974969.5654	292775.7923	2187530.169	759224.8507	1966702.423	2310072.692
33	5574.916096	7037200.859	6188945.956	841255.4975	601475.2335	1292253.001	336761.1903	675701.1431	3975.965875	5056.812253	3067.205391	2360.598281	3083.070101	451664.8266	4888.040084	7057.264637	3345.15444	9367.298629	2147256.454	1302721.776	4595.5314	19687.55165	1735.344208	193456.0471	14713.73542	355514.9698	895309.8775	143736.7368	1070791.487	1196004.163	3780.184361	842369.612	313642.3207	3617783.469	1017748.454	2289547.892	4232133.82
34	7458856.743	7764215.352	7180100.738	7453764.398	6956274.511	7328125.136	7321848.853	6768664.223	7578967.091	7382109.354	6940366.394	7473619.071	7546701.854	7043117.156	7516628.19	7454720.948	7723898.893	7050981.682	6924130.579	6746846.785	7039241.552	7337267.492	7078991.872	7615829.304	7281442.968	7169170.127	7328998.473	7210172.486	7287351.456	7288301.91	7627672.661	7208038.333	7897843.9	6776278.869	7736789.487	7462449.668	6786867.023
35	921546.6818	5394063.852	5136652.063	763584.5046	1938493.839	2760868.999	1656720.139	3231504.893	894375.4855	2118203.436	4747500.88	3646652.713	2140316.73	8086028.878	499987.4827	394238.1962	564183.889	4147602.577	8072983.978	8763425.756	4229443.974	1165595.413	2201358.055	3751610.596	3842430.554	5171394.117	13300000	17600000	2993113.975	4460846.251	8889948.685	7285285.164	14500000	2716937.727	1646561.606	4827048.477	3154356.711
36	3451718.419	3352447.956	1426452.96	1027707.09	966191.9525	835350.6456	2210781.418	1156993.145	10300000	4708329.948	10700000	6579168.717	6029090.957	2943552.443	10900000	4836266.533	6944827.005	6534450.433	3076068.33	2867381.512	2535931.579	3054420.526	6315996.859	4580388.427	5835955.895	3469099.638	2458817.905	5284280.985	1832872.111	1914445.04	5709570.9	1446993.211	4266964.519	1998114.299	6531393.731	2362815.525	997549.4956
37	2576.828471	14400000	10600000	1335028.742	1497800.041	2694582.212	684785.5342	2376428.956	5003.55751	9944.988144	9913.004739	2402.838949	974.4937444	3033440.226	5741.819424	1506.391201	5825.895389	9867.518266	1.1e+07	4015680.033	13258.80909	30217.56874	5649.950624	402347.9346	127685.0818	568926.827	1719098.189	691881.1824	5557756.384	1244930.544	17498.97522	2170368.847	1686796.338	8482687.444	1156179.098	3042819.561	5848943.212
38	1960780.557	22100000	16600000	4351692.539	4101204.719	5997546.847	5781503.087	6791850.317	4047690.014	3598034.034	6013196.078	5984559.207	5081721.811	15500000	8169617.97	9450791.676	5949160.601	4404167.394	49400000	28500000	2439647.922	5360965.414	3805326.149	5226872.944	4791150.186	3648955.829	5858256.498	8953571.555	17300000	4581222.469	10500000	7088355.537	13300000	13600000	5954097.732	8435785.68	16200000
39	37443.28671	7186096.16	4749999.019	573963.714	493899.5609	1392468.959	291627.4919	579060.6245	111816.5073	15438.07324	79111.24466	51273.88783	7917.009259	665463.9856	17386.71375	45046.26205	59075.62373	64786.16605	3192102.556	1547027.704	78042.82854	37300.73281	57120.78739	334875.9655	352488.1324	1228479.262	1871243.396	834372.522	1342105.935	777594.6099	75808.52684	925006.5652	761353.4856	3230830.208	1380921.612	3295562.214	3823413.764
40	7535.7293	9383224.502	7280861.303	459489.7682	895476.5141	1906494.313	392941.7516	959605.823	2710.083061	8590.470168	14408.20551	8510.09554	2974.983037	921880.9082	4018.562161	4247.818314	7212.246545	3922.798739	4696882.298	3006638.845	19116.12977	14209.68844	4290.513344	191590.842	52310.99826	413888.9758	936439.4322	244614.3387	3031622.377	851410.5203	29250.49962	1071698.249	491268.0195	4579032.117	711452.445	1763415.687	4386601.715
41	5909.118523	1.18e+08	79100000	1335230.37	2591040.868	4184234.249	493930.4374	2268045.928	24711.97549	22752.56814	70422.48634	61282.83739	16095.68793	2695003.123	15235.11608	32724.43341	49925.81422	40428.07337	12100000	6661756.788	48591.21993	148018.1852	31420.20936	669203.284	63885.69081	1304096.791	4953883.864	1150680.707	7344024.399	1525287.47	39721.15174	1911541.628	1366970.27	50100000	2081216.302	9861277.971	40400000
42	76170.13377	65600000	34200000	1548572.048	2827386.827	4107380.859	530038.409	2490110.425	98611.51864	70256.96809	70422.48634	61282.83739	40965.96346	2356855.056	56729.1544	54554.70594	54801.43379	97607.96574	3.5e+07	9788762.196	48591.21993	148018.1852	69961.48899	507811.5017	63885.69081	1490460.392	4206998.665	1759554.648	7746351.865	1597847.262	77818.6211	1734333.283	1201109.319	19700000	2020578.168	9040498.076	21700000
43	2575127.728	2764000.115	3355289.781	2719591.61	2682278.015	2615082.165	2937488.08	2775216.485	2464154.083	2619699.419	2432528.657	3171026.667	3316681.75	3063692.608	3287262.167	2811844.187	2367260.109	3077521.214	2698518.467	2421778.663	3796869.728	4693469.95	2547446.186	3215826.31	3107185.867	3387291.527	2422214.192	2970474.094	2110101.687	2420285.834	2628365.643	2644579.998	3067760.813	2510060.336	2766011.236	2574777.726	2682284.092
44	2667170.087	2728117.269	3928358.923	3810088.605	4659154.028	2777238.916	5117156.43	4239402.839	900163.0127	2263218.598	790379.7026	1227237.648	540902.0936	1837345.57	1209350.736	2656483.707	1374434.258	1052378.528	1484066.667	929546.6365	849566.7727	1186840.556	909442.2329	4352566.241	4307351.041	1744282.37	1985854.475	4300000.47	5046843.654	5762093.534	2170660.197	2195121.233	1955771.899	2024983.565	5274267.243	2327800.684	2057726.63
45	1942063.259	1561358.332	528311.2381	694942.885	570980.7976	430521.8623	1211775.552	480514.6505	2718495.157	1288416.398	2667533.868	1912571.632	1404399.62	2241978.859	3023380.663	2006167.557	2308321.049	2974921.895	1944543.783	1411868.747	1289546.336	1648827.651	2054473.916	1401148.778	1780657.137	1284934.022	964981.0343	1648583.11	561855.9251	930335.9323	1656882.692	707024.1166	1501795.262	928142.1323	1906251.238	1054578.051	651295.1502
46	609921.7231	1504041.27	750305.37	813010.301	680236.1338	558526.5859	1330279.687	591260.1416	1013934.97	836977.3264	2030813.831	1335574.929	471651.7124	333255.3581	772579.3726	931574.1728	2165348.547	1708552.788	579209.9263	331112.3738	711012.3862	497076.9067	1207440.345	2948980.05	6853952.015	2130142.466	1848747.852	3337599.15	1582410.187	2137441.786	3616890.215	1193071.262	3769692.904	858290.2341	2650462.264	1062429.403	531301.9996
47	3217481.435	4169681.281	3313724.852	3451908.966	3259428.803	3648108.069	3391143.905	2989399.293	3251228.038	3204469.437	3143665.537	3411425.828	3264747.78	3200263.569	3161894.969	3084381.874	3188291.706	3095292.87	3069939.536	3129654.736	3257708.931	2715816.168	3226521.849	3563090.858	3000989.808	3533537.729	4565352.382	3716530.309	3350488.613	3175238.738	3380354.576	3160190.5	3607358.443	3320371.62	3183162.536	3541601.472	3295757.033
48	37887.68165	3364844.409	2194955.236	945246.2321	856870.6458	1842048.901	647886.298	1269914.415	192593.975	192330.566	174743.0526	134759.4289	77026.16547	2014700.862	145969.9245	100716.2221	29136.53899	207224.9845	7641464.411	3291950.923	179882.7609	91429.75599	113403.4318	690961.0252	264595.316	622675.0006	1035000.194	423500.0979	2249360.266	1447197.653	186015.9627	1386482.52	1171559.436	1884793.204	517589.4097	1546026.004	2352066.716
49	1399025.125	13200000	4719634.14	949148.5376	2172151.927	2919903.778	1934232.246	3455923.116	946673.3627	2564004.044	7469380.208	5530942.671	2705555.01	8314192.348	499639.3943	347193.0995	791957.9611	4016570.292	7242140.589	14400000	7046641.91	1114767.837	2489463.953	4507921.838	11500000	11300000	21700000	37500000	4409145.064	4493134.242	22200000	5389659.675	28300000	2230891.697	1230283.039	3599934.651	3383251.107
50	627251.314	1927889.905	936159.7946	789356.9533	899775.0133	776617.3295	1826460.111	1337273.746	1034326.404	452412.5042	952648.2223	448037.0866	533723.8517	1974818.256	818159.7794	2038618.696	767434.2778	3517407.186	7911457.761	2598927.7	760420.1513	1941723.432	1522424.07	1487765.308	2629740.98	3483514.421	5043928.57	6118030.271	2540502.926	1613353.397	611877.3056	730131.1277	3504793.128	1431681.359	873694.0437	683907.544	451571.1257
51	0	2625113.875	2004507.542	632792.3809	635106.8433	1297357.412	244540.195	1168986.328	0	314.7069764	0	0	0	222833.6693	864.0722835	698.5982649	0	0	1318417.954	892144.4928	3921.389024	11889.14434	0	31733.64587	2716.715115	169060.4612	609026.7866	258905.524	403409.2	737173.0477	20474.75967	845465.1314	543218.0855	1265175.47	242099.6326	1533477.728	1794629.275
52	4759.476358	10500000	6668860.598	1118291.288	1332152.286	2276367.489	764574.748	1876592.088	2417.202935	891.5168911	1425.76897	569.380084	915.5049676	2096593.895	772.525469	2709.48169	1134.039037	0	10900000	4550854.551	6331.186824	47844.43368	0	323472.0395	85851.5814	666815.5796	1439054.57	760057.4646	4311130.134	1113516.691	6467.028222	1628311.578	1383558.023	6617835.997	1271319.857	3398072.395	4918891.72
53	753462.0811	8984316.025	4007336.701	711300.5267	954605.5378	1864321.977	1312293.687	2136560.584	625909.6608	1470911.832	5336677.431	3509665.042	1493356.718	6207888.188	483052.7727	304841.8765	529589.9797	3177226.248	6027810.216	6410983.565	3764735.508	464847.0415	1521415.082	3392066.01	5135280.741	5467643.187	10800000	15100000	2960071.613	3962479.555	9105708.746	3500747.765	1.5e+07	3101948.584	925594.9725	4731027.609	3700166.276
54	0	2377921.792	2579366.901	729371.1901	1018958.619	1728083.845	419569.3437	1428603.149	0	578.7773105	0	0	0	728474.1964	422.3809693	880.8679018	0	0	1467789.7	1669430.09	7947.135132	14693.52927	0	270218.7634	48383.06787	771814.6886	1278409.409	424406.3865	1001824.362	822789.0157	1454.592727	1139333.387	536846.667	2389651.32	807858.9017	1992648.524	1758042.633
55	15030.75965	13300000	12800000	1050240.826	1336050.125	2903499.634	493061.4482	2312985.861	20676.37365	7938.560576	22697.83958	21821.5599	5934.776236	2178727.96	32207.89632	24200.72281	20192.66935	34404.93449	8313343.293	5742820.134	12506.50463	46999.25751	3925.718041	489615.2991	124045.4308	1693937.263	3186107.9	996500.2228	6680104.186	1335480.143	10668.06146	1928797.268	1570180.828	10400000	1704974.651	5927908.531	7680587.372
56	1084228.356	1448837.538	1250978.73	836311.763	1233890.093	990177.9187	936245.0466	1141225.879	1289691.589	1216284.081	1173773.025	1479128.894	1399419.401	1264614.595	1205802.042	1072615.454	1269676.641	1611737.285	974044.3322	1233601.399	985647.9705	1545600.104	1482059.319	2222097.969	1492732.434	1750981.394	1516170.759	1717371.371	1332170.429	1049419.145	1917115.938	1080557.762	1313101.765	1245361.468	1142802.441	1408683.555	1475433.609
57	197979.3292	3552896.086	3680787.181	521563.7864	605191.8847	1273896.486	995588.0749	1334641.469	492101.6007	253896.1272	1048926.441	962498.1622	719303.6889	4225296.166	1308934.414	1363319.907	827857.069	807217.0393	8473493.125	7108281.73	407443.4574	589417.3399	513985.1808	1045760.096	1054636.972	796610.7807	1519141.972	2591424.057	2586085.095	1012082.045	2255548.376	1583632.619	4061326.789	3779344.739	1213117.96	2029844.256	3839398.608
58	1608054.881	1729734.197	2038084.465	1416176.406	1589333.588	1930746.004	1484948.581	1626731.617	1487758.814	1743015.974	1704163.021	1669519.52	1998427.027	2168019.377	2182801.711	1994426.57	1721354.677	1942006.304	1598662.176	1627603.456	2347477.603	3004601.406	1663589.13	1957360.63	1631768.063	2041996.897	1672580.405	1912675.121	1376491.448	1721011.798	1837973.118	1844685.315	2070173.333	1767249.406	1680480.375	1741955.301	1939605.786
59	703726.9639	986264.4542	1829791.737	1248287.821	1348396.552	965966.2686	1340956.411	1338351.317	550684.987	418575.3958	525425.5216	673731.9947	317499.2936	895110.8031	729183.5292	715281.9185	845901.7534	684443.6188	728824.0804	564942.2321	498538.7507	608905.0994	551303.3653	1100533.672	1164645.179	945277.7414	1150313.613	1238242.666	1341918.48	1463706.737	1206146.889	1135974.824	1063362.692	1132048.338	1425939.737	1353733.741	1162954.213
60	444.6412482	3629044.904	2021681.278	347550.7212	396080.096	690133.9295	262361.9649	567570.7821	1215.207446	1277.543957	0	0	0	589594.4729	1587.113604	470.1913298	0	0	2641118.814	1319449.017	1585.192368	11354.70996	2357.124293	83837.55997	11569.77938	242476.3613	367660.6216	149520.0555	901468.7688	352111.1286	1033.665109	544146.7422	456735.492	1552716.77	333579.7845	1225771.13	1346476.835
61	581998.8222	3503779.524	2433599.683	375682.476	1078522.148	1645851.218	617009.5218	1567180.006	519825.1101	789873.9265	4167088.31	2721666.798	900362.2736	5355748.754	143736.2133	337808.8481	170738.3677	2039990.95	4034329.984	4518122.371	2284098.746	268589.5181	809419.4759	1736217.075	3073952.483	2904977.587	7004982.531	9719792.903	2394698.808	1779932.787	5113699.665	2551399.593	8783877.359	1773593.55	439815.7885	2343581.062	2138238.467
62	7014342.886	8511600.237	7303853.386	7866778.106	7250428.547	7960706.084	7158154.361	7403595.964	7544505.672	7760524.671	7720511.775	7272670.322	7430270.489	6991397.712	7583526.963	7042891.071	8233909.344	7143652.003	6852735.131	7295483.869	7077177.327	7620836.607	7429181.173	7513066.692	7299443.06	7495268.509	8093043.064	7638141.57	7469453.07	7525610.044	7980562.674	7351228.082	7724480.777	7081800.09	7720732.203	7821616.488	7323300.614
