row ID	1.mzML Peak area	2.mzML Peak area	3.mzML Peak area	4.mzML Peak area	5.mzML Peak area	6.mzML Peak area	7.mzML Peak area	8.mzML Peak area	80.mzML Peak area	81.mzML Peak area	82.mzML Peak area	83.mzML Peak area	84.mzML Peak area	85.mzML Peak area	86.mzML Peak area	87.mzML Peak area	88.mzML Peak area	89.mzML Peak area
1	8.39060281386884	14.0795283610009	10.5109127081024	16.9581392454077	16.021778795301	8.7146691870111	8.81848268296924	5.73147411530913	12.3952599772736	11.3934977373987	13.4002006386503	14.4493797908761	9.72193804669112	15.4985324280962	14.1248141879542	7.13614364684013	14.3610075062213	13.5010717458284
2	11.7805821019739	11.2655504718865	11.8172853030724	11.4948563660576	11.7043098263347	12.1915448549835	12.4132815662955	13.1743930977688	11.1321243471198	11.1267000268239	9.95275062208186	10.9819650774351	10.8158198824829	9.73672698315793	11.8250821250322	11.9398328722304	11.706439173799	11.9002425815734
3	12.6009646026343	12.7123990997509	13.9714345482934	13.2867594601949	12.4411403250457	12.9074716692173	14.408763395457	13.7413309969656	12.8989719055885	13.2319690637513	12.7136126214449	12.5417439624595	13.7520044093086	13.0265997154823	12.7317181989404	13.7198717823037	12.1172721089993	13.3218674750119
4	12.2048314240864	12.9625439929141	14.6597223391531	13.2867594601949	12.6842926879443	13.1224380493706	15.0906471185508	14.6883410568728	13.6445829566163	14.3024735587058	13.3488255065093	13.0432216351866	13.6687850454341	12.3539836371095	13.2653324551352	15.0630178392349	12.6458920966206	13.9875029175229
5	16.3826271142372	18.6305645873792	16.9071553166889	19.16975719515	18.6242645990235	16.2684797543258	14.7270942026697	16.3546761347412	18.4428502724934	17.6147627312563	18.2476458626027	18.4817012014647	18.9631399264661	16.8216372455028	17.4886539621065	17.7307287493046	17.3806712812335	18.3844040001098
6	15.2160299596878	15.2953437641877	15.6592417626924	14.7493697224431	15.2189579604836	15.254931569756	15.4166248731943	14.6149842344184	14.4010893955476	15.0081302651675	14.7583519047027	15.166304518283	15.0612663815035	14.4041402565895	14.8467261127849	15.3770222369579	15.0519834436333	15.5300383632045
7	5.88461743351126	13.5758887752848	4.86151345735629	15.6590035274064	14.6073615997361	6.22007344578709	8.24608345888206	5.14077042014692	11.9727292510117	8.74989139077403	13.8053931633079	14.7670665879686	12.1604378325986	15.1759186994737	13.7780546194476	4.46332638605697	13.230701957939	12.3847783001212
8	6.18316779632792	14.6914215063571	6.96606478899995	16.8650298410162	15.8818496414202	8.46981733361639	9.96171354797953	4.57124873456353	13.011256673388	10.4311934149009	14.7173629512868	15.9191492180969	12.9651133537344	16.3314021060317	15.3521387459363	7.32022530695298	15.2516207668801	13.7563160710724
9	8.07497801735176	13.3133972219493	8.73066761760036	14.788367547866	13.5264827300159	6.93715769100976	9.1392220853097	7.70313425331228	11.4663968960171	11.0553292620393	10.1379057013602	12.0725473588548	10.8677839411394	11.5274047542101	12.2093973085078	7.54214762452333	12.6025536690765	12.0536953536791
10	4.91163387043439	13.3841301677535	5.36440414080237	15.4405483082358	15.4730590647829	6.19536440202211	7.90789027562851	4.64388422733025	11.3539165567763	9.30311993231769	12.7953404085693	12.8449843818829	9.88234733617263	14.8064439599669	12.6579551624424	5.45560379914566	14.0010399800101	14.4024160563383
11	10.497128215644	12.3781093119183	11.4616938177499	13.822777728053	12.7730265743675	10.001641547868	10.8308473192042	10.104993491557	9.25731538444648	11.1172342731427	9.76153810262527	12.0818538607519	12.4979725609036	11.6140457451474	13.506073073562	12.2781878782077	12.3717572505061	12.9059827947286
12	13.10256917135	13.0691632355068	13.4292007341261	12.4940690018934	12.3646681629278	11.3784638818348	13.0708286224502	14.541995842868	13.6259577384673	13.9067056870795	14.5355145615072	13.4535093784992	14.6764713992856	13.7584371324875	13.710178537674	14.7875368108536	12.897693832335	13.8407657478591
13	4.73648590774197	14.4308499816615	4.17718669766675	17.0550007846603	16.1202527657624	7.13342598436484	8.59144204101872	3.17169670363315	10.0453299782939	8.38578536316283	13.026156843141	13.7200753314658	12.4841714515638	15.212768192451	12.9707364963447	4.23929926873188	13.9127382231073	13.8479461203629
14	6.17387534846835	11.957832756215	7.50859807927105	14.2310788610426	13.0980352158295	6.3580442532286	8.12503774978433	5.10277955947581	10.0281244595031	7.44406587112406	12.699494222886	13.3579559070834	9.22097991250226	13.3969292590221	13.1793946760423	5.21476844355844	12.5566341231344	11.1388359993109
15	14.6345213545043	16.4264263139679	15.7953654123207	17.9174972609104	16.9581392454077	14.8615901195855	13.5642384056188	15.4530977139217	16.6083932063806	16.0752698074381	16.4223367392188	16.4886539621065	16.5024597616315	15.0493850502228	16.0496606863486	15.6017108401977	15.4816532206721	16.1067640324541
16	7.59963221851229	14.4970048363389	7.8608926062952	17.2639476749318	15.2528113950662	7.88714765138541	8.60691114703928	8.52069606519819	12.3473470653333	9.0176724588384	13.8635307122463	14.9888435064068	13.6330880527459	16.3838875698931	13.8708540460864	7.81711488543602	14.8230622519492	13.8088639511452
17	12.503008040714	14.2037191451232	13.4511150279935	15.995579914608	15.2222573226	11.8370729695777	10.824744143445	10.2872432552386	11.9240233724173	12.7858463578848	14.487459723263	14.8510514960059	12.7154950789167	14.7819213526199	14.5856538995901	12.0661343338764	14.0183398833559	12.9355135074736
18	11.5747187818764	15.6130770361979	13.2483037179309	15.6505265094357	16.0425639410123	14.2681485631114	11.6791562001413	12.4433914833194	13.6218767405231	13.8973914967347	14.693182182549	15.9614628989225	16.5161346985286	14.0178871001849	15.0722509770091	15.1760213535575	15.1018148255812	16.6708572933272
19	14.5486830305388	15.0287518031622	15.3104855674992	15.356665836174	15.4607073666838	14.5715198946286	14.9104135022474	15.239488774948	14.7938938381665	14.6882401645909	15.0239236249377	15.2748940028391	15.2667158647104	15.0464549519572	15.2412012652374	15.1539115673952	15.0987559209543	15.2581388378568
20	8.21982310557782	17.2800673402951	6.47640442600737	19.1369423981965	18.4606395859369	10.4923052848963	11.8178308046006	6.8825744545744	14.9706517244175	12.810332235693	16.9071553166889	17.9123355557946	16.0062644105064	19.0713025969894	16.595569166023	8.8591649858982	17.1890936802476	16.5563985687423
21	13.505198946288	13.5693525450443	11.9603496675618	15.0958244309145	13.9338910748081	14.3638042062171	11.2828989734295	12.3564307503572	14.4813889980303	14.8865534875962	13.3503141381427	13.4136015646944	14.6080100211458	13.522842321034	12.85255484117	12.6705730043172	12.8143872555246	14.6808623337742
22	13.893596988316	14.1623841836779	12.6338923689355	15.4399308777914	14.4464106351911	14.8539398031801	12.3117491109733	13.1465296671584	14.824054606811	15.0812404592363	14.2775521705621	14.9894510478765	15.7349091595472	14.6454788875573	13.5791744463997	13.7327321857423	13.7664315596805	15.3160690515337
