row ID	113.mzML Peak area	114.mzML Peak area	115.mzML Peak area	116.mzML Peak area	117.mzML Peak area	118.mzML Peak area	119.mzML Peak area	120.mzML Peak area	121.mzML Peak area	122.mzML Peak area	123.mzML Peak area	130.mzML Peak area	131.mzML Peak area	132.mzML Peak area	133.mzML Peak area	134.mzML Peak area	135.mzML Peak area	136.mzML Peak area	29.mzML Peak area	30.mzML Peak area	31.mzML Peak area	32.mzML Peak area	33.mzML Peak area	40.mzML Peak area	41.mzML Peak area	42.mzML Peak area	43.mzML Peak area	44.mzML Peak area	45.mzML Peak area	46.mzML Peak area
26	3598345.538	6115487.725	12700000	3472975.128	5336229.577	7294871.834	1096919.945	1385489.963	1960177.164	7994301.833	1056075.002	1600721.352	1583145.967	2830265.028	909554.4704	4659128.733	1933619.185	659523.1463	15200000	13100000	12800000	4426799.941	2357885.671	2763953.553	1595922.654	12800000	2546867.065	2507694.041	1617000.494	864044.8553
27	17111.32203	603489.8755	566187.3099	1893252.444	6130476.894	8875059.761	1636036.686	3240759.231	3461186.054	3526743.203	1276326.667	66871.70273	9793378.551	3987925.436	2412457.225	1793249.276	2185823.3	302877.6786	2223712.861	246980.4718	6831648.129	55368.48257	43253.24089	111236.2254	547404.967	116118.5977	315761.5775	380896.401	91004.61551	122755.5474
28	1746526.339	3495241.432	742695.6631	222384.7663	295794.1857	120041.3685	2202133.829	1585891.102	1023237.053	351483.5756	2125516.324	259478.7968	82968.3327	124051.8275	269679.6774	171915.8424	134449.3276	41193.28686	89765.92883	383036.0432	178569.8701	56411.34434	350997.9214	334450.1292	97318.61493	34827.67584	142288.3654	2099.98602	357689.8675	134521.3964
29	587.9776333	25192.64334	9809.516577	3994168.686	13400000	1927029.87	1218515.769	2265300.451	3316741.264	1768413.517	804487.2542	5673.020424	13400000	8307009.189	1277291.721	978884.125	12100000	352007.3121	683257.2532	1009.2255	4850125.805	1419.913234	2632.032854	0	6540.682454	0	732.5474923	0	43351.81428	0
30	1037241.037	1418883.182	583696.5907	805670.298	933133.0936	906956.6003	846690.6319	869485.075	699403.1727	732257.3793	874506.7375	1102590.412	848670.7669	1081804.597	825216.7771	808516.299	855244.1646	840597.4801	831835.1646	1187502.716	565621.9277	862031.3872	722619.7432	1010232.02	989202.9019	919293.2698	1021589.934	1000041.557	1130563.986	1215871.847
31	7698380.055	9522487.6	1301827.305	2015963.479	14400000	2412942.67	1205260.122	4437601.895	3276554.382	11800000	2701440.869	754429.7101	2454569.991	2114018.705	799753.532	806901.4853	2505535.437	1147983.991	6308892.302	2541803.278	9662166.907	1524945.829	2848309.662	944037.831	1001185.206	240376.3644	266088.8472	719043.8417	3597149.255	1285480.494
32	0	12060.97468	24112.27687	2092809.032	873799.672	484043.5402	721759.9144	807787.7593	1490336.775	729098.1716	821894.6484	2544.051982	2823516.133	2226547.619	1406353.107	1145301.291	1784212.105	389362.5355	372736.3691	0	1031518.372	1041.160316	5668.733617	0	1832.507877	0	0	0	41845.77828	0
33	3546.711368	59083.34537	26280.26475	1592400.224	1418072.436	390789.6794	754425.2736	910559.0625	1613921.086	1096529.746	820468.8832	4709.756271	7463145.615	3480424.603	1363942.342	1286473.577	2672725.384	387281.5117	588232.9169	7149.157917	1550155.889	2984.601422	11219.57029	3222.485362	6937.528076	5027.108186	3820.382585	3082.002308	12171.87011	2592.862249
34	7430758.75	7715855.871	7195600.209	7028719.693	7117885.108	7110992.466	7102247.893	7047363.946	9304041.547	6945649.06	7481621.365	7179453.265	7297743.263	7206508.436	7362494.01	6831195.964	7121903.19	7187398.973	7368209.449	7343239.488	7060605.706	7310510.777	7393489.009	7291494.624	7253934.454	7029403.942	7712916.347	7532600.662	7666933.032	7490512.935
35	2958393.964	5376280.548	2354794.556	2701583.984	13500000	2778712.048	529851.1909	2621311.889	4039972.93	16300000	1204658.144	290029.9409	1586884.463	572731.7334	289369.978	1062321.248	3695345.525	188645.2108	7612503.441	4877292.275	9693554.321	4234580.92	2990112.615	3147700.44	3372144.721	2742964.16	3751891.612	784279.0064	783781.1339	210253.26
