row ID	100.mzML Peak area	101.mzML Peak area	102.mzML Peak area	103.mzML Peak area	104.mzML Peak area	105.mzML Peak area	106.mzML Peak area	15.mzML Peak area	16.mzML Peak area	17.mzML Peak area	18.mzML Peak area	19.mzML Peak area	20.mzML Peak area	21.mzML Peak area	22.mzML Peak area	96.mzML Peak area	97.mzML Peak area	98.mzML Peak area	99.mzML Peak area
622	4881279.002	4341585.719	505446.3527	437250.3168	953896.4415	161177.9588	520273.2074	18659.19135	13711.93123	78787.27809	32003.77497	10388.15116	75005.88308	68727.20229	15359.73181	4232644.053	184201.2725	3784194.778	6301570.493
623	3116615.336	2023138.471	307997.6174	313674.9405	403110.6059	44762.50981	191968.0951	1396.266442	894.1688572	6809.027921	2282.378229	1347.97437	5229.357289	1019.952903	2115.503067	1641943.256	196648.2775	2106667.076	2095830.445
624	4411142.246	4816431.1	6218.30435	159152.6182	1622556.739	68406.24068	75415.26216	15530.97636	116225.9147	12170.1926	47564.17088	256019.2444	3654.784082	11887.96325	1841.988516	5315869.083	17910.72291	770063.4917	4800033.816
625	6903391.136	34900000	338683.5581	1790170.392	492734.0026	848397.5156	634077.1854	44491.70482	19298.29253	5226066.945	2651977.122	305647.4362	369178.0917	6113.878863	11056.09473	6730918.851	1565121.955	5868271.84	768472.9449
626	1288149.688	888570.3242	124340.1267	184315.3457	513742.6935	36751.19496	233510.9629	1523.335205	528.4078798	1624.4783	1121.921034	577.2797326	2345.205259	621.1762236	0	873309.8079	204094.7702	726887.9458	879064.542
627	2030598.354	1487768.643	2254278.998	1304321.922	1950977.285	2151482.486	101318.898	884663.1992	858680.3141	2576092.755	2567340.075	373922.6279	648633.2673	291322.7805	366050.9328	1611836.273	1555891.234	1910091.982	798309.6201
628	643141.4864	510342.7149	188935.4412	362106.6579	688015.6383	331892.8398	444423.7797	141724.7695	56586.10907	98498.45385	568243.3444	413251.3894	0	16606.59802	6717.168338	196775.6546	61190.93619	415198.6049	203500.4581
629	2554686.098	423647.2173	1779631.228	617058.4781	847134.2917	903206.0746	330067.7555	3011365.203	2495321.913	3218677.5	1756011.105	1773393.203	2517071.042	1200849.892	6776141.598	2873721.122	3848489.833	3557769.341	1323271.033
630	662253.1794	515794.4035	409637.7604	534334.5676	397426.6024	439199.0849	535777.2686	239502.2276	152701.2817	286814.6733	317194.0922	157447.0428	617376.4441	274395.8975	163050.4146	428309.5396	328296.9008	204974.6134	398194.5169
631	655904.7712	2203235.204	204580.209	693324.1202	689223.6246	232489.4378	494348.9663	334345.1127	284685.2909	110269.1443	106698.3985	1105542.402	90913.64749	117340.8831	95310.73801	837733.6641	335022.0717	3773128.823	1349806.287
632	1770278.365	2298968.911	125121.1144	643549.7051	631437.2291	160783.8479	422712.8346	424354.2482	188863.7803	234488.5893	281412.0631	2067439.224	192798.2053	128727.8685	286897.0224	1731398.046	106773.3693	856499.9893	1453037.385
633	815388.2611	333082.0379	34384.68009	79964.6117	458095.3938	941156.9386	44999.58784	0	0	10700000	5076265.02	160783.0774	152959.7668	0	0	2459672.404	413555.3098	377115.7684	137238.1951
634	2912032.076	3098568.871	806100.4063	1352880.918	1326495.605	3049136.564	1555961.759	8921917.393	4941279.324	5690595.105	4488908.879	18200000	9041164.481	6089690.041	4116257.327	2718309.651	3090949.054	1878037.122	1906801.257
635	90998.44632	164772.8531	223343.7496	620146.216	545406.8485	359706.0257	847356.314	34376.38346	14791.92341	95276.6709	62767.95525	15207.89896	37317.68694	10942.43865	24337.32468	254944.3029	73139.70671	385080.0385	280913.3237
636	970626.5741	1754336.931	1584719.527	2760990.847	876433.6039	2664909.298	2016247.495	796839.3404	1143714.993	827353.3543	1178240.12	815613.0847	1263957.85	1403954.914	1613870.181	1292987.218	2782562.023	1841224.771	1285708.806
