sample_name	filename	sample_weight_MS (g)	recostitution volume (mL)	sample_id	tube_id	ATTRIBUTE_host_subject_id	sample_type	dob	dod	sex	cage_id	host_age_at_sac	ATTRIBUTE_host_age_at_sample_collection	host_age_units	collection_timestamp	ATTRIBUTE_disease_stage	ATTRIBUTE_condition	ATTRIBUTE_timepoint	mouse_strain	dam	sire
53.mzML Peak area	53.mzML	0.0419	0.838	3L.H1	3L_H1	3L	stool	18/11/2020	27/4/2021	M	STZ_3	22	22	weeks	23/4/2021	HCC	FT	ZT1	C57BL/6	C57_11N	C57_11M
54.mzML Peak area	54.mzML	0.0173	0.346	5L.H1	5L_H1	5L	stool	19/11/2020	27/4/2021	M	STZ_5	22	22	weeks	23/4/2021	HCC	FT	ZT1	C57BL/6	C57_13N	C57_13M
55.mzML Peak area	55.mzML	0.0138	0.276	6R.H1	6R_H1	6R	stool	20/11/2020	27/4/2021	M	STZ_6	22	22	weeks	23/4/2021	HCC	FT	ZT1	C57BL/6	C57_5N	C57_5M
56.mzML Peak area	56.mzML	0.0119	0.238	10N.H1	10N_H1	10N	stool	18/11/2020	26/4/2021	M	STZ_10	22	22	weeks	23/4/2021	HCC	FT	ZT1	C57BL/6	C57_5L	C57_5M
57.mzML Peak area	57.mzML	0.0186	0.372	7N.H1	7N_H1	7N	stool	18/11/2020	27/4/2021	M	STZ_7	22	22	weeks	23/4/2021	HCC	FA	ZT1	C57BL/6	C57_5L	C57_5M
58.mzML Peak area	58.mzML	0.0316	0.632	7L.H1	7L_H1	7L	stool	18/11/2020	26/4/2021	M	STZ_7	22	22	weeks	23/4/2021	HCC	FA	ZT1	C57BL/6	C57_11N	C57_11M
59.mzML Peak area	59.mzML	0.0132	0.264	8N.H1	8N_H1	8N	stool	19/11/2020	27/4/2021	M	STZ_8	22	22	weeks	23/4/2021	HCC	FA	ZT1	C57BL/6	C57_3L	C57_3M
60.mzML Peak area	60.mzML	0.0153	0.306	8L.H1	8L_H1	8L	stool	19/11/2020	27/4/2021	M	STZ_8	22	22	weeks	23/4/2021	HCC	FA	ZT1	C57BL/6	C57_12L	C57_12M
61.mzML Peak area	61.mzML	0.023	0.46	9bN.H1	9bN_H1	9bN	stool	19/11/2020	27/4/2021	M	STZ_9b	22	22	weeks	23/4/2021	HCC	NA	ZT1	C57BL/6	C57_3L	C57_3M
62.mzML Peak area	62.mzML	0.0497	0.994	9bB.H1	9bB_H1	9bB	stool	24/11/2020	26/4/2021	M	STZ_9b	22	22	weeks	23/4/2021	HCC	NA	ZT1	C57BL/6	C57_2N	C57_2M
