sample_name	filename	sample_weight_MS (g)	recostitution volume (mL)	sample_id	tube_id	ATTRIBUTE_host_subject_id	sample_type	dob	dod	sex	cage_id	host_age_at_sac	ATTRIBUTE_host_age_at_sample_collection	host_age_units	collection_timestamp	ATTRIBUTE_disease_stage	ATTRIBUTE_condition	ATTRIBUTE_timepoint	mouse_strain	dam	sire
1.mzML Peak area	1.mzML	0.0077	0.154	3L.T1	3L_T1	3L	stool	18/11/2020	27/4/2021	M	STZ_3	22	7	weeks	13/1/2021	TRF	FT	ZT1	C57BL/6	C57_11N	C57_11M
10.mzML Peak area	10.mzML	0.0224	0.448	9bR.T1	9bR_T1	9bR	stool	22/11/2020	12/3/2021	M	STZ_9b	not_applicable	7	weeks	13/1/2021	TRF	NA	ZT1	C57BL/6	C57_9N	C57_9M
100.mzML Peak area	100.mzML	0.0634	1.268	15L.T13	15L_T13	15L	stool	20/1/2021	16/4/2021	M	STZ_15	12	7	weeks	19/3/2021	TRF	FT	ZT13	C57BL/6	C57_4N	C57_4M
101.mzML Peak area	101.mzML	0.055	1.1	16R.T13	16R_T13	16R	stool	22/1/2021	16/4/2021	M	STZ_16	12	7	weeks	19/3/2021	TRF	FT	ZT13	C57BL/6	C57_8N	C57_8M
102.mzML Peak area	102.mzML	0.0572	1.144	17N.T13	17N_T13	17N	stool	19/1/2021	16/4/2021	M	STZ_17	12	7	weeks	19/3/2021	TRF	FA	ZT13	C57BL/6	C57_15N	C57_15M
103.mzML Peak area	103.mzML	0.0527	1.054	17R.T13	17R_T13	17R	stool	22/1/2021	15/4/2021	M	STZ_17	12	7	weeks	19/3/2021	TRF	FA	ZT13	C57BL/6	C57_8N	C57_8M
104.mzML Peak area	104.mzML	0.0526	1.052	18L.T13	18L_T13	18L	stool	20/1/2021	16/4/2021	M	STZ_18	12	7	weeks	19/3/2021	TRF	FA	ZT13	C57BL/6	C57_7L	C57_7M
105.mzML Peak area	105.mzML	0.0287	0.574	18R.T13	18R_T13	18R	stool	22/1/2021	15/4/2021	M	STZ_18	12	7	weeks	19/3/2021	TRF	FA	ZT13	C57BL/6	C57_12L	C57_12M
106.mzML Peak area	106.mzML	0.0606	1.212	20N.T13	20N_T13	20N	stool	20/1/2021	16/4/2021	M	STZ_20	12	7	weeks	19/3/2021	TRF	FA	ZT13	C57BL/6	C57_1N	C57_1M
107.mzML Peak area	107.mzML	0.0607	1.214	21L.T13	21L_T13	21L	stool	20/1/2021	16/4/2021	M	STZ_21	12	7	weeks	19/3/2021	TRF	NA	ZT13	C57BL/6	C57_9N	C57_9M
