Feature	Intercept_mean	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_mean	Intercept_std	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_std	Intercept_hdi	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_hdi
636c27859c1ac0a7994ca8ed145d03fe	-3.847738654999996	0.4543338300899996	0.4310485908990317	0.5172949059510575	(-4.67946, -3.09811)	(-0.438098, 1.52522)
3af4973333a2fb53d4f764da8cebd075	-7.786522214999994	-1.9975927363549983	0.6790282747811343	0.8774541254253536	(-8.90817, -6.36459)	(-3.75523, -0.393736)
d13dddb8f756f25d11fa819bd5b300fb	-7.144463237250009	-5.744784393464998	1.862635091332935	3.870668399184446	(-10.1845, -3.45501)	(-13.0889, 2.1694)
f08bbcf4cf1c5aaaf178be4b82cc6ea4	-8.324064183180003	-3.802307696702497	3.282295801920338	4.417663573009269	(-13.0902, -1.42453)	(-11.6658, 5.3041)
c8e2ce8722ae2deaae12eb9b9792c6be	-7.932950135999998	-0.6011976335495013	2.0324566948400333	2.3254556921612077	(-11.0198, -3.89583)	(-4.95445, 3.88715)
aa5e7338afe8a35fbac4083c1d1b8721	-7.528659267099995	0.25773218744299997	2.323121738860674	2.59748398633564	(-11.1118, -2.63703)	(-5.07302, 4.9627)
dbb91f355676d9cb4e3d22fa69ad6292	-7.957635911500012	-0.7058165305635011	1.3724388950065973	1.6175328489780716	(-10.0607, -5.36339)	(-3.83686, 2.29603)
a22aa5ad040d319a75e3e5fc28fdab62	-8.052251854999987	-1.4855151962120023	1.3050303428939913	1.5774776698135973	(-10.1952, -5.36854)	(-4.78046, 1.2109)
d079f3a267f434611eec9e5c1b108650	-7.3707026074500055	-5.857005272029993	1.9162553794409132	3.7979755836342814	(-10.4751, -3.72557)	(-13.1985, 1.26316)
0bb796588cb052d2a5a49bd17a7bac3a	-8.566667972499998	-2.2529015513849995	1.6123717876398407	1.9554708040502455	(-10.9046, -5.15231)	(-6.11136, 1.22626)
679e26e1fa39c79d370763fafc27e942	-7.148783605439493	0.5124269982347001	4.32013610125255	4.1409382327340705	(-14.3571, 1.48578)	(-7.50014, 8.09596)
5be4d98ca9836b018533b8309ffe730e	-10.834687796499995	-0.9513582748449994	2.1136706984988245	2.150749915535629	(-14.5809, -7.13423)	(-5.41104, 2.72145)
42510fba05dfdca4d4abce03bed0ebb9	-7.928312446400017	-3.3715248196600056	3.2691815718510364	4.627996994686609	(-13.4017, -1.76619)	(-12.1067, 5.43973)
6914456cb3115ba1d4aa9fdf8f5dd7ec	-3.719609645400001	-0.46633831808150017	0.6002212623153796	0.7086103180749042	(-4.73165, -2.66323)	(-1.66295, 0.826275)
69489dc1b80bc7d777214b41cc953b31	-6.776483288200007	0.2798348905185006	1.4438520765394303	1.650995436438447	(-8.99368, -3.9089)	(-3.08547, 3.14719)
fa5c6396b901dff5b3cdfcea9ae95574	-11.356417959999987	2.2975413146649974	3.0135907841232594	2.8348518002778498	(-16.4597, -4.62919)	(-3.45597, 7.64479)
1079d98118fdec8d1159c1f5dae464c7	-7.563159455000012	-1.6819286733499985	0.9072755582802022	1.0757324068645804	(-8.95163, -5.64892)	(-3.9604, 0.111461)
a814fa53675e61dfdc958627b6fb14f4	-7.384374872050009	-0.09224284885300009	2.464451716689158	2.702020867216275	(-11.5071, -2.84219)	(-4.86757, 5.59566)
6afe22267ea7abb7e19d1ac5fd390943	-7.528538100499997	-0.38219792489000026	1.6156100191216614	1.8920078157221483	(-10.0676, -4.26271)	(-4.15407, 3.04245)
232b620c68449ef867edeb991e329d50	-9.050012218300001	-0.5709678539749993	2.837651291380594	2.829018966785171	(-13.3083, -3.59569)	(-6.2443, 4.70918)
faad4078b56ab2bfc13deec775e25d08	-7.977308901799994	0.5194977777250019	4.604972201405097	4.260292013667257	(-16.0271, 1.03894)	(-8.11131, 7.99589)
c46fb709d49143a3f9b42ed3d3ec3a24	-8.456524320000007	-0.27246100756999964	0.8703594150433693	1.0026862851395517	(-9.93474, -6.86704)	(-2.14583, 1.52907)
d1c1529acbbd977e6219701a664424f0	-4.367400453300005	-2.8054361721034997	1.0745124022430932	1.2789461909867819	(-6.07968, -2.40389)	(-5.23614, -0.560919)
3ab446a7c5219627e54bdc9f4cee388c	-7.928695941999997	0.6656737144934987	1.0322521243244602	1.1867623172337187	(-9.71593, -6.35109)	(-1.46428, 2.63655)
f317a8a60481a769ff9c36a33fc7c88f	-4.901164519999999	-0.7298275955259989	0.5249223661052842	0.6512910641854278	(-5.86036, -3.88674)	(-1.90157, 0.552615)
967a7958406dfe8af43d80a02afd05b9	-6.2570029699999985	-1.3130521137449982	0.6923604000283944	0.830225694454305	(-7.44798, -4.96561)	(-2.85766, 0.28491)
cbcfd6279669d3819e9c39e16196432b	-4.247351925499996	-0.9573756993700012	0.6888694851835128	0.8195023117260322	(-5.34951, -2.9876)	(-2.60142, 0.500523)
de2b74b8890d40f4462c2a39ba26c418	-8.364095235000006	2.266482833999999	0.6164374527327529	0.7460908309027517	(-9.5524, -7.20061)	(0.782578, 3.60311)
f5414775dbb62c2ca34068aa87d4da79	-7.489583713200006	2.241705469359997	2.252342987447504	2.3388434352764462	(-10.8992, -2.95266)	(-2.6938, 6.16984)
d8edc61e66f9d40df99c759f87d400f7	-10.846310704799995	-4.000941336310005	2.231610993599898	3.6696907076608074	(-14.5791, -6.74135)	(-10.89, 2.41319)
2be8d27a0d6e81fe2e7f5b0d1000bb07	-8.758472630850001	-4.057788412744996	3.371556813970875	4.330148465536184	(-13.3939, -2.16891)	(-13.1376, 4.01115)
749368cececc692b80a519617aaeb1e7	-9.93309445905001	-4.290400853704999	2.4781553834410226	3.5288555370432304	(-13.3979, -4.52625)	(-11.6604, 1.77075)
12acee2733a9b1812345a148d7a0419f	-6.8419169917500025	0.40852884197299966	4.521009029328356	4.053483111135472	(-14.4571, 2.53935)	(-6.73037, 8.3082)
