Name	ratio	min	max	cred	cat	condition	week
ca7253d5f8803f723e3b88df83b7e3d0 d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Duncaniella; s__Duncaniella dubosii	-4.44931586829501	-8.58414	-0.409826	credible	Non_NASH	FA	4
dd7f2207006272a8468cfd7dcfece32f d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Angelakisella; s__Angelakisella massiliensis	-4.41599110488	-9.69711	1.95097	not_credible	Non_NASH	FA	4
2ae4d6fb9a3b5d9b559f26bda87eeb3b d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Kineothrix; s__Kineothrix sp000403275	-4.17937477846	-8.07157	-0.539597	credible	Non_NASH	FA	4
5b6e5073c89e5617b7227481b62fcbee d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Acutalibacter; s__Acutalibacter muris	-4.10322707	-6.27346	-2.02367	credible	Non_NASH	FA	4
e32f283ff0b4e236db9c0fe5b1327de7 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-4.10273109763499	-9.13945	2.96881	not_credible	Non_NASH	FA	4
cf217985586125307a454c0a4e262293 d__Bacteria	-4.08663527452001	-11.6888	4.44793	not_credible	Non_NASH	FA	4
d4e77c532993fdf90510bf07f7fe06cb d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_J; s__Eubacterium_J plexicaudatum	-4.08663527452001	-11.6888	4.44793	not_credible	Non_NASH	FA	4
93a41ead206a96a8e751031766fcd738 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Paralachnospira; s__Paralachnospira sp902363445	-4.06151671845	-12.2426	4.28615	not_credible	Non_NASH	FA	4
8663bf202f30bb6dae39e0cbc0832191 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Bilifractor; s__Bilifractor porci	-4.03045696574	-11.2352	1.88925	not_credible	Non_NASH	FA	4
4e4f3ee71d8a616459e9544caee9955f d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__14-2; s__14-2 sp000403315	-3.9778431873	-12.2245	3.9023	not_credible	Non_NASH	FA	4
42510fba05dfdca4d4abce03bed0ebb9 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__TANB77; f__CAG-508; g__CAG-269; s__CAG-269 sp000431335	-3.94786098245721	-11.8967	3.55873	not_credible	Non_NASH	FA	4
cb0ecec60901718d4bfac9d2c2c78c48 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales	-3.94786098245721	-11.8967	3.55873	not_credible	Non_NASH	FA	4
14d6de6a2dfe4543142d0e0851297ffa d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__CAG-95; s__CAG-95 sp900066375	-3.84399949008499	-7.87855	0.690988	not_credible	Non_NASH	FA	4
5ece98c0cac362bb89d0929bf339db77 d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales_595427; f__Burkholderiaceae_A_595427; g__Parasutterella	-3.80041159391499	-11.2833	3.61594	not_credible	Non_NASH	FA	4
ea863dc8850f19bfd3e488e764a7f747 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-3.77121644012	-11.4249	1.97029	not_credible	Non_NASH	FA	4
71d094b7079dfef6a8ba5fe9a1f27226 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__COE1; s__COE1 sp000403215	-3.77121644012	-11.4249	1.97029	not_credible	Non_NASH	FA	4
232b620c68449ef867edeb991e329d50 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-3.77121644012	-11.4249	1.97029	not_credible	Non_NASH	FA	4
85c28c7ac2b4fc1c14c9f22e7681584f d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Massilioclostridium; s__	-3.77121644012	-11.4249	1.97029	not_credible	Non_NASH	FA	4
c0acc5ee9126e7dcb71b95e0d00e4ae5 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-3.74146618586149	-11.5761	5.03757	not_credible	Non_NASH	FA	4
438b7b00a2e46de34e6ec2fe0e4e96d5 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Kineothrix; s__Kineothrix sp000403275	-3.74146618586149	-11.5761	5.03757	not_credible	Non_NASH	FA	4
e3f6ad4b3e6c8d1668daac8f91ad497e d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-3.65234031495	-11.1742	5.31708	not_credible	Non_NASH	FA	4
2a75f0b7741e4b22a9843daf1e4c10a4 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-3.645836450945	-11.7299	5.11881	not_credible	Non_NASH	FA	4
0fc21b0da0b6c449c1404d58d21dbc77 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Acetatifactor; s__Acetatifactor sp900066565	-3.645836450945	-11.7299	5.11881	not_credible	Non_NASH	FA	4
8bf8d51dc012e10bd34e51098a89fbfe d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__CAG-272; g__Avispirillum; s__Avispirillum sp011957885	-3.6322071129	-11.537	5.60369	not_credible	Non_NASH	FA	4
2dfc63861bbe2e96d627965584ef575d d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-3.6322071129	-11.537	5.60369	not_credible	Non_NASH	FA	4
42af849d4a297e128dd2f63467c53c2e d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__TANB77; f__CAG-508; g__CAG-269; s__CAG-269 sp000431335	-3.513713498139	-12.0401	5.07821	not_credible	Non_NASH	FA	4
2d36589f4c289884e2ba55e79afa4c3f d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-3.44685191022499	-12.2359	5.19819	not_credible	Non_NASH	FA	4
4f0c9444939147ce28f9ad9aec7d6072 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-3.2568641675	-11.6099	5.93142	not_credible	Non_NASH	FA	4
3539962076aae14222de1be557d43d09 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__; s__	-3.2568641675	-11.6099	5.93142	not_credible	Non_NASH	FA	4
d90a306bb67d75602d9e789894d2c81e d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Lawsonibacter	-3.24854102965	-5.88809	-1.20353	credible	Non_NASH	FA	4
f0c24643917a052add6ebb33ad64db9c d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__UBA3282; s__UBA3282 sp003611805	-3.23861918044	-7.07972	0.839767	not_credible	Non_NASH	FA	4
252b2620ee96f08d9563ddd148a75214 d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales	-3.152945773305	-6.21376	-0.919174	credible	Non_NASH	FA	4
f3ab15e5e867e88e22c848627e1e3d16 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-3.151574064395	-6.50118	0.292763	not_credible	Non_NASH	FA	4
f1cc71ba3d3e0e9964c58dafa8a8bbc0 d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae	-3.03931984625	-4.87405	-1.10951	credible	Non_NASH	FA	4
e9b7ddfac6ddbf88f1547702c21aa818 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-3.0088620469	-10.9763	6.94817	not_credible	Non_NASH	FA	4
e12aa069e7978c59df40a9772bdf95e1 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Soleaferrea; s__	-2.86419159621	-7.54474	1.97388	not_credible	Non_NASH	FA	4
e613626b2ce8bfbf28995d9b11edaeed d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__; s__	-2.79296719944	-5.29204	-0.120878	credible	Non_NASH	FA	4
06c103138502cdd9b9feba706d24cbd3 d__Bacteria; p__Firmicutes_D; c__Bacilli; o__RF39; f__UBA660; g__Faecimonas; s__	-2.5565810683	-4.95128	-0.414762	credible	Non_NASH	FA	4
8baa3898ce278f3ac2175daed707d05c d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Acutalibacter; s__Acutalibacter sp009936055	-2.315981342825	-5.06822	0.184025	not_credible	Non_NASH	FA	4
1079d98118fdec8d1159c1f5dae464c7 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Merdisoma; s__Merdisoma sp011959465	-2.278994236925	-5.0306	0.460693	not_credible	Non_NASH	FA	4
fc5b974c574daac4bdd7fa5c979638b3 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Kineothrix; s__Kineothrix sp000403275	-2.158594263715	-6.20056	1.87209	not_credible	Non_NASH	FA	4
fa8fd133d35f1f58e08b2cfc9a88cb96 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-2.021271614305	-8.40456	4.66118	not_credible	Non_NASH	FA	4
eb4104bfe7ff965e7288b9e381317aa8 d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-2.01140304215	-3.82854	-0.177073	credible	Non_NASH	FA	4
9697093167165ec9bc77828de856e1fe d__Bacteria; p__Firmicutes_A; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	-1.97958993913	-3.82923	-0.428842	credible	Non_NASH	FA	4
