file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	MassIVE	Filename	node_id	Scan
mzspec:MSV000084900:G72672_rerun_5ul_RB12_01_17652	-0.0	mzspec:MSV000084900:G72672_rerun_5ul_RB12_01_17652:scan:963	1	0.71	6	MSV000084900	NoID	MSV000084900	G72672_rerun_5ul_RB12_01_17652.mzXML	sesame seed	2934
mzspec:MSV000084900:G79332_5x_BE12_01_19324	0.0	mzspec:MSV000084900:G79332_5x_BE12_01_19324:scan:998	1	0.94	11	MSV000084900	NoID	MSV000084900	G79332_5x_BE12_01_19324.mzXML	mouse intestines	4166
mzspec:MSV000084900:Fish_10_1x_GE2_01_20520	0.0	mzspec:MSV000084900:Fish_10_1x_GE2_01_20520:scan:1212	1	0.84	11	MSV000084900	NoID	MSV000084900	Fish_10_1x_GE2_01_20520.mzXML	mackerel, bile	4166
mzspec:MSV000084900:G75793_5x_BF9_01_19336	0.0	mzspec:MSV000084900:G75793_5x_BF9_01_19336:scan:1016	1	0.83	10	MSV000084900	NoID	MSV000084900	G75793_5x_BF9_01_19336.mzXML	lizard body	4166
mzspec:MSV000084900:G79469_5x_RF9_01_18153	0.0	mzspec:MSV000084900:G79469_5x_RF9_01_18153:scan:1086	1	0.83	10	MSV000084900	NoID	MSV000084900	G79469_5x_RF9_01_18153.mzXML	sardine, eye	4166
mzspec:MSV000084900:G79470_5x_RG9_01_18193	0.0	mzspec:MSV000084900:G79470_5x_RG9_01_18193:scan:1075	1	0.83	10	MSV000084900	NoID	MSV000084900	G79470_5x_RG9_01_18193.mzXML	sardine, fins	4166
mzspec:MSV000084900:G75110_1x_RC7_01_23410	-0.0	mzspec:MSV000084900:G75110_1x_RC7_01_23410:scan:1087	1	0.82	10	MSV000084900	NoID	MSV000084900	G75110_1x_RC7_01_23410.mzXML	african catfish	4166
mzspec:MSV000084900:G79317_5x_rerun_BB11_01_19393	0.0	mzspec:MSV000084900:G79317_5x_rerun_BB11_01_19393:scan:1068	1	0.82	10	MSV000084900	NoID	MSV000084900	G79317_5x_rerun_BB11_01_19393.mzXML	trout, skin	4166
mzspec:MSV000084900:G79320_5x_BC11_01_19290	0.0	mzspec:MSV000084900:G79320_5x_BC11_01_19290:scan:1043	1	0.82	9	MSV000084900	NoID	MSV000084900	G79320_5x_BC11_01_19290.mzXML	trout, eye	4166
mzspec:MSV000084900:Fish_16_1x_GE8_01_20537	0.0	mzspec:MSV000084900:Fish_16_1x_GE8_01_20537:scan:991	1	0.81	10	MSV000084900	NoID	MSV000084900	Fish_16_1x_GE8_01_20537.mzXML	mackerel, dig	4166
mzspec:MSV000084900:G75792_5x_rerun_BA2_01_19376	0.0	mzspec:MSV000084900:G75792_5x_rerun_BA2_01_19376:scan:1074	1	0.81	10	MSV000084900	NoID	MSV000084900	G75792_5x_rerun_BA2_01_19376.mzXML	trout, center meat	4166
mzspec:MSV000084900:G79319_5x_BD11_01_19307	0.0	mzspec:MSV000084900:G79319_5x_BD11_01_19307:scan:1071	1	0.8	10	MSV000084900	NoID	MSV000084900	G79319_5x_BD11_01_19307.mzXML	trout, meat	4166
mzspec:MSV000084900:G79582_5x_RB7_01_18068	0.0	mzspec:MSV000084900:G79582_5x_RB7_01_18068:scan:1067	1	0.8	10	MSV000084900	NoID	MSV000084900	G79582_5x_RB7_01_18068.mzXML	silversides, meat	4166
mzspec:MSV000084900:G79649_5x_BB12_01_19966	0.0	mzspec:MSV000084900:G79649_5x_BB12_01_19966:scan:1072	1	0.8	9	MSV000084900	NoID	MSV000084900	G79649_5x_BB12_01_19966.mzXML	complex	4166
mzspec:MSV000084900:G79592_5x_RB8_01_18070	0.0	mzspec:MSV000084900:G79592_5x_RB8_01_18070:scan:1075	1	0.79	10	MSV000084900	NoID	MSV000084900	G79592_5x_RB8_01_18070.mzXML	mackerel, fins	4166
mzspec:MSV000084900:G79581_1x_BA7_01_17947	0.01	mzspec:MSV000084900:G79581_1x_BA7_01_17947:scan:1080	1	0.79	10	MSV000084900	NoID	MSV000084900	G79581_1x_BA7_01_17947.mzXML	mackerel, white skin	4166
mzspec:MSV000084900:G79580_5x_RE7_01_17965	0.0	mzspec:MSV000084900:G79580_5x_RE7_01_17965:scan:1055	1	0.79	10	MSV000084900	NoID	MSV000084900	G79580_5x_RE7_01_17965.mzXML	silversides, gut	4166
mzspec:MSV000084900:G79342_5x_rerun_BA6_01_19415	0.0	mzspec:MSV000084900:G79342_5x_rerun_BA6_01_19415:scan:1080	1	0.78	10	MSV000084900	NoID	MSV000084900	G79342_5x_rerun_BA6_01_19415.mzXML	complex	4166
mzspec:MSV000084900:G79558_1x_BE12_01_18016	-0.0	mzspec:MSV000084900:G79558_1x_BE12_01_18016:scan:1080	1	0.78	10	MSV000084900	NoID	MSV000084900	G79558_1x_BE12_01_18016.mzXML	trout, fins	4166
mzspec:MSV000084900:G79584_5x_RH6_01_18243	0.0	mzspec:MSV000084900:G79584_5x_RH6_01_18243:scan:1061	1	0.78	10	MSV000084900	NoID	MSV000084900	G79584_5x_RH6_01_18243.mzXML	mackerel, organ	4166
