file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	Filepath	Filename	MassIVE	Taxaname_file	Taxa_NCBI	ReDU_Availability	Blank	QC	Scan
mzspec:MSV000085129:02417_Pl_9	0.0	mzspec:MSV000085129:02417_Pl_9:scan:3539	1	0.97	7	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_1/02417_Pl_9.mzML	MSV000085129/02417_Pl_9.mzML	MSV000085129	Magnoliopsida	3398	No	No	No	3552
mzspec:MSV000083756:QCmix4_RF2_216	-0.0	mzspec:MSV000083756:QCmix4_RF2_216:scan:3494	1	0.96	7	MSV000083756	NoID	MSV000083756/ccms_peak/QCmix4_RF2_216.mzML	MSV000083756/QCmix4_RF2_216.mzML	MSV000083756	QC	QC	Yes	No	Yes	3552
mzspec:MSV000085129:02297_Pl_6	0.0	mzspec:MSV000085129:02297_Pl_6:scan:3441	1	0.96	6	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_1/02297_Pl_6.mzML	MSV000085129/02297_Pl_6.mzML	MSV000085129	Magnoliopsida	3398	No	No	No	3552
mzspec:MSV000085129:02435_Pl_1	0.0	mzspec:MSV000085129:02435_Pl_1:scan:3491	1	0.96	6	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_1/02435_Pl_1.mzML	MSV000085129/02435_Pl_1.mzML	MSV000085129	Magnoliopsida	3398	No	No	No	3552
mzspec:MSV000085129:02436_Pl_1	0.0	mzspec:MSV000085129:02436_Pl_1:scan:3431	1	0.96	6	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_1/02436_Pl_1.mzML	MSV000085129/02436_Pl_1.mzML	MSV000085129	Magnoliopsida	3398	No	No	No	3552
mzspec:MSV000085129:02363_Pl_1	0.0	mzspec:MSV000085129:02363_Pl_1:scan:3451	1	0.96	6	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_1/02363_Pl_1.mzML	MSV000085129/02363_Pl_1.mzML	MSV000085129	Magnoliopsida	3398	No	No	No	3552
mzspec:MSV000085129:02520_Pl_5	0.0	mzspec:MSV000085129:02520_Pl_5:scan:3408	1	0.95	7	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_2/02520_Pl_5.mzML	MSV000085129/02520_Pl_5.mzML	MSV000085129	Magnoliopsida	3398	No	No	No	3552
mzspec:MSV000085129:02532_Pl_9	0.0	mzspec:MSV000085129:02532_Pl_9:scan:3436	1	0.95	7	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_2/02532_Pl_9.mzML	MSV000085129/02532_Pl_9.mzML	MSV000085129	Magnoliopsida	3398	No	No	No	3552
mzspec:MSV000085129:02495_Pl_9	0.0	mzspec:MSV000085129:02495_Pl_9:scan:3405	1	0.95	7	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_2/02495_Pl_9.mzML	MSV000085129/02495_Pl_9.mzML	MSV000085129	Magnoliopsida	3398	No	No	No	3552
mzspec:MSV000085129:02326_Pl_1	0.0	mzspec:MSV000085129:02326_Pl_1:scan:3490	1	0.95	6	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_1/02326_Pl_1.mzML	MSV000085129/02326_Pl_1.mzML	MSV000085129	Magnoliopsida	3398	No	No	No	3552
mzspec:MSV000085129:02512_Pl_5	0.0	mzspec:MSV000085129:02512_Pl_5:scan:3433	1	0.95	6	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_2/02512_Pl_5.mzML	MSV000085129/02512_Pl_5.mzML	MSV000085129	Magnoliopsida	3398	No	No	No	3552
mzspec:MSV000085129:02525_Pl_9	0.0	mzspec:MSV000085129:02525_Pl_9:scan:3470	1	0.95	6	MSV000085129	NoID	MSV000085129/ccms_peak/mzMLs_2/02525_Pl_9.mzML	MSV000085129/02525_Pl_9.mzML	MSV000085129	Magnoliopsida	3398	No	No	No	3552
