FeatureID	CIR16.001	CIR18.001	CIR19.001	CIR20.001	CIR21.001	CIR23.001	CIR26.001	CIR32.001	CIR4.001	CIR41.001	CIR42.001	CIR5.001	CIR51.001	CIR52.001	CIR53.001	CIR54.001	CIR55.001	CIR57.001	CIR58.001	CIR6.001	CIR60.001	CIR61.001	CIR63.001	CIR7.001	TW.AF.001	TW.AG.002	TW.AI.001	TW.AM.001	TW.AN.001	TW.AO.001	TW.AP.002	TW.AR.001	TW.AT.001	TW.AU.001	TW.AW.001	TW.AX.001	TW.AY.001	TW.AZ.002	TW.BE.002	TW.BG.001	TW.BI.001	TW.BJ.002	TW.BK.001	TW.BM.002	TW.BN.001	TW.BQ.001	TW.BS.002	TW.BU.002	TW.BV.001	TW.BZ.002	TW.CA.001	TW.CB.002	TW.CC.001	TW.CG.001	TW.CH.001	TW.CI.002	TW.CO.001	TW.CP.001	TW.CS.002	TW.CT.001	TW.CV.001	TW.CW.001	TW.CZ.001	TW.DB.001	TW.DG.001	TW.DJ.001	TW.DK.002	TW.DM.002	TW.DP.002	TW.DQ.001	TW.DR.001	TW.DS.002	TW.DU.002	TW.DX.001	TW.DY.002	TW.DZ.001	TW.EE.001	TW.EH.002
1323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
819	0	0	0	76833.89	0	0	0	3004.8472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84055.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231324.84	0	0
1776	4139.4795	357.25378	0	0	15.3684845	33.827515	19.288223	8.248507	42.27561	32.981907	36.49716	0	0	0	0	0	0	0	0	44.96713	51.504116	0	6.7210207	122.52072	124.29554	0	24.496044	37.708195	29.578842	0	0	305.00482	105.112976	29.344255	0	0	122.43977	0	41.4816	0	0	0	6.2257414	50.66524	0	0	0	0	0	0	27.658318	0	31.131895	2701.1814	869.14453	201.59062	54.476166	99.93609	5.6167755	0	0	0	347.53732	136.94803	0	6.150194	16.868616	0	0	0	13.437254	4.7719235	25.382982	5.864222	109.8199	438.23798	2497.592	65.29954
664	8557.641	5215.748	127.69809	3906.4211	248.68149	1051.7279	1907.8636	709.03046	1829.0968	768.27295	669.2725	281.65585	437.95456	384.6826	920.4241	1118.9784	1106.4774	467.88617	826.5282	3449.2732	1912.4799	50.159424	2266.8281	1835.1718	2362.3826	580.4137	447.64017	479.87775	388.3584	25.234035	0	2621.8079	320.49112	81.221436	107.73392	240.3087	890.8196	0	335.25638	0	0	132.56398	8.877953	300.15515	386.67657	52.899414	5.2209997	264.62375	0	116.15013	299.30096	0	588.17847	4007.715	2365.8855	15049.5625	610.32776	961.8028	147.95317	174.61652	12.317409	20.40427	412.3579	1112.1307	0	368.32263	601.6508	75.19466	172.46037	131.34212	351.52228	737.07654	507.72125	1361.4089	1407.2214	2744.3613	5409.9917	2526.839
243	458.8002	3359.5178	49.531845	506.8833	703.58624	1794.4015	5161.603	834.5245	1672.3928	9.183193	30.344292	158.21733	269.8637	295.27603	123.52515	1123.1527	453.53436	0	399.72833	3472.6553	292.6101	9.910362	230.24033	857.5448	1134.5074	532.173	1970.9457	24.458035	1511.3148	18.26848	0	1199.5546	880.7941	120.49358	137.74442	425.98605	1889.08	0	0	0	5.26406	333.74094	80.731964	1108.6855	794.9458	252.0915	32.23642	527.7374	24.628906	180.18808	1317.3821	0	357.48132	144.89725	809.7094	903.0474	37.582977	49.170647	185.39009	18.34707	7.1959925	28.56281	75.489136	84.59608	0	331.74756	1033.8256	104.25599	11.6672535	19.763735	385.69662	365.53043	118.25333	819.669	2273.3738	244.8242	415.25403	537.8135
759	1093.5414	330.18536	0	0	0	0	8.188662	16.516598	98.71315	0	0	0	0	0	6.099271	0	0	0	5.743603	30.216055	81.01392	0	0	15.295849	65.22803	0	0	0	0	0	0	231.30295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298.07632	341.89368	276.59155	25.174133	38.414032	0	0	0	0	0	29.164856	0	0	0	0	0	0	0	11.325068	0	0	81.91287	161.65657	331.24933	0
5871	130.79686	117.39995	0	11.367466	19.259083	0	23.478462	0	0	16.653175	17.148592	78.92004	23.38997	0	25.534397	47.069473	88.502785	4.5904207	5.7593846	0	0	0	0	16.07634	0	45.032166	34.201786	5.3052635	17.684925	0	0	33.879177	26.110172	524.4135	7.7369223	60.936882	101.23886	0	0	0	35.34562	0	0	58.49873	71.31404	29.712029	0	24.73572	357.2893	52.724094	157.27682	0	0	91.16528	26.132524	26.739395	0	143.86816	15.449633	113.88696	0	0	48.26058	9.047463	0	20.904917	36.554165	17.89617	0	108.32734	30.213085	6.0841684	45.54592	13.803049	0	12.478734	20.537338	64.07076
2671	1345.7118	682.4158	0	0	63.48358	7.3438244	0	0	120.50277	30.115234	0	0	41.857994	0	0	0	0	0	0	29.946774	170.03549	0	15.476267	221.21893	42.44005	24.032278	43.965744	0	0	0	16.45586	407.2477	163.04027	130.42577	0	24.962927	12.804135	26.710289	0	5.7214794	71.72362	31.24434	65.19893	118.327515	0	26.501507	0	0	47.785027	87.99977	83.84775	0	26.537136	1626.8027	1052.7301	170.36835	53.48089	48.376625	0	0	0	6.617818	189.30516	126.3104	0	0	9.456087	0	0	0	12.627695	0	10.102156	78.44348	78.70486	164.58057	726.17334	9.32505
1410	31685.5	4436.203	1248.1332	0	0	0	0	0	18268.848	0	0	0	9915.861	15222.857	0	0	0	0	0	0	46034.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3284.2312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15814.166	0	0	0	0	0	0	0	0	0	0	0	0	0	0
668	18804.83	11759.539	300.04483	8882.252	637.8957	2530.2888	4543.2554	1765.3281	4205.394	1843.3652	1571.094	677.6678	1059.7368	887.53564	2165.6624	2501.8782	2600.636	1068.5635	2069.456	7779.2246	4551.348	150.76476	5326.6772	4227.0083	5597.472	1310.1019	1002.87396	1142.2507	971.3078	56.517357	0	6015.642	722.2533	202.74062	259.07333	542.73035	2112.5652	5.0058002	747.5269	0	0	324.3269	145.7414	732.13367	921.6325	124.30191	68.16839	625.9731	23.279015	265.96094	747.8223	10.576341	1390.5162	9108.681	5668.191	33218.168	1564.7556	2311.1511	381.74222	377.4828	44.602127	132.11205	993.2194	2605.2222	0	906.91516	1409.0374	162.5737	399.7255	326.38632	814.3708	1926.2052	1212.3135	3169.112	3493.4358	6218.8228	12236.496	5728.768
