Feature	Intercept_mean	C(ATTRIBUTE_groups, Treatment('G1P'))[T.G3P]_mean	Intercept_std	C(ATTRIBUTE_groups, Treatment('G1P'))[T.G3P]_std	Intercept_hdi	C(ATTRIBUTE_groups, Treatment('G1P'))[T.G3P]_hdi
1128	-7.906221777304979	-0.7616673528000003	3.4203267141883296	4.9640668401878125	(-13.3705, -1.71893)	(-11.0469, 7.38941)
7031	-9.767458984999966	-2.762032464649995	0.8269798925671777	1.8398437207188798	(-11.1702, -8.36075)	(-6.2869, 0.625922)
4369	-10.786920194999999	-0.01637404554699992	0.6982244301598247	1.3939645365364326	(-11.9766, -9.4497)	(-2.80873, 2.3477)
6776	-11.455022062850007	-1.4184088352204973	3.798646306403781	4.857877066420434	(-17.0204, -4.21915)	(-11.6213, 6.6799)
931	-8.992992600000001	-0.652250504736001	0.8449548402738108	1.7604569295772363	(-10.3509, -7.16327)	(-3.85042, 2.70789)
8350	-7.916740004999991	-0.202495421527	0.2501577173655648	0.4412693613099	(-8.35061, -7.4033)	(-1.03172, 0.6047)
259	-8.120644203750008	2.3146049233075003	3.301456157464426	3.8551060249463736	(-13.4459, -1.39847)	(-4.8264, 9.64843)
125	-9.129017540000001	-0.6334887845585007	0.7398022064357124	1.5300333947948965	(-10.4428, -7.71989)	(-3.39405, 2.16133)
4975	-10.243371725000017	-0.5615205249499999	0.8725087889315344	1.7057048598725233	(-11.8383, -8.67193)	(-3.36722, 3.01614)
7644	-10.921401443000017	-4.241843979609995	1.87591833153331	4.215307013382417	(-13.9461, -7.40654)	(-11.8597, 4.07061)
3799	-10.894850980000003	0.12165680697400032	0.42586614268105394	0.822086998357132	(-11.6051, -10.0555)	(-1.40556, 1.63547)
2277	-10.207429198499993	-0.008643423538499808	2.153204796797985	3.1692744568078934	(-13.0723, -5.94061)	(-5.43948, 6.17767)
2082	-10.367279863949976	0.7336352655799989	2.7680100448773834	3.500436115847286	(-14.4246, -5.27583)	(-5.37639, 7.9784)
5955	-9.972293045499981	-1.1976539971650006	3.5624962845272115	4.823801088230154	(-15.4919, -3.55974)	(-9.96196, 8.10005)
1183	-10.691444464999991	-0.5655629501350008	0.9387493177997599	1.7358249516206756	(-12.1129, -8.77157)	(-3.46965, 3.08572)
