row ID	TW.AE.002	TW.AF.001	TW.AG.002	TW.AI.001	TW.AK.001	TW.AM.001	TW.AN.001	TW.AO.001	TW.AP.002	TW.AQ.001	TW.AR.001	TW.AT.001	TW.AU.001	TW.AV.001	TW.AW.001	TW.AX.001	TW.AY.001	TW.AZ.002	TW.BA.002	TW.BD.002	TW.BE.002	TW.BG.001	TW.BI.001	TW.BJ.002	TW.BK.001	TW.BL.002	TW.BM.002	TW.BN.001	TW.BO.001	TW.BQ.001	TW.BS.002	TW.BT.001	TW.BU.002	TW.BV.001	TW.BZ.002	TW.CA.001	TW.CB.002	TW.CC.001	TW.CE.001	TW.CF.001	TW.CG.001	TW.CH.001	TW.CI.002	TW.CK.001	TW.CN.002	TW.CO.001	TW.CP.001	TW.CQ.001	TW.CS.002	TW.CT.001	TW.CU.002	TW.CV.001	TW.CW.001	TW.CY.001	TW.CZ.001	TW.DA.002	TW.DB.001	TW.DG.001	TW.DI.002	TW.DJ.001	TW.DK.002	TW.DM.002	TW.DP.002	TW.DQ.001	TW.DR.001	TW.DS.002	TW.DU.002	TW.DX.001	TW.DY.002	TW.DZ.001	TW.EE.001	TW.EH.002
1203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.84494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277.15494	0	0	0	0	0	0	0	17.84038	0	0	0	0	0	0	0	0	0	0	0	0	0
97	267.28632	0	0	0	17.304852	0	7.900108	0	0	0	10.540312	8.193302	0	1273.0044	0	0	109.40338	0	0	0	0	0	0	157.16182	0	0	0	0	34.687115	0	0	170.8325	0	0	0	0	0	0	0	0	3402.9116	0	1453.55	785.5464	175.55974	1087.0785	159.99965	0	485.06802	0	100.518265	0	0	84.47763	0	123.648575	7.8207517	0	32.638298	71.35229	0	0	0	0	661.54333	0	0	20.009022	0	0	14.639355	334.12558
6144	144.40967	36.391945	153.30765	89.44011	40.555683	0	481.43585	62.21409	0	142.52013	147.5853	343.95078	64.79251	380.59396	104.77643	19.545347	198.8268	50.208294	158.2434	115.49045	0	27.326153	301.47754	196.80461	146.19133	39.86997	53.85131	199.47443	242.2204	71.65765	37.830116	184.4146	37.274254	138.12675	364.908	165.34398	27.825779	42.960903	219.84103	37.49694	166.49968	29.618994	186.74362	0	49.42707	14.823753	77.878426	206.06668	190.69987	0	0	15.211483	198.20499	30.757215	195.64294	0	64.62903	77.32218	116.90705	12.144938	218.90237	9.076384	0	0	138.43808	13.385822	16.515759	7.6023903	31.245506	34.383236	91.4052	119.8211
5578	7.78268	0	6.5415754	6.2151012	0	0	89.63795	0	0	0	0	114.881905	11.5787525	32.759594	0	0	69.81949	0	16.397274	0	0	0	0	9.190699	0	0	0	0	49.995358	0	0	0	0	24.509846	0	0	0	0	20.757353	18.342266	29.236425	0	0	0	0	0	0	0	0	0	0	0	6.1788263	14.013251	9.488255	0	42.231438	0	0	0	20.874123	0	0	0	25.414219	0	0	0	0	6.200781	0	35.114967
4640	0	0	40.153976	0	22.450779	0	136.71349	0	0	0	202.32005	110.768875	9.921137	37.649532	0	0	157.42815	0	0	6.9322042	0	0	0	58.721535	0	0	0	50.650654	69.46796	0	0	305.58884	5.3423777	0	0	0	0	0	435.2865	0	66.45305	23.074726	0	0	26.912334	0	0	0	168.67955	0	59.90049	0	0	0	397.50833	0	22.385399	0	7.9684715	0	0	5.178628	0	0	108.36827	0	9.525636	0	48.035217	14.397477	0	0
1189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637.1801	0
332	0	0	0	117.090195	0	0	9.462809	0	0	0	0	10.002674	0	71.190186	0	0	118.9717	0	0	0	0	0	0	0	0	0	0	0	146.73557	0	0	0	0	0	0	0	0	0	0	0	12.405373	11.113411	0	0	0	0	0	0	0	0	8.296085	0	0	0	0	0	0	0	56.49791	0	0	0	0	0	0	0	0	0	0	0	18.531784	0
2926	0	0	0	0	168.32903	0	0	0	0	0	44.6082	0	0	1241.3951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.890884	0	0	0	0	0	0	29.512516	0	135.1331	68.3337	0	0	0	0	0	0	119.79073	0	37.851173	0	0	24.005825	20.40742	0	0	0	157.19322	0	0	0	0	0	0	0	0	0	0	0	0	43.047653
5282	141.44371	0	0	11.26751	0	0	0	0	0	0	0	17.660126	239.37029	337.25882	0	25.964851	25.98236	0	27.011375	0	0	0	11.630529	0	0	0	7.5501757	4.8966217	8.633554	10.45215	0	14.7659	6.9743075	1135.9767	19.142656	0	0	0	10.4659195	0	38.349792	0	0	0	0	0	0	0	0	0	5.0890303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259.1428	0
1875	78.65244	0	37.126984	0	0	0	0	0	0	0	0	0	0	124.794235	133.87566	0	88.09868	0	0	0	0	0	0	0	44.3102	0	106.76111	0	48.635666	50.93179	0	0	0	8.956139	88.937836	0	0	23.975662	33.13461	283.66592	0	0	0	0	40.263737	0	26.688862	84.50624	0	0	46.037167	6.281865	60.22585	0	25.001919	0	142.30154	0	0	57.74787	80.62886	0	0	0	0	18.9248	0	57.00624	0	313.11746	0	26.990664
3795	0	0	40.00111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.621086	0	0	0	0	38.072876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.00105	0	0	0	0	0	0	0
4727	0	136.7319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.928772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.6748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.603664	0	0	0	0	0	0	0	0	0	0	0	0
926	0	0	0	0	318.87595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6581945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248.74692	0	0	0	0	0	0	0	0	0	0	0	48.49357	0	0	0	156.46794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1443	0	0	0	8.184435	0	0	41.984024	0	0	0	16.9861	192.76463	0	0	0	0	48.082035	0	0	0	0	0	0	4.7189474	0	0	8.163692	0	27.682034	0	0	0	0	0	0	52.27655	0	0	0	0	0	17.49418	0	0	0	0	0	19.306515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1066	0	0	0	0	7.2825913	0	0	0	0	0	0	0	0	306.9782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.33764	0	0	0	0	0	0	0	0	0	0	0	0	0	174.57358	0	23.311235	0	0	4.514639	276.5586	0	0	0	5.1954017	0	0	0	0	0	567.7841	0	0	0	0	0	0	13.354369	0	0	0	0	0	0
85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5871	833.175	0	45.032166	34.201786	19.443977	5.3052635	17.684925	0	0	0	33.879177	26.110172	524.4135	1179.0686	7.7369223	60.936882	101.23886	0	732.2635	0	0	0	35.34562	0	0	0	58.49873	71.31404	109.52281	29.712029	0	28.996666	24.73572	357.2893	52.724094	157.27682	0	0	56.17311	139.6556	91.16528	26.132524	26.739395	0	22.943993	0	143.86816	24.15231	15.449633	113.88696	0	0	0	16.73719	48.26058	0	9.047463	0	22.804796	20.904917	36.554165	17.89617	0	108.32734	30.213085	6.0841684	45.54592	13.803049	0	12.478734	20.537338	64.07076
