FeatureID	CIR16.001	CIR18.001	CIR19.001	CIR20.001	CIR21.001	CIR23.001	CIR26.001	CIR32.001	CIR4.001	CIR41.001	CIR42.001	CIR5.001	CIR51.001	CIR52.001	CIR53.001	CIR54.001	CIR55.001	CIR57.001	CIR58.001	CIR6.001	CIR60.001	CIR61.001	CIR63.001	CIR7.001	TW.AF.001	TW.AG.002	TW.AI.001	TW.AM.001	TW.AN.001	TW.AO.001	TW.AP.002	TW.AR.001	TW.AT.001	TW.AU.001	TW.AW.001	TW.AX.001	TW.AY.001	TW.AZ.002	TW.BE.002	TW.BG.001	TW.BI.001	TW.BJ.002	TW.BK.001	TW.BM.002	TW.BN.001	TW.BQ.001	TW.BS.002	TW.BU.002	TW.BV.001	TW.BZ.002	TW.CA.001	TW.CB.002	TW.CC.001	TW.CG.001	TW.CH.001	TW.CI.002	TW.CO.001	TW.CP.001	TW.CS.002	TW.CT.001	TW.CV.001	TW.CW.001	TW.CZ.001	TW.DB.001	TW.DG.001	TW.DJ.001	TW.DK.002	TW.DM.002	TW.DP.002	TW.DQ.001	TW.DR.001	TW.DS.002	TW.DU.002	TW.DX.001	TW.DY.002	TW.DZ.001	TW.EE.001	TW.EH.002
94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.676285	0	0	7.479477	8.668092	0	0	0	0	0	0	0	0	0	0	331.9678	0	0	0	56.214928	0	79.95715	18.966131	0	0	0	0	217.18935	0	70.86465	0	81.004074	398.05872	0	0	0	18.190006	0	0	0
383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193.9609	0	147.88213	0	0	0	0	0	0	0	72.93116	0	0	0	253.23315	0	113.34717	108.190674	0	0	0	0	6.700038	38.82407	65.9006	0	0	96.05928	0	0	0	80.803085	0	34.624893	0	0	0	0	0	193.19565	0	0	0	1765.0331
2890	0	11.541125	0	0	0	0	7.9346724	0	0	0	0	0	8.805013	0	0	0	0	0	0	0	0	0	0	0	0	33.054016	0	0	48.90367	0	0	0	28.09843	36.088097	47.417217	10.393202	14.055977	13.943338	0	0	0	62.069954	23.702774	121.77292	50.83086	16.69601	13.746494	29.020292	19.650114	57.85492	7.768854	0	0	11.412956	0	0	0	36.075832	0	0	0	39.40487	0	0	7.4379544	0	72.610466	0	0	0	8.279434	0	0	0	0	0	0	0
1819	17.330832	420.60168	33.909332	956.10645	739.4344	50.542007	2511.6514	88.45065	1221.6174	48.824238	0	297.2622	111.003105	0	53.159637	36.617706	157.29933	0	118.264885	70.84429	130.11682	0	327.46527	473.81293	279.3015	138.59752	208.83798	0	703.46277	0	48.57295	698.02216	200.3133	247.20499	544.58405	0	248.91122	167.48898	40.643497	4.7449346	0	96.27156	54.45584	395.5654	85.08643	12.364008	24.313677	17.175749	8.486942	138.08107	133.84157	0	120.53071	394.83667	38.42624	23.658752	15.963901	47.412926	0	0	0	48.96691	0	191.08704	101.86408	22.683632	64.18546	19.690887	4.6073527	0	31.244116	61.362785	0	27.255602	0	69.22933	308.69244	0
2339	211.86394	32.058044	0	0	71.39748	21.228996	27.773727	7.4168196	32.36095	0	0	0	0	0	0	0	0	0	0	63.60519	0	0	19.200714	0	122.0696	7.448637	592.5713	0	85.99019	0	0	29.230896	217.5545	0	0	0	129.11844	0	257.79538	0	60.921017	0	9.130252	17.606655	0	39.805424	0	0	150.71422	97.45581	64.795944	0	32.62073	197.60413	59.427773	0	39.67757	72.983154	199.12643	34.52198	14.368492	16.254532	102.04822	139.47498	0	58.412895	47.10189	0	0	33.400322	0	18.182144	162.62506	0	17.287067	117.3561	33.88117	0
2201	672.28436	0	0	0	0	0	13.60527	10.939562	0	94.060684	0	0	0	0	429.24445	0	0	229.24373	0	37.380566	0	0	16.751915	21.281881	0	0	0	0	9.788239	0	6.0233445	0	0	0	24.932346	0	11.559101	0	0	0	0	0	209.42833	0	16.400593	0	0	0	0	23.68198	10.531214	0	0	0	0	19.175346	0	0	0	0	21.515823	0	0	42.400833	0	13.821711	0	0	0	0	0	0	0	11.555809	0	56.766094	0	0
755	193.02783	2312.2422	4.6068435	1217.8607	1613.6005	1644.9406	2794.6606	847.3634	4082.9087	0	391.42184	140.67648	612.7976	319.9854	325.27734	1950.7899	496.62405	4.650798	233.56767	4745.2505	1243.511	7.0193677	1193.6267	2360.3481	731.0767	98.459984	516.99225	0	1051.3647	5.73175	0	2280.8315	353.3513	42.053192	21.140219	75.516785	1472.831	0	0	0	0	121.61979	17.476086	731.0862	100.04979	4.9881926	0	174.11124	0	134.20282	422.00275	0	591.67456	1103.5721	1137.6738	221.4577	188.77293	30.856081	54.21057	5.154107	0	0	134.93579	1372.7734	0	976.9115	1344.8962	40.621532	6.251664	0	38.43209	133.00844	213.31038	1168.4563	1094.9095	0	265.13388	203.14256
2251	252.42288	45.131428	0	0	78.821045	0	40.814434	0	43.66849	0	0	0	0	0	0	0	0	0	0	77.454834	9.298673	0	19.173042	7.5930157	155.28862	8.462357	802.3254	0	131.80435	0	0	76.267204	264.27274	0	0	0	171.40825	0	8.029165	3.944006	75.676216	0	10.354503	24.887426	0	46.882736	0	0	185.62262	105.09386	92.062584	0	50.527973	240.95483	62.812935	0	63.11589	88.268845	262.99484	45.266273	17.93858	16.211351	124.1882	188.65132	10.08097	50.63279	72.787674	8.822095	0	40.914604	0	21.304146	217.54276	0	19.59499	142.2318	40.377678	0
4499	40.23677	47.0559	26.646168	37.874992	51.488407	48.97394	289.90854	44.004337	63.06881	38.07778	33.915558	64.58297	45.5261	42.600513	43.722614	33.269142	47.08489	7.346518	21.0228	57.893753	29.154135	26.25865	38.03682	39.25723	42.945206	3172.6006	33.927895	48.94439	289.35037	38.358143	290.62097	279.87686	67.72405	225.28413	31.302399	258.4079	180.81386	60.54328	32.994076	39.58219	87.75574	43.41002	42.913242	49.377525	81.03965	50.089214	331.31415	97.42369	45.70343	216.25092	48.27644	48.739075	47.723797	24.567291	454.93692	36.815857	44.050255	31.097775	0	54.193394	32.68867	99.146255	7.8892655	43.558475	4.9862723	13.379236	29.467175	20.56775	0	27.687698	0	26.96137	18.630625	16.70348	9.421571	15.88254	7.4378815	10.983965
2357	69.05674	37.13043	0	0	60.08834	0	0	0	16.350304	0	0	0	0	0	0	0	0	0	0	67.66909	0	0	18.980791	0	140.27753	0	356.2514	0	39.50353	0	0	40.363113	139.66351	0	0	0	41.988293	0	0	4.9880075	86.711845	0	7.493002	17.01679	0	50.092785	0	0	130.08656	67.664925	52.27275	0	60.512306	169.2103	50.02135	0	45.59153	96.41191	223.33987	61.085083	27.05892	17.498295	124.80327	126.16942	9.4923	60.26985	57.799515	12.929602	0	63.139854	0	22.337519	245.90997	0	7.362565	119.80507	28.793966	0
7378	1032.3278	462.65854	0	313.49963	425.97778	700.71326	304.63586	20.646935	92.407585	167.86232	5.4958224	27.18307	116.97921	168.71193	59.72956	38.667603	539.5058	40.017487	78.527374	408.40558	74.6799	13.171467	119.55107	394.5179	50.405422	504.81467	431.51794	136.38007	1221.0256	89.89675	141.59796	226.37143	2494.931	722.5728	309.7297	477.57263	1340.4452	122.52516	0	91.17901	924.84937	672.3387	708.7593	581.76807	557.74945	389.97137	123.91372	147.87405	524.1213	1074.1134	751.0087	21.261658	364.44904	410.01636	44.34077	133.23921	55.23113	19.287281	886.13306	48.048782	16.553667	389.88306	539.65466	239.37483	180.49797	16.628593	1736.7408	50.019108	66.4031	26.957695	871.625	19.984646	19.39162	57.95742	44.70697	47.752678	435.44174	533.6285
6097	2221.252	2033.9233	21.202543	726.3345	1111.3458	3156.0989	3644.2312	668.81036	441.24384	1481.0038	786.5051	129.39684	1656.4066	965.56934	375.844	1082.1805	1992.9739	112.66334	394.22446	430.9126	2523.7668	0	522.0753	2525.525	487.60913	2248.8953	1351.9086	164.56955	7413.1963	1144.7566	213.45357	2178.898	5642.696	1210.6467	1646.0868	429.77536	2952.8057	933.4357	0	479.1914	4968.6885	3522.6653	2213.9807	949.52563	2925.7964	1236.7711	636.8447	652.9491	2033.2568	5777.673	2953.394	428.565	756.1841	2876.9233	372.64526	3156.9138	301.26733	1227.3827	3324.8767	133.56358	172.47015	3193.7654	2863.2268	879.6542	1405.2446	295.42972	3851.2427	232.17888	26.89104	86.14308	2248.9922	357.1866	262.54587	204.18922	470.6346	641.15466	1241.5525	1978.2317
269	70.1897	335.88416	17.812885	449.4735	56.61521	461.4747	821.1012	236.91324	725.1844	0	78.890625	91.7025	190.6124	54.281914	82.454834	295.5874	91.7869	0	40.698746	490.4543	438.8388	0	630.58685	492.33997	199.11418	162.69829	275.6339	0	447.85037	0	0	572.4465	442.25504	47.087944	0	0	638.9707	0	0	0	0	53.54128	4.828944	234.19772	145.11584	98.76377	0	65.57288	0	199.38745	180.25346	0	13.7869425	135.61337	316.8481	72.88098	6.830331	0	7.7409606	0	0	0	0	190.81941	0	117.65308	331.72055	0	0	0	0	83.46618	0	259.50357	181.77795	26.708397	0	17.187853
5341	22.56694	0	0	0	7.012993	0	17.136723	0	12.028391	0	0	0	0	4.437483	0	0	0	0	0	5.782937	0	0	0	0	0	15.425548	0	0	44.583607	0	0	40.647293	11.37343	0	0	0	124.11844	0	0	0	0	0	0	0	0	0	0	0	0	13.202851	0	0	0	0	8.958317	0	17.669727	0	43.757797	0	50.25137	0	4.523403	0	0	0	14.056574	0	0	0	7.8439116	0	0	0	6.6617036	15.545614	39.236465	6.040886
6935	71.61329	75.38261	0	0	13.031441	0	0	0	0	0	0	0	58.203312	0	0	0	0	0	0	0	21.154856	0	0	0	0	209.3334	0	0	1192.0957	218.70549	7.3603773	0	2414.2656	843.5173	0	749.5619	1031.6665	83.24225	0	0	206.96228	365.98114	45.9911	242.49707	0	20.45187	14.253771	210.94604	362.49994	240.8715	136.24135	0	14.893466	306.51443	0	0	62.525944	0	383.99866	19.137716	6.3136864	111.35153	402.85797	104.9315	0	5.651761	569.4154	0	0	0	502.62	0	0	0	0	0	0	157.53062
6837	466.07288	199.33188	9.878449	18.290115	198.1986	125.6374	85.12953	13.232433	47.103188	125.15537	0	6.2520523	70.14603	6.3570538	0	9.795126	31.499233	0	0	56.87241	48.22414	12.521805	0	30.363148	0	481.34238	436.45685	16.483582	4390.612	1515.2749	203.40489	38.15544	14119.544	2681.3123	102.56894	5472.378	7224.6445	68.406944	0	78.55597	354.75452	1742.1373	579.76117	1974.1542	267.42108	726.2324	38.935753	781.31573	536.1573	4411.0986	1140.7157	22.271357	52.267906	2706.2495	23.43502	327.39304	95.617004	42.085266	2909.8582	65.8693	68.464195	131.73167	3120.7075	111.78502	105.96701	122.4503	495.43616	32.704567	15.222465	22.970135	1573.9216	9.483683	14.669269	0	4.4328146	5.533024	193.37526	877.31866
5624	0	24.77821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.462372	0	0	0	0	76.212105	35.014004	0	166.75023	0	6.1176167	0	638.87335	299.50153	0	51.860565	470.22153	84.08414	0	0	27.530508	110.13475	33.467464	90.905525	38.40167	9.1867485	13.865089	40.26599	166.69011	83.34827	23.86793	0	0	121.46542	0	0	0	0	26.033447	0	0	80.86177	29.70348	0	0	0	79.41696	0	0	0	46.440006	0	0	0	0	0	0	0
1683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167.85484	16.017952	9.13734	0	10.934542	0	0	0	0	3.9780092	0	0	12.393889	0	0	0	0	0	0	0	0	0	9.59017	0	0	16.451105	0	0	0	7.7806807	0	49.08685	0	4.9437046	0	0	0	0	0	16.842815	0	0	0	0	0	0	0	0	0	0	0	0	0	0
