Feature	Intercept_mean	C(ATTRIBUTE_groups, Treatment('G1P'))[T.G2P]_mean	Intercept_std	C(ATTRIBUTE_groups, Treatment('G1P'))[T.G2P]_std	Intercept_hdi	C(ATTRIBUTE_groups, Treatment('G1P'))[T.G2P]_hdi
8245	-9.091952363795997	-1.3436839740649993	2.7380800049651826	4.750725505259858	(-13.1736, -3.68796)	(-9.58533, 8.32339)
3489	-9.044527044999999	-0.5952743982230013	0.3988223792715474	0.8645851652763278	(-9.71337, -8.21922)	(-2.15822, 0.967427)
5951	-10.856708749999989	0.07004120754000007	0.9298711602247575	1.8393176113971283	(-12.484, -9.30624)	(-3.12268, 4.0235)
4843	-11.202624814400012	1.5460018199049985	4.459713490098028	4.161831815909497	(-18.3861, -2.3548)	(-6.65014, 8.7685)
3406	-12.23633626869998	-0.7576915549769998	5.972360526032261	4.755437157153514	(-22.3166, -1.25663)	(-9.85186, 7.8485)
1390	-9.371285104999986	0.22112420640585015	0.42597673148751813	0.9519532311905791	(-10.1022, -8.56479)	(-1.52011, 1.88962)
7877	-11.299193205999972	0.1293947513399999	1.5227561947766817	2.7287207331931946	(-13.819, -8.77062)	(-4.66217, 5.04268)
4478	-8.788123877149983	-2.883457598820002	2.0396489380022476	5.174293414794739	(-11.9367, -5.26624)	(-12.7905, 6.48599)
6347	-9.057355415000004	-1.5195432542250014	0.49352153961557516	1.0964521123135418	(-9.97015, -8.19548)	(-3.39343, 0.594941)
5325	-12.115944389499992	-2.439927041125	2.7703888564482466	4.624169975251039	(-16.0992, -6.49031)	(-10.8206, 6.58268)
291	-9.947488693500022	0.4868949829699987	2.0041981478872772	3.0769389730229038	(-13.0475, -6.41159)	(-5.2985, 6.24658)
3026	-11.237188410000043	2.2347829694900048	0.6132273145211913	1.230118750614281	(-12.3075, -10.1157)	(0.104437, 4.54555)
4653	-10.520469640000035	0.0501469563559999	0.8765954862138928	1.8483219680612246	(-12.0354, -8.89494)	(-3.15756, 3.85531)
6997	-9.181187900000003	-0.2543481941180002	0.4908737456239535	1.0095953228210255	(-10.0844, -8.28832)	(-2.18, 1.60232)
4304	-9.348854134999987	0.4931613532850006	0.31985802045337525	0.6832109208132278	(-9.97126, -8.75535)	(-0.670422, 1.83075)
3969	-7.734915077199992	-0.7631064514544988	3.283925535663851	5.116204999678063	(-13.1117, -1.69868)	(-10.2437, 8.49297)
7779	-9.171094414999983	-1.9243498411899995	0.8110050065956175	2.0702579556831324	(-10.5518, -7.6118)	(-5.31045, 2.2385)
3294	-11.189444515000002	-0.7345327887825016	1.3496677633870364	2.793781463909876	(-13.475, -8.7944)	(-5.83655, 5.03479)
1474	-11.345062100000003	1.8621952562650004	1.132686818405198	1.9119446403643445	(-13.1738, -9.23186)	(-1.40823, 5.81888)
3288	-11.044042379999997	1.640711783649999	0.5929323918985498	1.2687318641415317	(-12.1598, -9.97597)	(-0.633085, 4.03874)
6644	-10.647246275000025	0.5888639828150006	0.73948182174782	1.5886291641889236	(-11.837, -9.15776)	(-2.06797, 3.76439)
5551	-10.514496580000019	0.9394462691077999	1.2096293187063551	2.3973927846517618	(-12.4068, -8.31466)	(-3.03218, 5.82636)
6176	-8.272723140399998	1.3830438650400014	3.22008625266494	3.678908686412916	(-13.3166, -2.31913)	(-5.19218, 8.76827)
4604	-8.146503075677	-0.7435346953799981	3.474280383580109	4.951669615545578	(-13.3939, -1.18797)	(-10.3026, 8.19419)
8654	-10.5009853235	-0.2641620780850001	1.3701798160657621	2.5594521542092887	(-12.5576, -7.79825)	(-4.75068, 4.78172)
4139	-9.226293349999995	0.6270048818285006	0.9237631169622856	1.8773009988658091	(-10.7119, -7.45993)	(-2.86658, 3.91665)
5444	-9.006159127049997	-1.7311046299450001	2.7366821535791046	4.965021817136329	(-13.0466, -3.62824)	(-10.4264, 7.69922)
6343	-9.192120975000002	-0.02056210199850002	0.40543985645863595	0.9032375014325583	(-9.9256, -8.47265)	(-1.65945, 1.64431)
2074	-10.64261854	0.06172782542000002	0.7170295888350559	1.4669961961891371	(-11.937, -9.32392)	(-2.55629, 3.00339)
4808	-8.486429704999988	-0.016526401610750037	0.3063709128707607	0.6429015174906968	(-9.03775, -7.91254)	(-1.15823, 1.20259)
7821	-9.719129955000021	-0.37403365673499955	1.0107014508385488	2.1470831159153585	(-11.3941, -7.79754)	(-3.93808, 3.86778)
5122	-6.175893570000004	0.3563730128209996	0.28579722827164583	0.6012408004854163	(-6.65959, -5.59828)	(-0.748579, 1.49326)
1017	-12.23633626869998	-0.7576915549769998	5.972360526032261	4.755437157153514	(-22.3166, -1.25663)	(-9.85186, 7.8485)
4345	-8.955392305000004	-0.10496794003949987	0.373300106809035	0.7643312537273343	(-9.67847, -8.3094)	(-1.50543, 1.36484)
3326	-11.819035512499994	2.7080413292799994	2.792333039038362	3.183806860525842	(-16.0981, -6.90265)	(-3.13799, 8.93768)
4037	-10.594327180500008	1.1307254843149999	1.6198692896261346	2.6400806913122405	(-13.0922, -7.78138)	(-3.35435, 6.62455)
8733	-9.515942243399973	-0.6868316625800001	3.6078193954136255	5.110942210469651	(-14.9587, -2.40407)	(-9.7271, 9.26965)
7165	-5.624591120000002	-0.33278658589000043	0.10561210121025721	0.22410699863829822	(-5.82176, -5.43057)	(-0.745043, 0.110157)
6274	-12.23633626869998	-0.7576915549769998	5.972360526032261	4.755437157153514	(-22.3166, -1.25663)	(-9.85186, 7.8485)
7012	-9.455064745	1.217951676385	0.6405736624828049	1.2891691167694745	(-10.5747, -8.22742)	(-1.24107, 3.48375)
3507	-8.806787399999996	0.5583439577674995	0.34135364848825017	0.7305026065494055	(-9.46534, -8.1794)	(-0.856051, 1.8866)
2666	-9.677907680000011	0.8960000000429988	1.4594028730632322	2.589891859053618	(-12.0328, -6.99779)	(-3.54022, 5.98651)
8575	-10.967927735000004	0.2238867485185001	2.5756361017853053	3.59209104657543	(-14.9931, -6.05923)	(-6.15729, 7.22674)
2421	-11.027931160000003	1.0124898996139984	0.8436570683243011	1.699317941131871	(-12.4147, -9.44275)	(-1.80733, 4.41364)
5948	-13.400705819999983	3.627258349050002	4.211958008522096	4.026221681873475	(-20.4282, -5.29292)	(-4.57501, 10.7617)
6168	-8.47680156999999	0.11431081078449988	0.22375505286414227	0.47946118660741444	(-8.87279, -8.05819)	(-0.731882, 1.04948)
630	-10.94999712499999	0.5061763682249997	0.7070505408495106	1.5341254515508205	(-12.2082, -9.65057)	(-2.18944, 3.48746)
6328	-12.23633626869998	-0.7576915549769998	5.972360526032261	4.755437157153514	(-22.3166, -1.25663)	(-9.85186, 7.8485)
1360	-15.109415869950002	3.396019827525007	3.584092091102156	3.1486030764793718	(-20.9832, -7.84287)	(-2.50076, 9.63252)
3103	-11.983675824500013	1.790694619519998	2.846934361186744	3.1025744070369936	(-16.3298, -6.68379)	(-4.44802, 7.59168)
1970	-8.50089883000001	-1.3551112265850016	0.5932878813859517	1.297421508314276	(-9.51686, -7.47135)	(-3.85123, 0.906524)
2334	-6.664988789999996	-0.3665922204345002	0.20634450477789792	0.43299385698455406	(-7.03964, -6.27166)	(-1.0801, 0.524283)
5508	-9.705880420000009	-5.1704799264000005	1.0362875051441196	4.1824262827128	(-11.4672, -7.69738)	(-12.9633, 2.70439)
7653	-10.96465980267001	3.0793739913850033	2.76907676476384	3.274888809821176	(-15.2907, -5.57156)	(-3.14176, 9.27076)
2416	-9.872918077149983	2.421949566609996	4.392497453585647	4.088049134065109	(-18.9124, -2.5226)	(-5.00935, 9.92213)
767	-8.682048990000022	0.04718349662489995	0.7169572764576558	1.5338686846368395	(-9.88396, -7.33518)	(-2.50526, 3.13751)
85	-12.23633626869998	-0.7576915549769998	5.972360526032261	4.755437157153514	(-22.3166, -1.25663)	(-9.85186, 7.8485)
6556	-7.368667254999994	-1.06531378279	0.32217578511041917	0.686617778006889	(-8.01184, -6.8074)	(-2.33857, 0.258104)
4314	-8.218197747250006	-0.7453219160700006	3.4106885750907887	4.998714704027532	(-13.7848, -1.85987)	(-9.49456, 8.87047)
995	-12.23633626869998	-0.7576915549769998	5.972360526032261	4.755437157153514	(-22.3166, -1.25663)	(-9.85186, 7.8485)
4998	-11.156630361000005	0.6037698852149997	2.023976474497881	2.7659373654613417	(-14.0752, -6.95512)	(-4.869, 5.63294)
5821	-9.340380896049993	-1.5264149809300016	2.753608255368508	4.6284787869322175	(-13.6677, -4.03544)	(-9.7067, 7.08088)
3380	-11.486978880000027	2.632292610745003	1.256175555173697	2.164977137838364	(-13.382, -8.83401)	(-1.27976, 6.87114)
3202	-7.92565674545001	0.055939941488500004	2.8880704418558	4.163321610863575	(-12.6898, -2.45798)	(-7.87252, 7.37533)
289	-9.41713716534999	1.4542480291199995	1.326739955279497	2.30327195066727	(-11.5819, -6.93031)	(-2.65639, 6.0426)
8303	-12.23633626869998	-0.7576915549769998	5.972360526032261	4.755437157153514	(-22.3166, -1.25663)	(-9.85186, 7.8485)
575	-8.756414784150008	-0.8667762408450018	3.2933727918179554	4.915111958080535	(-14.4283, -2.61267)	(-10.1696, 8.21726)
5351	-7.650485095000004	0.7786069628050003	1.222353543795447	2.4361470205628812	(-9.78114, -5.4077)	(-3.28889, 5.59797)
7600	-9.474310491999988	2.1119427761149994	3.4287072069893756	3.8773859050146755	(-14.8844, -2.82636)	(-4.86414, 9.9198)
4754	-10.726125170000014	1.6879620296599998	1.1762188915486653	2.0020727865436805	(-12.6292, -8.63935)	(-1.5151, 6.09083)
3350	-5.8412134200000025	-0.08032659900150012	0.16115636374994205	0.33493992039408604	(-6.14217, -5.52566)	(-0.775728, 0.499549)
3039	-9.239198644999995	1.9783401004549996	0.33511559356140636	0.7054730030148846	(-9.81259, -8.55976)	(0.577793, 3.21318)
1493	-7.696224439999993	0.7868690570914987	0.3478668076450904	0.7158990554562397	(-8.36257, -7.08144)	(-0.577379, 2.03146)
483	-11.24229707499999	0.3832098587329998	1.24688028103535	2.456227827172995	(-13.2213, -8.91692)	(-4.36527, 5.24897)
5143	-10.800373888849997	1.8264969585650015	1.9612691938151388	2.852434160211604	(-13.6735, -7.04608)	(-3.70094, 7.32286)
6227	-10.474322825000012	1.211698457911501	0.4958992972616211	1.0644829615285734	(-11.3655, -9.50651)	(-0.670756, 3.17424)
6405	-9.405505765000004	-0.29209729393260014	0.3793705109566563	0.8260059085100478	(-10.0729, -8.71068)	(-1.88699, 1.19739)
6718	-10.079955804200008	2.2566086548550017	4.673513182763745	4.148810081952489	(-18.7986, -1.819)	(-5.57393, 9.58114)
7184	-8.799788620000015	-3.515120481775001	0.7469263737932911	2.0035250051699496	(-10.2294, -7.47836)	(-6.9172, 0.490255)
5405	-11.141985620920721	1.9281617974099978	4.3660386574495185	4.015897198391132	(-17.9971, -2.67338)	(-5.98457, 8.70324)
7492	-8.740266774999988	-1.49788073651	0.5656203059628865	1.3965178242354954	(-9.74724, -7.66803)	(-4.00255, 0.855601)
1501	-11.811456941000005	2.1900171127784995	2.8839165624133734	3.113324270676595	(-15.871, -5.66629)	(-3.92603, 7.9333)
2918	-11.025568924999998	1.3055487636005005	1.7927398757688728	2.7116118576747152	(-13.6065, -7.40254)	(-3.65894, 6.62854)
4047	-10.32055762495001	2.046420598741007	4.577640511884749	4.237657202172575	(-17.733, -0.814716)	(-5.70605, 10.1547)
2211	-10.32162623699998	-3.6582021463700047	1.7687954997938051	4.384895216880753	(-13.0742, -7.027)	(-11.7534, 4.8544)
7552	-9.397973272249994	2.2114545932049956	4.375946140950738	4.1616636772045394	(-17.3391, -1.23842)	(-5.87503, 9.84237)
782	-7.619542203099995	-0.9772329197249989	3.4640145581489334	5.201841786383835	(-13.7897, -1.37738)	(-11.1297, 7.99173)
414	-8.420676369999997	0.818797861515	1.4636077547455886	2.7451664358439767	(-10.7891, -5.59457)	(-4.32888, 5.9938)
1478	-8.641134508000007	-0.9147316467999994	3.560476286583976	4.915738647989886	(-14.5076, -2.11693)	(-10.1541, 8.43061)
3052	-12.23633626869998	-0.7576915549769998	5.972360526032261	4.755437157153514	(-22.3166, -1.25663)	(-9.85186, 7.8485)
8219	-8.798790929099999	2.1390083072159993	3.4455078925280636	3.80692033445774	(-14.4445, -2.43003)	(-4.70018, 9.6974)
5688	-8.670669239999993	0.8637323490200014	0.8308217179337106	1.6915821366449613	(-10.1441, -7.16212)	(-2.31027, 4.03439)
2141	-10.368317285	0.025982649897	0.4217987040311749	0.9291791076522097	(-11.1681, -9.58925)	(-1.71417, 1.83407)
6338	-9.76987412	-0.4918971685864994	0.5929613787184005	1.3573986565817857	(-10.8313, -8.62463)	(-2.88498, 1.91788)
2778	-10.220627409999985	0.8474176173259993	0.9322249768717263	1.856702451626518	(-11.8763, -8.55555)	(-2.34555, 4.29129)
4205	-9.639732344549989	-0.8790831029020006	3.7538615467382592	4.859918772416181	(-15.9208, -2.51106)	(-9.40656, 8.82324)
7123	-9.428681519999998	0.25731649651800015	0.7329594682673723	1.6197234812994437	(-10.7247, -8.16678)	(-2.70004, 3.29041)
7033	-8.503547399999993	-2.6876921699400054	0.7426608242621522	2.0248894885423296	(-9.74988, -7.0623)	(-6.031, 1.12134)
4280	-6.542225800000002	-0.27292963513134955	0.44284430794384094	1.018173282372576	(-7.35961, -5.7)	(-2.02689, 1.74846)
1287	-6.241600635000004	0.6233971092320988	0.2128813833254257	0.43986970114851376	(-6.62462, -5.85432)	(-0.158492, 1.4902)
6720	-11.403424810000002	1.0658720790400011	0.8205122488295739	1.6632945252209435	(-12.7608, -9.76008)	(-1.73758, 4.26458)
3773	-10.136617865000021	3.091334251716504	1.4372222744533956	2.200098323772746	(-12.3104, -7.31934)	(-0.72511, 7.73188)
1764	-9.014662035	-0.18178312453199996	0.32122284862492073	0.6973556978083711	(-9.56873, -8.38468)	(-1.52209, 1.07444)
8645	-10.663468720450002	1.78882677781	4.732307926314366	4.323373674140975	(-18.6473, -1.73372)	(-6.2917, 9.94143)
6618	-9.658450244999978	1.1888387321549974	0.541232587346873	1.1450833610531008	(-10.6311, -8.6149)	(-0.913915, 3.37584)
571	-8.36570090000001	1.3501870020070013	0.43155976177557354	0.906966457021377	(-9.19089, -7.57917)	(-0.149965, 3.16884)
1484	-12.23633626869998	-0.7576915549769998	5.972360526032261	4.755437157153514	(-22.3166, -1.25663)	(-9.85186, 7.8485)
8518	-10.132969274950016	2.0975240360850047	4.458991789709387	3.9858323576596604	(-17.9226, -1.92484)	(-5.26426, 9.52779)
5381	-9.41262744264	-0.9078167078704981	3.7028467332146477	4.852450885474083	(-15.3827, -2.5226)	(-9.97662, 8.07208)
6240	-9.641114375	0.9528464818349996	0.6876178670544483	1.3319243551920121	(-10.7997, -8.27584)	(-1.45946, 3.42238)
8354	-10.747042969999999	1.2391731068514986	0.5805612805627663	1.2688295007341943	(-11.8299, -9.70718)	(-0.991258, 3.8142)
658	-10.069008766000016	-2.6720168503485016	2.320322595650085	4.868111570643928	(-13.4563, -5.35114)	(-10.7749, 7.18287)
1030	-12.90734723094999	3.720774742514195	4.29220624970085	3.8047534143535753	(-19.7913, -4.75771)	(-3.48992, 10.8167)
8717	-8.888722305000005	0.10427786691200014	0.3740113154573495	0.8029248036507329	(-9.56609, -8.16821)	(-1.24605, 1.67882)
651	-8.949319386084996	0.6596206365599996	2.4161027820848706	3.4132990110172847	(-12.6817, -4.39206)	(-5.9471, 6.7999)
3904	-8.461984518949983	1.0795675445399997	2.1113770614158813	3.353767566599918	(-11.752, -4.52676)	(-4.91425, 7.77484)
5219	-10.29013929680002	-1.9354904645699973	2.7573063730128147	4.921158134633455	(-14.4093, -4.79952)	(-10.6733, 7.83285)
7848	-12.391950502049996	3.8046882828800013	4.26452380159093	3.8698330231067732	(-19.285, -3.85049)	(-3.99739, 10.6327)
105	-7.546301814999996	0.014456759609200072	0.1896585744662122	0.3897370899613235	(-7.88603, -7.17627)	(-0.71011, 0.715824)
1839	-11.046819274999997	1.1557520634649998	1.0669366678328307	2.067500255700341	(-12.8726, -9.23948)	(-2.3925, 5.53887)
1824	-8.688453550000013	-0.06344635787849995	0.2940300193670664	0.6051032523337726	(-9.22646, -8.14458)	(-1.17183, 1.10274)
2202	-9.242386980000019	-1.7838001191100004	1.0422628163886862	2.795045293491774	(-11.0654, -7.38013)	(-6.32512, 3.57851)
5968	-11.291027634999995	-4.869319034450003	1.035918863721747	3.693255471323608	(-12.9948, -9.21573)	(-11.7698, 2.22713)
5421	-11.097901568499989	0.8964686017350014	3.270790267104216	3.541093365984144	(-16.0623, -4.70192)	(-5.46677, 7.9408)
8196	-8.962586137650005	2.3989354266800014	4.347731957891295	4.198400937727899	(-17.1543, -0.959756)	(-5.61033, 9.80298)
6775	-9.001878514999994	-7.36050554455001	0.6780529705285904	3.0845142709006907	(-10.261, -7.75821)	(-12.822, -1.32333)
198	-11.388777887649985	-1.116969196004998	3.8798198306047706	4.61541138330435	(-17.1727, -3.87616)	(-9.81369, 7.46648)
1301	-11.056788374000034	1.614455244514999	2.0801238117387886	2.9918041249307072	(-14.2054, -7.16992)	(-3.52364, 7.7316)
5212	-10.279088125000008	0.9055692482945003	0.4778919594083316	0.9829944331762979	(-11.1366, -9.45677)	(-0.857173, 2.72962)
3307	-8.718359219999984	0.09234527451399967	0.487366480984169	1.0440944384533475	(-9.6091, -7.80386)	(-1.81572, 2.12348)
1994	-10.607564804949991	-1.9299428076850027	3.052431371210209	4.666745131173624	(-14.6662, -4.58665)	(-10.8622, 6.79611)
2405	-9.546965239999988	1.6884038104000005	0.3517074150644854	0.7344904999715434	(-10.1719, -8.85835)	(0.29714, 2.98472)
7156	-12.23633626869998	-0.7576915549769998	5.972360526032261	4.755437157153514	(-22.3166, -1.25663)	(-9.85186, 7.8485)
1535	-12.237201854499977	1.84192044251	2.7264101444003295	3.0208848222452565	(-15.9012, -6.62609)	(-4.04462, 7.27502)
1073	-9.30152306783999	-1.0336283534999986	3.870844454443077	5.080052338952862	(-15.4702, -2.27375)	(-10.1784, 8.15855)
8702	-9.30683057615	2.2904263055999983	4.486349424305163	4.285221184650423	(-16.9873, -0.578165)	(-5.51451, 10.2986)
4381	-8.445097613500005	-0.7284722893950012	3.538104075221567	5.027220271311294	(-13.5739, -0.564036)	(-10.4341, 8.1098)
1542	-11.279043778499998	0.82553856186	1.9719232263673543	2.7163301837674	(-14.2643, -7.95473)	(-4.1997, 6.03924)
322	-8.476762997499993	0.5388339106984996	2.129331095725753	3.263558837660161	(-11.7335, -4.26789)	(-4.90119, 7.46505)
2460	-12.23633626869998	-0.7576915549769998	5.972360526032261	4.755437157153514	(-22.3166, -1.25663)	(-9.85186, 7.8485)
4249	-10.387874757499974	0.11036320024139995	2.449153234994634	3.5184019952880843	(-14.1093, -5.75176)	(-5.6749, 7.44566)
1574	-11.66658473219999	1.3662384347499985	4.842842242090975	4.074336928066901	(-19.6817, -2.82035)	(-6.65202, 8.42007)
