SampleID	PC1	PC2	PC3
113.mzML Peak area	-0.166830733255698	-0.120633645702175	0.111224911723882
114.mzML Peak area	-0.1146452690406	-0.203483631670923	0.260248289727108
115.mzML Peak area	0.00394243849249904	-0.0922363096504573	-0.321348562822607
116.mzML Peak area	0.238937569797303	-0.0880381006755218	-0.245078753176337
117.mzML Peak area	0.191342748061353	-0.144774979901936	0.0505243561353263
118.mzML Peak area	0.162229456992205	-0.115423628166658	-0.00511468267370861
119.mzML Peak area	0.186514886371237	0.128623518711435	-0.0584816164587976
120.mzML Peak area	0.176325710896101	0.0537700178513927	-0.0515182491939623
121.mzML Peak area	0.206192704362191	-0.0234213332073225	-0.209345703834346
122.mzML Peak area	0.177947818780335	-0.156930952679636	0.111882789924087
123.mzML Peak area	0.125422555314307	0.112512101607454	-0.00136085367206928
130.mzML Peak area	-0.186209411912307	0.266010191940461	-0.0637217178941399
131.mzML Peak area	0.180936203637019	0.144967984253032	0.413998101502737
132.mzML Peak area	0.131122211708235	0.24802134475308	0.0608533117246268
133.mzML Peak area	0.165001397251352	0.268753537541776	0.0916571137154088
134.mzML Peak area	0.162881130089543	0.126378120471987	-0.361886942148103
135.mzML Peak area	0.251759187210373	0.0674295518765361	0.102615509842508
136.mzML Peak area	-0.0183803016630741	0.280888385401639	0.0168944035879416
29.mzML Peak area	0.0419960240930749	-0.36256187565079	0.137534469316908
30.mzML Peak area	-0.166156665185942	-0.272708833982758	0.0295756128705438
31.mzML Peak area	0.172630103960343	-0.333288707750989	0.224318299709914
32.mzML Peak area	-0.198551163416703	-0.253707088360039	-0.212822668783558
33.mzML Peak area	-0.1431022365427	-0.0388928435424734	-0.3288885196966
40.mzML Peak area	-0.257097353556182	-0.0475833766934166	0.103836729940295
41.mzML Peak area	-0.212383488584025	0.0348824779413201	-0.219969943661526
42.mzML Peak area	-0.234075778074807	-0.0268003131556872	-0.111413429986613
43.mzML Peak area	-0.248216136950863	-0.045764211616716	0.12042038057034
44.mzML Peak area	-0.215301322276103	0.173671588704894	0.084706752637817
45.mzML Peak area	-0.173319626362891	0.167081409705094	0.069075175080432
46.mzML Peak area	-0.240912660195574	0.253259601647402	0.201585435992486
