FeatureID	Compound_Name	mz	mtb_group	molecularFormula	adduct	most specific class	level 5	subclass	class	superclass	all classifications
142	Suspect related to 0327_Tris(1-chloro-2-propyl)phosphate	329.0053644	unknown	C20H35NO3	[M + H]+	Amino acids and derivatives	Amino acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
2805	Candidate Trihydroxylated bile acid (delta mass -0.9837; sirius atomic difference: 1H, 1N, -1O; buddy atomic difference: 1H, 1N, -1O)	408.3109539	bile acids	NA	NA	NA	NA	NA	NA	NA	NA
2732	Suspect related to NCGC00164361-03!decanedioic acid	229.1435551	fatty acids & other lipids	NA	NA	NA	NA	NA	NA	NA	NA
46	Suspect related to NCGC00164361-03!decanedioic acid	229.1435929	fatty acids & other lipids	C20H37NO18S	[M + H]+	Thioglycosides	Glycosyl compounds	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Organic sulfuric acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Thioacetals; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Glycosyl compounds; Monothioacetals; Thioglycosides; O-glycosyl compounds; Polyols; Sulfenyl compounds; Acetamides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
351	Suspect related to 1-Myristoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine	462.2591351	unknown	C36H74O5S	[M + H3N + H]+	Fatty acid esters		Fatty acid esters	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Sulfonyls; Carboxylic acid esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Chemical entities
3315	Suspect related to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol	228.1958595	fatty acids & other lipids	NA	NA	NA	NA	NA	NA	NA	NA
3180	Suspect related to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol	228.1959873	fatty acids & other lipids	NA	NA	NA	NA	NA	NA	NA	NA
44	Suspect related to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol	228.1958565	fatty acids & other lipids	NA	NA	NA	NA	NA	NA	NA	NA
3936	Suspect related to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol	228.1958614	fatty acids & other lipids	NA	NA	NA	NA	NA	NA	NA	NA
4211	Suspect related to taurocholic acid	533.3249358	bile acids	NA	NA	NA	NA	NA	NA	NA	NA
648	Candidate Trihydroxylated bile acid (delta mass 17.0267; buddy atomic difference: 3H, 1N; spectral library match to CCMSLIB00003139133, Spectral Match to Cholic acid from NIST14)	426.3214844	bile acids	NA	NA	NA	NA	NA	NA	NA	NA
1774	KYNURENATE	190.0499206	unknown	NA	NA	NA	NA	NA	NA	NA	NA
455	Suspect related to BILIVERDIN	585.2701674	unknown	C27H48N2O6	[M + H]+	Secondary carboxylic acid amides	Carboxylic acid amides	Carboxylic acid derivatives	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Polyols; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
3418	Suspect related to Spectral Match to 5-Hydroxy-7-methoxyflavanone from NIST14	287.0914792	unknown	NA	NA	NA	NA	NA	NA	NA	NA
2328	Spectral Match to Ile-Pro-Ile from NIST14	342.2389628	amines	NA	NA	NA	NA	NA	NA	NA	NA
438	Suspect related to Contaminant vial septum ThermoFisher C5000-44B	554.175998	unknown	C27H42O2	[M + H]+	Bile acids, alcohols and derivatives		Bile acids, alcohols and derivatives	Steroids and steroid derivatives	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Bile acids, alcohols and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
568	Suspect related to Spectral Match to His-Ile from NIST14	263.142764	amines	NA	NA	NA	NA	NA	NA	NA	NA
3950	Suspect related to S-Hydroprene	253.1952224	unknown	NA	NA	NA	NA	NA	NA	NA	NA
579	Suspect related to L-Tyrosine	295.1655366	amines	NA	NA	NA	NA	NA	NA	NA	NA
4117	Suspect related to Spectral Match to Lauroyl L-carnitine from NIST14	426.3578683	carnitines	NA	NA	NA	NA	NA	NA	NA	NA
113	Suspect related to Sulfamethoxazole	311.0807259	unknown	C24H32O2	[M + H]+	Oxosteroids		Oxosteroids	Steroids and steroid derivatives	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Ketones; Steroids and steroid derivatives; Organooxygen compounds; Oxosteroids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
3087	Suspect related to Dimethyl azelate	203.1277981	unknown	NA	NA	NA	NA	NA	NA	NA	NA
793	Suspect related to Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14	520.3400964	phosphocholines	C4H6N3OS	[M + Na]+	Thiadiazoles		Thiadiazoles	Azoles	Organoheterocyclic compounds	Organic compounds; Organoheterocyclic compounds; Thiadiazoles; Organonitrogen compounds; Azoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1264	Suspect related to 10E,12Z-octadecadienoic acid	293.2475859	fatty acids & other lipids	C52H97NO19	[M + H]+	Glycosyl-N-acylsphingosines	Neutral glycosphingolipids	Glycosphingolipids	Sphingolipids	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Neutral glycosphingolipids; Simple glycosylceramides; Disaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Glycosphingolipids; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Glycosyl-N-acylsphingosines; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
739	Suspect related to Ser-Leu	332.2180541	amines	NA	NA	NA	NA	NA	NA	NA	NA
1167	Suspect related to 1-Palmitoyl-sn-glycero-3-phosphocholine	542.3214908	phosphocholines	NA	NA	NA	NA	NA	NA	NA	NA
110	Suspect related to 1.alpha.-Methyl-5.alpha.-androstan-3.alpha.-ol-17-one glucuronide	309.2577316	unknown	C24H30O6	[M + H]+	Benzoic acids and derivatives		Benzoic acids and derivatives	Benzene and substituted derivatives	Benzenoids	Organic compounds; Benzoic acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
4007	Suspect related to 1-Palmitoylglycerol	343.295692	unknown	NA	NA	NA	NA	NA	NA	NA	NA
2271	Suspect related to Taurocholic Acid Sulfate	613.2823427	bile acids	NA	NA	NA	NA	NA	NA	NA	NA
576	Spectral Match to Tyr-Pro from NIST14	279.1341295	unknown	NA	NA	NA	NA	NA	NA	NA	NA
828	Suspect related to Asp-Ile	243.1340983	amines	C25H50NO7P	[M + H]+	Lysophosphatidylcholines	Lysophosphatidylcholines	Glycerophosphocholines	Glycerophospholipids	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Phosphocholines; Lysophosphatidylcholines; Secondary alcohols; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
667	Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14	482.3609982	phosphocholines	C29H48O4	[M + H]+	Vitamin E compounds	Vitamin E compounds	Quinone and hydroquinone lipids	Prenol lipids	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Benzopyrans; Alkyl aryl ethers; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Quinone and hydroquinone lipids; Vitamin E compounds; Diterpenoids; Carbonyl compounds; Benzenoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1184	Candidate Trihydroxylated bile acid (delta mass 177.0635; sirius atomic difference: 1C, 11H, 3N, 7O; buddy atomic difference: 7C, 7H, 5N, 1O)	586.3590094	bile acids	C21H37NO3S	[M + H]+	Fatty Acyls			Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Sulfonyls; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
157	Suspect related to 1-Palmitoylglycerol	343.2956597	unknown	C18H35NO5	[M + H]+	Long-chain fatty acids	Long-chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
1172	Suspect related to 1-Hexadecanoyl-2-sn-glycero-3-phosphate	555.293464	fatty acids & other lipids	C38H69N7O5S	[M + H]+	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Sulfonyls; Organosulfonic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alkanesulfonic acids and derivatives; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
89	Suspect related to sphingosin C16 (Artifact)-emf	290.2690444	unknown	C29H46O4	[M + H]+	Vitamin E compounds	Vitamin E compounds	Quinone and hydroquinone lipids	Prenol lipids	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Benzopyrans; Alkyl aryl ethers; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Quinone and hydroquinone lipids; Vitamin E compounds; Diterpenoids; Secondary alcohols; Carbonyl compounds; Benzenoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
2006	Suspect related to Spectral Match to Val-Leu from NIST14	279.1705727	amines	C76H120O11	[M + K]+	Triacylglycerols	Triacylglycerols	Triradylcglycerols	Glycerolipids	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Triacylglycerols; Carboxylic acid esters; Carbonyl compounds; Tricarboxylic acids and derivatives; Triradylcglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
1570	PHENYLACETYL-GLUTAMINE	265.1184483	unknown	C25H38O2	[M + H]+	Bile acids, alcohols and derivatives		Bile acids, alcohols and derivatives	Steroids and steroid derivatives	Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Bile acids, alcohols and derivatives; Carbonyl compounds; Methyl esters; Fatty acid methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
3108	Suspect related to 10E,12Z-octadecadienoic acid	293.2475454	fatty acids & other lipids	NA	NA	NA	NA	NA	NA	NA	NA
3681	Suspect related to Massbank:RP024902 Decanoyl-L-Carnitine|Decanoylcarnitine|3-decanoyloxy-4-(trimethylazaniumyl)butanoate	344.2798416	carnitines	NA	NA	NA	NA	NA	NA	NA	NA
3733	Suspect related to Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14	440.2773162	fatty acids & other lipids	NA	NA	NA	NA	NA	NA	NA	NA
318	Suspect related to Spectral Match to 1-Palmitoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine from NIST14	440.2774221	fatty acids & other lipids	NA	NA	NA	NA	NA	NA	NA	NA
4238	Spectral Match to Bilirubin from METLIN	585.2705516	unknown	NA	NA	NA	NA	NA	NA	NA	NA
2175	Suspect related to taurocholic acid	516.2993171	bile acids	C33H53N5O2	[M + H]+	Prenol lipids			Prenol lipids	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Cyclic alcohols and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
388	Suspect related to Spectral Match to 1-Hexadecanoyl-2-sn-glycero-3-phosphate from NIST14	495.3083924	unknown	NA	NA	NA	NA	NA	NA	NA	NA
4189	Suspect related to (R)-4-((3R,5R,7R,8R,9S,10S,12S,13R,14S,17R)-7,12-dihydroxy-10,13-dimethyl-3-(sulfooxy)hexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid	506.2780762	bile acids	NA	NA	NA	NA	NA	NA	NA	NA
515	Candidate Dihydroxylated bile acid (delta mass 392.2922; sirius atomic difference: 24C, 40H, 4O; buddy atomic difference: 24C, 40H, 4O; spectral library match to CCMSLIB00005435508, deoxycholic acid)	785.592482	bile acids	NA	NA	NA	NA	NA	NA	NA	NA
