FeatureID	13L.T1	13L.T13	13N.T1	13N.T13	14L.T1	14L.T13	14R.T1	14R.T13	15L.T1	15L.T13	16R.T1	16R.T13	17N.T1	17N.T13	17R.T1	17R.T13	18L.T1	18L.T13	18R.T13	20N.T1	20N.T13
5ece98c0cac362bb89d0929bf339db77	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
107e01991c896ef137f273f55f852d99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3f1a5990efa772909fc3e63ba590af25	22	9	29	8	21	6	2	7	11	4	15	0	0	0	16	0	0	0	7	13	3
5db2cf37007f874e25eb2c901917e15a	0	0	4	1	3	3	3	1	31	38	8	26	41	13	18	48	2	0	0	12	39
679e26e1fa39c79d370763fafc27e942	0	0	0	0	0	0	1	0	4	0	2	0	0	0	8	2	2	0	0	0	0
923a477c342aa445c4eecca0f8415ed5	14	13	9	1	0	0	1	0	10	4	0	0	0	0	9	0	0	0	0	0	0
866ad2faba7615ca2e8880eab1955aa3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42510fba05dfdca4d4abce03bed0ebb9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2347752b1c24931521b8015f33f18558	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0
86fb5e4f9f52147f718e573f68a8adc5	5	3	2	3	5	2	2	2	7	5	2	0	0	4	3	5	3	5	0	6	7
74f1968b8430f123493c159111e08538	6	32	15	5	0	7	0	4	5	9	0	3	24	27	2	6	2	11	14	8	9
183eca14b63a48da0a4e182f33214500	0	0	0	0	0	0	0	0	0	0	8	33	0	0	0	0	0	0	0	0	0
902ce36bb30cbd0ae2badecac2849fea	9	7	26	12	37	30	22	15	198	20	42	16	23	9	57	47	29	7	30	0	0
103b5fb4d30f27b99a162e9fe7e08a9b	6	10	10	0	10	20	7	2	8	4	8	2	0	2	18	18	0	0	12	11	11
12f9d9b79791663c05efbdd153d8eecc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dbb91f355676d9cb4e3d22fa69ad6292	73	33	122	40	15	3	5	0	82	6	4	0	0	0	0	0	30	0	2	0	0
ab32796d8a34d8d2e7e361b9630cb0e9	3	4	5	2	3	0	2	0	20	6	8	3	0	2	14	13	0	0	3	0	0
7a2e014faaca1839b16b6121c9e02e47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
636c27859c1ac0a7994ca8ed145d03fe	300	91	129	40	200	76	361	8	474	273	148	11	377	301	141	134	560	288	104	314	157
eb8dd135a715b1d0fc322ffe446f4121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a4c27a77559e7b92301132ade36ccb8d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
5778fe5bd0f0f813a21f3a1e0ba46b67	23	14	2	7	0	2	3	3	0	2	0	0	6	6	2	35	10	8	0	0	2
072979c34ca788c2a8f4b61f356c027f	5	2	3	6	2	2	10	4	2	0	3	3	3	1	8	2	0	0	1	0	3
05f9f7bafbfdbdd1299b19b1048b2283	8	3	4	2	0	0	0	0	2	2	0	0	2	6	0	4	6	2	3	4	2
0961bcd6971db7e276fc802130be00e3	0	0	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	5
a0ba37b76dd3e1f038dc12477a8ba92f	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79bedc67f0b243cb3fd97ec87a4ce0df	2	0	0	5	3	4	5	4	0	4	6	0	2	0	5	0	0	0	0	0	0
71d094b7079dfef6a8ba5fe9a1f27226	0	0	175	37	32	4	0	0	92	26	112	23	0	0	0	0	0	0	0	0	1
677db3643e2fede67bda70999508805d	4	0	2	0	3	5	2	0	9	0	2	0	0	0	5	3	0	0	3	0	0
0df41d7584fa12ed3262ea85ac21039d	201	350	148	67	226	219	41	230	427	288	439	133	18	25	401	53	16	16	598	468	303
c9a9e220b2b8de9c076c7dc988ce119f	22	6	6	11	2	0	4	0	35	12	3	0	0	0	0	0	0	0	0	0	2
c8339313f4561ce1dedf8ab0f5cd1577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4cfcddb1b2299589d93c315461050959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6964ecf170c3769f79fd1691bb1e7445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	37	17	3	0	1	0
01af70af26995f0bb72894c2920a97e6	1	6	4	0	6	4	0	0	2	2	5	0	0	0	1	7	0	0	9	4	0
63ef5c937138e04534c882421088db60	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3db08ad717f20fde7085a3e346880d8e	215	288	435	122	736	226	156	127	221	86	329	91	78	7	326	55	4	2	440	376	253
93a41ead206a96a8e751031766fcd738	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
5a472b3e084aa438184108545413e4bf	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3af4973333a2fb53d4f764da8cebd075	7	6	13	2	8	3	0	0	21	5	8	0	4	3	6	0	8	2	5	14	3
5da16e540fda86adaac9eb06815c21ba	16	12	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d29fe3c70564fc0f69f2c03e0d1e5561	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	2	0	0	0	2	0
c8e2ce8722ae2deaae12eb9b9792c6be	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
866b299de76305f77c0994d290b00fd9	6	5	16	0	11	0	0	2	24	5	8	3	0	4	7	8	33	0	0	19	3
967a7958406dfe8af43d80a02afd05b9	5	0	0	2	0	0	0	0	9	2	3	0	0	2	0	0	0	0	4	20	2
d586534edeec1ab6e2b99e4b7015b5bf	5	9	2	0	23	6	17	3	28	0	23	4	0	0	16	8	0	0	0	0	0
e3df77d3f182c115bea8b642abbcf3da	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a538fda256b4cae4a5ade4882f8d6e38	22	13	2	6	10	33	8	25	7	0	1	4	11	9	3	4	9	10	50	2	8
7d9e151e671cbecef0843f2d444108cf	1	15	154	0	7	0	0	0	43	0	64	5	0	0	47	5	9	2	9	0	0
e7f52adbbed6a9d8e92f71183d087d3c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	204
27855b55c9784b5f3bafa12b609ae489	1	8	45	6	10	6	0	18	4	5	35	13	0	0	5	5	0	0	0	28	42
bbb2a3b01d4303ad284bebf5403cbbac	3	7	10	1	12	4	10	0	3	5	2	0	0	7	8	11	32	5	11	3	12
5aff8095366eea78ddecaa596d469e12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b3a8ad2d9a769dd1a7d6989aa62f3305	0	2	0	5	2	3	3	3	0	0	0	2	0	2	0	3	2	6	3	0	0
63c4a7dd4bb28501e38b567b74a9e3c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2859d175cbce4cbb01335e155616613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
855c18fbe80869f9770a32882059ab85	0	0	0	0	589	60	138	11	0	0	83	12	6	0	0	0	129	11	30	60	139
3539962076aae14222de1be557d43d09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
d49b6036edb46c7027c4acca629da39f	1	11	5	4	5	11	9	9	0	0	1	7	0	6	1	0	3	2	9	0	20
57bb0243cf4bafbb2a58563e4ffc5784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0
2a75f0b7741e4b22a9843daf1e4c10a4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
0312fbc0e9c85417eb0ba361fd00c1d6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fb47ebf73791a9cd5a943010dfc49812	337	2286	120	348	20	336	109	1611	155	681	15	288	622	202	51	598	396	749	456	223	603
1247b655d9804d0973d52adb92a8975e	0	2	0	2	2	5	0	0	2	7	0	0	2	0	0	2	5	0	0	5	2
d1c1529acbbd977e6219701a664424f0	25	84	70	64	0	0	0	0	50	13	0	0	12	25	0	0	0	0	0	201	216
71d54e14c7034018f281efe89ac45cec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2c9b7dd00b0b70d751a52f3162de42b7	3	4	3	5	0	5	3	2	0	2	0	3	0	0	3	8	5	2	5	889	2825
c0ed23c557f91e06a4dd4891e6cf396c	130	157	440	84	262	177	87	148	171	109	294	118	49	41	295	132	36	2	388	507	159
e9b7ddfac6ddbf88f1547702c21aa818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
d7e1e124ecd186c3cddce7b9ea6efbb5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5c53164e55b1a6ac5a3adca191327b1b	11	2	11	1	0	0	0	0	22	23	0	0	0	0	3	0	0	0	20	11	6
