FeatureID	13L.T1	13L.T13	13N.T1	13N.T13	14L.T1	14L.T13	14R.T1	14R.T13	15L.T1	15L.T13	16R.T1	16R.T13	17N.T1	17N.T13	17R.T1	17R.T13	18L.T1	18L.T13	18R.T13	20N.T1	20N.T13
3537	1660.874722	3594.048051	1709.611089	798.7577977	1243.089336	646.6382294	1403.94208	1723.116655	6006.223174	1667.922249	1055.252889	0	472.530591	529.1943917	1170.694903	805.1522641	511.5273987	414.3983448	660.1304175	1126.767189	369.3968416
3538	312335.8401	530304.7327	375089.5499	285154.1495	220734.2189	237764.2603	163019.1837	201777.4827	445039.6142	513888.6813	282279.8033	347557.5956	62728.60779	60423.82388	103231.2495	19647.8765	79579.18709	40413.06662	107507.7063	329195.803	77524.02981
3539	0	0	0	0	0	0	0	0	0	0	0	0	0	595.1145653	0	0	390.8423454	0	0	0	0
3540	794062.0759	868281.9464	515025.2696	328806.1894	282824.9012	290037.047	230841.0953	185926.9663	610761.7776	523167.8655	408588.0286	306243.1429	96532.72743	119088.3411	219058.7845	81182.75255	137590.7118	102621.7744	207357.3607	443629.2277	113217.9364
3541	1378.40193	999.4857526	2162.052503	1308.186552	1889.661081	741.9244074	2124.706131	3467.477723	2075.184343	1707.697617	2275.247577	2064.2255	909.692219	1420.910164	1238.856062	1999.951794	1095.609895	684.5704624	1407.652769	1301.588779	824.7393342
3542	278503.9883	528536.5068	625141.5851	166595.6521	302559.2985	314615.5011	250401.674	258129.0072	348673.4721	207264.6754	137880.4616	150424.1039	102954.9658	152519.5998	273368.0777	142134.7377	122852.1887	107467.9352	124249.4829	144267.9678	88510.10273
3543	12903.81327	3997.357179	2864.944802	4835.896268	3517.008134	1943.370916	2650.321822	1212.197034	11553.43558	5388.622288	3809.871015	2529.219283	3586.61749	1384.790569	6739.930447	2617.773342	4059.620701	965.8550252	3584.582713	6894.725034	1279.752562
3544	416758.8811	889602.6719	141465.8781	155052.8034	95632.43463	64883.23245	94539.38969	43669.5364	272883.4317	326448.4988	124090.0019	158461.3318	397741.129	444526.1432	776117.0575	148498.3717	46016.57061	65809.44744	217449.6587	179564.4245	125692.4486
3545	287713.0363	366285.5493	124994.3201	142593.8161	166398.7453	188604.4636	112564.2059	81139.43228	335697.3367	274273.0526	24292.08095	137037.4857	102119.5249	27546.50469	329934.3398	24794.61223	45712.77552	33932.86765	68885.67539	294242.3445	21203.96935
3546	80425.94027	68686.20362	62252.30389	85784.51989	85098.85084	115097.6121	127158.9961	106246.7798	100758.3949	114248.3771	418593.8951	106771.567	113233.137	54859.92638	75634.72207	68795.66868	92883.00824	72204.6427	90147.37362	54326.37877	19476.73611
3547	400202.8047	596127.0694	535035.1719	496894.9561	285569.2227	237053.1443	231350.4804	174353.3725	245427.359	217465.0693	186238.7472	161481.2024	198451.1886	179299.3124	272011.8143	144563.8723	184471.8795	148161.5072	218649.4723	235777.2563	144925.9635
3548	6699.111334	10430.87046	6853.192205	4283.742904	2835.267929	2300.138999	3463.712765	2029.727283	1172.96942	6016.370858	1129.577723	2665.638945	1881.271807	1516.276855	4071.032861	1320.567967	1525.36205	775.7624027	1152.634403	4124.349065	1178.52653
3549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2366.165478	0
3550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3552	3715541.026	2861718.377	1686190.306	15809.39779	748375.702	66546.01219	504584.7061	52583.22234	653277.6005	235251.1165	184972.3317	39043.24297	493606.6181	69483.27119	7347679.963	294835.0436	348106.1134	50481.60574	1374740.801	974220.282	112216.6678
3553	554434.8233	1016015.326	394680.1536	245414.1146	349536.1359	175291.2191	154987.0466	156794.119	233365.4038	249806.7996	222422.2074	212024.1394	855650.654	237761.6454	1399610.005	181042.1876	115370.4048	251865.161	262972.5932	184363.0813	147727.6682
3554	805210.1612	224255.7361	1322282.358	180403.2955	1166749.854	219378.1569	685968.391	66457.01552	1010697.932	214573.0987	494904.6398	43839.00621	865070.2267	155705.7304	1589569.873	228282.4656	337566.5349	144471.384	186767.8164	972341.205	99506.00132
3555	7328.217577	2217.731966	14176.58421	8155.646521	4626.011089	6079.253856	7535.489911	2643.436013	15345.47315	2688.311278	5261.191955	2944.694583	5895.279373	4305.948612	48271.63141	5369.625559	3764.572666	3420.083457	2647.059944	4709.80154	2818.611873
3556	48879.80798	268044.9868	41456.8831	193467.3981	59460.80124	118068.159	32563.61714	72280.77269	35640.5487	139061.8332	11929.99836	35561.70754	50114.94858	76530.33882	61683.21468	53084.94198	40522.32849	40571.4068	175056.3305	53044.59101	65075.03431
3557	1187481.386	78262.48639	1959304.734	11022.58797	212799.36	0	66022.10134	0	354584.3536	0	14957.87456	0	696.0349642	454.8798616	543432.0588	28340.32731	6619.105945	777.5784892	518.3886326	45612.34829	0
3558	334521.2914	151795.5588	124309.698	289339.8277	741204.9211	297139.9548	1141719.12	153517.2419	1478946.351	318124.5064	283570.8866	267734.4555	417719.3904	51676.44315	329871.2904	199583.8793	675718.2452	348847.4523	97961.57041	1429770.782	266508.9714
3559	308183.5529	57782.36302	387497.4867	307438.7351	551053.3897	183326.1077	418622.1671	136977.859	1572924.85	90968.65196	215320.5221	158272.8549	34520.60409	5223.435087	374483.765	84771.55481	177368.8703	134115.3384	3791.880537	771047.6183	41536.86681
3560	199074.7619	12436.18626	690409.1451	10327.20904	201461.2693	32589.20756	46339.22155	8450.966427	139108.4381	6889.808994	46289.4271	87949.91962	101598.2067	0	334411.6471	49005.84337	236716.4759	48245.78404	4022.059876	268585.0865	7846.315847
3561	124768.8961	140631.3512	66900.40302	66666.25495	61352.85641	60005.47178	38983.0445	10942.23723	98493.98468	85877.94891	14365.93726	42945.58539	27501.42435	2170.643542	88662.03717	4546.109704	16877.27713	5018.460094	26320.33751	115489.3067	1867.526258
3562	118662.1985	9984.298574	502251.6961	13136.54234	193541.2624	14735.44662	61081.96771	4819.150704	180428.441	11197.3406	35956.44043	19614.27284	45848.1121	1986.245059	561346.8288	74528.8025	91966.54143	16770.82598	3675.011409	88935.40144	5785.720977
3563	61269.12173	51858.81794	224370.7766	11542.31369	54333.56437	13196.74809	17912.71598	13361.9632	44404.33292	12783.20503	107435.9509	13340.28021	129984.5609	4925.20584	10445.81549	189184.4054	35836.55639	20996.3581	24450.20092	52500.46152	5880.272584
3564	234270.7371	10550.69492	65594.41127	177359.1953	457417.7894	241201.1789	680787.7666	194176.8711	903040.3356	81591.63281	120949.7327	170786.7386	244218.8515	13394.71172	140391.4677	136679.186	243570.7348	221190.6378	5173.758408	582134.1463	154400.9415
3565	288460.445	44122.72177	387400.2199	20771.13863	69900.64848	17304.93834	115018.9621	28292.83877	354684.1794	68937.17274	46843.30025	38793.33129	10238.1613	5048.264193	39104.44383	16626.58596	35336.47997	11378.06171	24948.43312	99383.77681	8489.004303
3566	42725.28051	24088.90784	27265.80096	2899.41779	44710.47443	42759.40391	18208.98223	5405.91999	5988.333182	0	6544.507737	9911.461863	44743.1405	2123.974809	8792.462316	36134.60748	15834.81375	19296.3769	3991.117777	7013.590229	4034.622222
3567	45663.85919	56341.83502	406652.533	17996.24345	109865.6583	2885.491955	32787.24118	3896.079396	9868.644101	0	246550.0074	0	114398.8223	2013.929822	17936.65189	254159.1564	111973.3741	25324.01764	5886.258042	345706.4593	6481.513458
3568	460646.9323	94601.86879	193880.1525	70026.77666	121827.9682	46097.91982	60495.28876	11027.28756	40288.46726	9277.137605	11575.66456	19431.92211	25386.64209	2083.801903	67509.67859	37481.48389	57353.449	24537.01339	11690.71038	82862.78358	5644.805401
