FeatureID	13L.T1	13L.T13	13N.T1	13N.T13	14L.T1	14L.T13	14R.T1	14R.T13	15L.T1	15L.T13	16R.T1	16R.T13	17N.T1	17N.T13	17R.T1	17R.T13	18L.T1	18L.T13	18R.T13	20N.T1	20N.T13
620	171250.6348	223813.9768	345008.4369	252724.8605	155664.07	339980.7642	213562.6531	219235.8793	156747.3579	79627.77208	481097.1241	128613.3545	1212684.623	243966.1031	210240.4469	409320.9723	504246.3221	283246.5328	318086.1365	1906210.977	512209.5504
851	22617.59771	118323.4654	46190.96504	138062.0201	51105.31999	303965.4266	48666.08367	147547.496	25445.11757	42643.65402	333307.408	80666.76779	491012.0343	81569.78391	11220.6093	267454.34	206167.4604	225153.7479	128094.185	871708.8567	274850.1885
933	0	0	0	0	1067.010821	0	0	0	0	0	0	0	680.8651378	389.264847	0	0	0	0	969.1928172	0	0
1025	230438.5859	249126.372	97095.26494	204063.995	217286.93	206184.29	85467.63792	158450.2397	208517.2288	187536.0919	180982.6796	113526.6251	225926.6891	124313.0713	74040.14962	84763.91814	58844.85513	247846.3852	0	258451.3123	138029.5614
1264	5479311.314	4685113.608	1617479.123	10239.70721	677806.3592	66546.01219	504584.7061	44086.03821	653277.6005	235251.1165	184972.3317	39043.24297	493606.6181	69483.27119	14700000	294835.0436	348106.1134	50481.60574	1298957.698	974220.282	112216.6678
1425	78217.12732	120947.975	210307.3733	92981.92531	24659.75136	440491.9395	217606.0125	668732.6166	78476.50763	718621.399	593837.6563	533667.5144	460059.8737	98202.49368	141721.4984	275707.6055	534212.7361	481933.1362	147814.5023	2821740.386	734011.9232
1522	192418.1112	564592.7804	75410.03638	2356363.39	428978.8432	2345067.059	285651.387	2991652.047	301377.2166	5298038.776	1373732.616	3168420.514	388530.9268	429449.6369	131058.2501	457935.2705	468019.4846	697774.384	214183.5106	537897.783	587312.339
1846	816311.0552	389762.5535	63396.725	31715.73166	51999.17107	10793.93668	68378.57345	55604.41741	96991.9723	74962.99559	23232.4822	34794.72267	62773.73889	22987.8662	1499424.751	50266.10731	91083.60147	23068.2192	132699.6195	70124.5432	62084.64011
1974	6314.588314	2224.846487	1161.519165	2834.914782	727.9084152	885.8861517	2839.321879	4158.702146	2590.758365	1475.88163	738.7160583	2939.472071	449.0196338	621.0013536	1526.845709	617.4898103	1618.438967	714.5407874	1150.036507	1735.825521	723.7879607
1992	76849.05278	31877.65272	6438.850098	2361.010519	1704.07098	772.3261014	4973.59673	2202.463935	2731.926053	2819.498482	1809.51927	756.0793357	2085.800228	1122.859477	51184.67225	1236.833903	882.4079288	614.7869177	14109.69269	3659.451234	824.4766837
2245	2311467.013	4647603.045	1295567.373	805705.7972	1285852.449	596479.9082	1001827.535	305180.8672	1077855.979	978065.7905	255889.8295	320933.2121	707747.9887	697330.0004	8202969.969	275030.3155	343717.6033	196096.5076	873388.609	701471.3516	293794.6452
2444	36495.72761	30746.14276	12558.8684	56607.14123	7004.349873	56454.2737	14602.39723	76609.56275	22487.48829	892941.2711	107037.5322	345558.2458	14925.81267	16382.93232	17790.19191	10834.459	11098.07908	12659.73974	32055.69711	70528.39742	12072.2741
2448	110793.0993	22783.02193	58879.45684	4069.372456	19500.35974	11694.3747	22210.50668	2358.661025	63682.64809	13651.42967	9185.254504	2650.053812	11197.80092	7908.336173	20315.88194	5908.327306	13375.32859	10624.89531	19190.28533	15185.96946	2338.208148
2467	86249.57046	69833.17882	49213.92512	1822.12435	26738.72886	6001.521414	41183.92041	1699.685415	73138.3074	13511.85281	2045.717339	3093.470741	16560.41097	1430.581777	255129.1593	2184.860692	2238.636571	1714.883372	22372.95066	17675.45602	2808.921322
2568	795606.0788	1997498.378	1239594.664	460399.1533	253308.8602	306425.9065	239474.6951	249299.7825	579905.8551	347618.7685	151819.3119	248487.9954	401043.9816	287690.3647	1063249.935	210789.539	280628.7861	118690.0822	383439.885	451084.9863	192978.3968
2658	341519.7713	217865.4629	159737.4086	26544.28006	11640.11837	22910.83528	4081.961872	3192.761127	18527.25649	4521.282528	1138.156481	1559.956827	17378.15849	4507.74992	246482.3898	2296.356158	6235.180639	8450.909271	16654.84179	38992.16632	3707.159191
2691	2778718.293	5272893.527	2950394.694	1069210.292	654013.7441	685270.087	848071.2931	468375.535	1450336.633	930870.0289	326114.7163	401422.8373	1062785.177	644776.2589	2852104.33	427207.3301	685303.325	423363.4739	949898.1904	846943.5528	419912.9358
2762	289388.3776	60254.10187	83210.69761	4411.035316	4872.509097	14473.88577	11583.73314	8662.388646	12466.55491	6218.381375	14606.34536	6024.111997	7928.183402	5263.479479	148571.4632	4054.571827	27100.21307	1919.656088	9657.45261	13743.36516	3710.509549
2793	78908.69713	121435.3932	134810.2969	5699.556724	10756.59283	9986.626413	11386.73728	8933.773581	18261.63832	13142.22296	1240.552578	3389.960723	8833.247146	5005.501126	73867.48487	9668.568285	20277.3847	5446.710454	30009.02991	6136.260844	4401.275468
2931	943352.5753	2264800.509	1038869.564	392509.5444	56753.00098	23905.64525	28948.55881	18590.29487	76891.27967	37444.88478	66436.6299	53988.48079	36566.29866	3929.512104	162744.2169	17912.84913	27776.908	5340.849447	24223.33205	22005.11759	2864.629406
2934	936896.1544	524717.7088	6280368.685	2479811.72	6104.273293	16285.28797	5170.026685	7769.663395	3199.223746	16241.62674	22046.85976	5094.792975	6699.719726	3756.084215	12947.67239	2186.682394	15765.78096	1145.593201	7378.696353	4327.229712	15696.53125
2938	3766829.71	106395.901	3532335.263	84237.80215	57100.26887	51273.86858	8453.990508	1410.762028	3485.45194	7085.590839	8694.680721	0	37353.93122	4719.8952	124474.1766	1689.997634	3922.330112	3325.219778	8036.125721	34703.20165	0
2944	2523192.833	1220508.843	17500000	6873037.334	21893.85612	19200.1664	22185.69666	79108.25877	8554.169279	24807.52299	45673.37956	29706.64109	23664.9183	12405.02159	20767.25572	5745.405674	50052.94916	27706.88988	6408.606953	5624.242475	1339.245501
2999	6888308.186	3639127.274	2469278.667	1029457.154	11372.80046	54581.82609	83604.79336	29516.48678	55818.35779	127863.2104	206401.3071	93020.42874	86641.41509	26507.98721	99557.45914	24708.88184	69039.21861	30855.95968	55698.68048	90757.90956	34579.21549
3191	553075.6082	258596.5548	1184219.262	73220.64411	106937.927	92001.19435	63522.9822	28350.99756	118068.0027	61114.3452	28812.10666	78028.31074	48981.7555	24331.38976	235960.45	93561.43328	130975.6748	49759.80932	125359.6254	183957.3929	66523.54247
3280	18360.91416	3134.954994	13162.08374	6630.18344	11864.81519	1846.329453	16149.59943	2029.442138	43759.66272	12496.06478	1091.87214	1135.572856	2776.033926	2139.740542	21406.68851	2404.596114	2607.78898	1111.587768	1886.725819	7898.828908	1090.391017
3372	2770297.551	6215676.593	2571388.295	1753079.666	2550428.555	948936.3506	5688638.005	1155905.935	15100000	2171145.921	102698.3393	261239.5091	355082.6243	241604.9531	3718980.69	139847.0793	280212.7514	162520.6904	339649.1835	678635.9778	268688.3443
3552	3715541.026	2861718.377	1686190.306	15809.39779	748375.702	66546.01219	504584.7061	52583.22234	653277.6005	235251.1165	184972.3317	39043.24297	493606.6181	69483.27119	7347679.963	294835.0436	348106.1134	50481.60574	1374740.801	974220.282	112216.6678
3597	110645.976	130126.6743	35108.79293	3792.055188	10193.14714	3705.813355	9427.965247	4561.987164	24256.35287	7701.520053	6360.730556	4577.654267	22356.72763	1976.38338	358840.2893	8689.530239	10121.15922	1907.302056	37750.34269	18103.08959	1696.814188
3624	72679.13125	174063.398	90687.99899	60188.49681	20281.67172	30750.45657	11637.32619	19847.12427	24562.12023	45130.00081	3129.980154	31334.03332	14510.18617	28168.76261	58182.61502	16847.53373	20589.33528	13943.36602	35199.3886	26480.31003	16660.75093
3748	156501.6573	13987.51695	100435.1916	3410.217044	5655.531197	13460.86651	4554.708926	5019.93135	8469.09603	7720.167017	12843.87749	3107.715908	5380.895551	3812.262166	94551.55754	12430.04952	35170.71983	9514.131008	3840.052581	6737.789495	7844.123226
3870	4934.958349	10058.38281	12832.01853	9745.757923	7478.58153	5736.703501	18872.7608	6630.500697	20146.35847	19286.65996	2129.882519	11003.00786	274062.1436	3526.410095	13460.87864	4720.877278	7735.998756	5433.802945	6303.920783	26200.92976	3762.107311
3885	7910.748247	17639.83792	31628.89457	3826.25556	3013.945472	18604.25419	11522.67127	0	3672.556503	12293.47174	7353.310653	13011.81356	422824.9145	2455.621428	46913.37242	82475.45618	25140.06922	36099.91669	5010.694874	42409.91166	25075.18791
4005	40432.75501	12226.28726	10378.02103	9094.377439	18877.05576	702.4502163	36199.64929	2340.267338	75241.44657	0	3136.167768	1332.865003	2233.068008	449.6277429	18673.50548	1359.824834	3480.182804	5232.405208	569.1179594	1189.542289	430.3916906
4166	14977.10087	140438.1521	53120.66458	35858.56007	108948.8454	80224.23844	13529.93228	72194.07551	11472.05879	248138.8407	128725.6131	200093.8037	31844.08308	52787.18219	97977.61848	49014.16455	13910.55194	12542.69236	26430.10206	14156.3209	41609.90977
4168	4233.138498	19001.81116	7985.972778	5368.654452	2501.762882	7541.920687	4440.748366	7549.99071	5386.299279	6587.821781	799.8670714	3395.421674	1959.827697	0	10456.05462	2455.380657	2239.127923	4906.559868	1495.962762	3808.771156	1185.377162
4200	5361.2532	11977.36338	7930.425054	6832.364955	13847.59982	25416.10503	2923.574475	6882.917595	5980.914668	17304.96712	5211.361768	25636.14366	8639.811303	4775.695633	4190.342841	6471.70626	2614.343155	3666.51567	6458.870707	7302.372684	6283.638744
4386	3783068.566	2134876.283	1634541.479	722950.3285	13320.61469	35506.30668	60959.47521	8751.032152	4344.966614	43369.70264	79671.57695	61908.93178	55767.69301	5341.318654	7491.609148	6556.061734	21171.76092	12310.29763	5820.230899	28404.54704	4132.071139
4408	346030.0895	351878.845	1162734.632	660444.7386	2646.062042	1989.536846	5279.480938	1851.778334	11590.13313	7988.374289	6342.874543	2913.510051	3694.625481	1106.835244	5149.555758	3043.713593	2215.302054	946.2281631	3554.284646	14181.70497	2265.123816
4419	1331787.462	805190.478	393574.9311	268988.2704	16250.75517	15482.13948	12971.17539	13130.88242	25792.7797	34648.37849	8776.742353	8361.954224	6738.895542	10189.76259	29622.69179	1753.212117	12391.31672	893.4344034	1223.843899	11723.2913	2658.773845
4446	20800000	32600000	25600000	8406113.384	6716449.925	4916047.048	5106930.124	4007203.96	12100000	7778790.932	2823312.249	3611621.125	7897937.921	5405622.658	17900000	3698888.905	5767695.679	3453726.425	6968589.69	7396166.015	3254286.466
