FeatureID	13L.T1	13L.T13	13N.T1	13N.T13	14L.T1	14L.T13	14R.T1	14R.T13	15L.T1	15L.T13	16R.T1	16R.T13	17N.T1	17N.T13	17R.T1	17R.T13	18L.T1	18L.T13	18R.T13	20N.T1	20N.T13
65bc2b52d9d09bde0d63aadfcffa450f	31	54	14	11	31	25	4	0	215	29	38	14	0	0	0	0	204	9	62	0	0
726fe9527294f50f4d2654b3a25730a9	16	9	16	5	11	6	8	5	26	4	5	9	4	10	28	25	95	28	28	7	0
a6c1d5c393eaa8b78baddc67c010b5fe	15	62	241	91	164	161	37	49	31	24	225	96	39	17	123	81	7	4	8	197	127
7f782768e8d3067af0a923af092239d3	122	25	44	14	0	0	0	0	18	6	4	0	40	62	11	12	32	10	25	53	61
e613626b2ce8bfbf28995d9b11edaeed	0	0	0	0	0	0	0	0	0	0	0	0	5	2	14	0	14	3	24	45	478
d1c1529acbbd977e6219701a664424f0	25	84	70	64	0	0	0	0	50	13	0	0	12	25	0	0	0	0	0	201	216
923a477c342aa445c4eecca0f8415ed5	14	13	9	1	0	0	1	0	10	4	0	0	0	0	9	0	0	0	0	0	0
be65daef90f69cfc35f5bcd8e387d377	6	3	5	3	240	61	0	0	166	77	937	401	224	62	112	13	9	8	501	450	696
d90a306bb67d75602d9e789894d2c81e	0	2	0	7	30	7	2	1	45	22	7	1	2	0	17	1	8	0	14	398	334
eb4104bfe7ff965e7288b9e381317aa8	17	19	37	9	8	5	2	0	33	2	9	4	10	9	8	16	15	0	0	123	29
