FeatureID	13L.N1	13N.N1	14L.N1	14L.N13	14R.N1	15L.N1	15L.N13	16R.N1	16R.N13	17N.N1	17N.N13	17R.N1	18L.N1	18L.N13	18R.N13	19R.N1	20N.N1	20N.N13
a7ead60f642eba4d1818f4b855aa8e3c	1	0	0	2	1	9	0	0	2	0	0	0	2	4	5	0	0	0
74d3dcd6ae99646ad2d0e51a6de52392	1	3	16	4	29	0	0	35	5	0	0	2	2	0	0	0	0	0
0186330d9410c4275a911183b4b64918	31	5	15	18	15	59	27	34	22	22	10	15	10	21	68	0	13	21
055a71db6ce1db07ecff68ce9d0682f2	0	3	0	0	0	3	0	2	2	4	0	0	2	0	0	0	0	0
65bc2b52d9d09bde0d63aadfcffa450f	67	27	24	0	15	87	6	47	25	0	0	0	35	3	7	21	0	0
699071a4a7ce68918e4cd93a61275ecd	2	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
9a635a3f4244172ba790059805ba08bb	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8db0a45010c16a21e4464b08f91f75a3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
2dfc63861bbe2e96d627965584ef575d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c0acc5ee9126e7dcb71b95e0d00e4ae5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
93a41ead206a96a8e751031766fcd738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7c040883f42eca28c6629a5e00fd4af9	1821	1163	1149	586	877	139	298	1392	73	498	55	27	67	7	14	1443	384	255
a7bdde1a1704da13ae08a3caf6ae138b	52	27	82	7	39	180	9	66	46	134	4	5	3	0	4	21	91	14
9e197bf17a1ce700a7de1189a28e0298	39	20	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0
789ecd2eaf99f332bf590a07d85b6a26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9697093167165ec9bc77828de856e1fe	37	0	2	0	0	5	0	4	3	2	0	0	0	0	0	0	4	9
b2637b296c45dda4238faa90cbbad314	0	4	10	0	0	2	0	4	0	0	0	0	0	0	0	0	0	5
97525d2e1aee047c16dc6d32a3bdab87	18	13	7	0	4	24	0	16	11	24	0	0	1	0	1	11	20	3
2fff156ce55c3a984ed902086d5472e3	0	0	5	2	17	0	0	28	22	0	0	0	0	0	0	0	0	0
57bb0243cf4bafbb2a58563e4ffc5784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0
2ae4d6fb9a3b5d9b559f26bda87eeb3b	0	0	1	0	2	0	2	0	0	13	0	5	2	0	0	0	0	2
44df229e124cc01f387e2c21d201245d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28ffcf08ac42056a280ce3eda0048052	57	55	0	0	105	8	14	223	22	18	10	0	5	0	0	2	34	0
4661143fbd9a41891bdfb9d1759e64ee	2	0	101	10	28	16	0	18	8	502	47	49	25	10	8	14	4	2
232b620c68449ef867edeb991e329d50	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0
855c18fbe80869f9770a32882059ab85	0	0	110	18	91	0	0	20	2	10	0	14	11	6	5	11	777	53
0f2348ad3325c6e744edec78bb6418ac	0	0	112	18	80	176	16	120	143	8	2	5	0	0	0	0	22	0
9bcb91b3b0c1baf12e64d29022c37491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	20
419f83c90572d8df1a4cf0ac9d95f5f5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1
f813645238ce6b4b8506d2b1a4731626	0	0	10	0	19	0	0	3	0	0	0	0	0	0	0	0	0	0
fd2ad9251fb6bdea81fc1029aa50b634	554	384	1446	2034	980	1123	1135	666	1126	530	1290	5007	2118	2211	175	351	817	1247
42af849d4a297e128dd2f63467c53c2e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c0ed23c557f91e06a4dd4891e6cf396c	202	269	139	11	223	90	20	304	103	86	14	5	15	3	8	269	178	108
