FeatureID	PC1	PC2	PC3
1	0.0639756581333223	0.00213500160418978	0.0108600017401968
2	-0.00469229448356204	-0.0148468983547869	0.00838684728250113
3	-0.0113504546922059	-0.00178052383917887	0.015589781042114
4	-0.0135118446750144	-0.00104629400463476	0.0176597843707475
5	0.00819762620783445	0.0133717664970545	0.0396217850336059
6	0.000251984081700425	-0.00411009346516057	0.0267651857978884
7	0.070945827870353	-0.0159731398636446	0.00725043454064088
8	0.0721445815359668	-0.0106410123350931	0.0141417684268787
9	0.0374762866480881	-0.0144504011343971	0.0063166292330941
10	0.0646750490201576	-0.0075336861299597	0.00452709006837959
11	0.00950460279281351	-0.00766554057653449	0.0089834767872488
12	-0.00551247082492304	-0.0110352108131102	0.0189754198530854
13	0.0794650359598291	0.00306068687105505	0.00453559462442603
14	0.0567609198060669	-0.0165242251283262	0.00287177940062779
15	0.00841198664974302	0.00913488012401069	0.0310303096655324
16	0.0577461918274905	-0.00789587394642034	0.0127120705629286
17	0.0293127831964214	-0.00399153422515916	0.0185079705987047
18	0.0152878326898669	0.0199888174412452	0.0227043092658653
19	0.00141563103587962	-0.00724735748859257	0.0270806328076501
20	0.0802074605603587	-0.00380840596388957	0.0236996776544999
21	0.0106147619289655	-0.000391292503222736	0.019026248397089
22	0.0125401252721317	-0.00126304266745968	0.0230154688599299
23	0.0668160613797801	-0.00711146155410878	0.00539442675906888
24	0.00321366063962045	-0.00307973004702131	0.00924593786774258
25	0.00774210105737954	0.0196754815848607	0.0302794240984665
26	0.00838542165216968	0.00923927272919983	0.0277914528273654
27	0.0341476177295018	-5.09584812423934e-05	0.0195091579356309
28	-0.00986384170361689	0.0196334791004321	0.00122084593178227
29	0.0602636342500324	-0.0184189765975871	0.0120289078387354
30	-0.000628949450580261	-0.00513285524492892	0.0162148340375253
31	0.00574363565070217	0.0142758719316347	0.0260997482998064
32	0.0360075294959449	-0.0214549404806203	0.00638306698135126
33	0.0626822861672203	-0.0176680132531958	0.00190861393081247
34	0.000365786046505421	-0.00655102896675313	0.0317167665140931
35	0.0119238257431336	0.0171252851634616	0.0278476093016406
36	-0.0123319387040197	-0.00111577972025332	0.0254523703851351
37	0.0697005731214478	-0.00538971083830899	0.00844973397171759
38	0.00995964425084002	-0.00817664327691985	0.0319339386196978
39	0.0397532436447084	-0.00529151903468687	0.0101997218017471
40	0.0613840514274168	-0.00998583876082634	0.00520063015747434
41	0.060470453377161	-0.0200693222713558	0.0144435886036771
42	0.0513873147405471	-0.0164012180037195	0.0161732765344007
43	-0.000177290042254498	-0.00510889066885312	0.0245828393208516
44	0.00753023295702975	-0.00830488126433358	0.0224956594802234
45	-0.00851724688020936	-0.0010590181382832	0.0186931219042595
46	-0.00249971336419455	0.00271640828367578	0.0183738334995002
47	0.00139724669096831	-0.00598063218989522	0.0258118166278653
48	0.0306678904660943	-0.00442512557111082	0.0131145358346575
49	0.0109322028094226	0.0235625583053293	0.0301495567680618
50	0.00577858375669865	0.00890789369192729	0.0204196473045571
51	0.0418281350202435	-0.0145758743950514	0.00301206585015648
52	0.0718750077875791	0.00340839263846022	0.00760247911361285
53	0.012457774410162	0.0176762665558306	0.0264814549476965
54	0.0457989352318619	-0.0052126334782396	0.00673163394291619
55	0.0597514223632283	-0.00990768086109177	0.0111773900940623
56	-5.950171630085e-05	-0.0030129684474558	0.0187991195077762
57	0.0141010168385591	-0.00333994033988396	0.0194780719068486
58	1.59121957836714e-05	-0.00520478798106257	0.0211613592538678
59	0.00661392636007817	-0.0074237166777578	0.0159836363485664
60	0.0527005315172139	-0.0135180096987579	0.000468172768502825
61	0.013342429842885	0.0204045816004142	0.0230178033313622
62	0.000721485059671322	-0.00685930833175692	0.0319227641900993
63	0.0139189388788957	-0.0136863004381722	0.0161349069611591
64	0.0740378135782608	0.00501431094392026	0.00969682732939168
65	0.00890461216017203	-0.00515197337220988	0.00675250383434076
66	0.00309629387989326	-0.0131728695591586	0.0237944203842025
67	0.0339469749811701	-0.0060825640032876	0.0083447586374533
68	0.000446284553481259	-0.00407401183173132	0.0266438183902227
69	0.00127983339121731	-0.00666919695690405	0.0165322344797782
70	-0.011465565607651	-0.0119576747751497	0.0212312627005758
71	-0.000472425563249304	-0.00687983857513519	0.0211829077279722
72	0.000178515760438578	-0.00622779709178096	0.0147339626842859
73	-0.0126600771109157	-0.015015411284468	0.0210938210030136
74	-0.00203528583613045	-0.00467738974555562	0.00681389418265549
75	0.00182575025954238	-0.00812527012991556	0.0290790938951335
76	0.00117826639142667	-0.00674933344828492	0.0163980305544733
77	0.00433492053734864	-0.00201388136914081	0.0179037483326471
78	0.00133970377110998	-0.00626623765573583	0.0452185187284881
79	-0.00621811556323447	-0.0110240750583043	0.0131465147838288
80	0.000175903813146451	-0.00585239384568358	0.0141110904299453
81	0.0146310603757304	0.00424652896649475	0.0217141636707579
82	-0.000123285915271168	-0.00652870932892598	0.0242656271965843
83	0.00120515378396332	-0.00739117404252537	0.0233808006903385
84	0.0304879512712216	0.00215147091106752	0.00757232231732999
85	0.0327631617794764	-0.000571402844449454	0.0078906991242348
86	0.00070974055694919	-0.00522118693740189	0.0288752522218768
87	-0.00670898864077215	-0.0023734698714163	0.016228067561941
88	0.0450706250747021	0.00961934254317701	0.0128006914840803
89	0.000378202508923441	-0.00635929024329442	0.0311771261451314
90	-0.00769318818560681	-0.00407518634571957	0.0156904706130385
91	-0.0073511754135259	-0.00502006509880173	0.0157363802263313
92	0.00169370549036754	-0.00505297838311315	0.0127906573260725
93	0.000406859976458181	-0.00625224204102153	0.0150788779032994
94	-0.0028690936768086	-0.00882291909357501	0.0272646315887838
95	-0.000817330612716398	0.0124807859415751	0.0181816094783439
96	0.00247478809871653	-0.0145134773998868	0.0099834532842875
97	-0.00723198391395415	-0.0123176016389418	0.0156679538296697
98	-0.000995685248816623	-0.00561321582041178	0.0247823426777319
99	0.00320362158876669	-0.0083700916274224	0.0188540092754896
100	0.00169736417984999	-0.00684489796463809	0.0226485524101487
101	-0.00708894833528916	-0.0222652971508387	0.0122054561362678
102	-0.00576909566016284	-0.00373314408594047	0.0153411002813037
103	-0.00992142050821282	-0.0109708131043775	0.0336689394704743
104	0.0320597695793709	0.00403398320736225	0.0221703471882688
105	0.0294243085824806	0.00281764735558179	0.00959805340121332
106	-0.000866656286251194	0.00145765602948782	0.0202796591036904
107	-0.00508819076924597	-0.0110984521811566	0.0201981948121057
108	-0.012917314686403	-0.00693441153441466	0.0164884966178917
109	-0.0128346102196398	0.0011393808180671	0.0285653351111817
110	0.00906733898876189	-0.00603360929243321	0.0163382058248064
111	0.00073329167439276	-0.00589181083090287	0.0263760800900758
112	-0.000435698000554047	-0.00883674984433004	0.0128889247141451
113	0.00192524934329282	-0.00689331627943385	0.0509676852995551
114	0.000212017665702173	-0.0033625950660049	0.0134957471611393
115	-0.0135835453010028	0.00273001158824223	0.0280499756112522
116	0.000176507054921747	-0.00724576388436645	0.0161114906056637
117	-0.0131190887137307	-0.0149213529926465	0.0273112689818573
118	-0.00670885124643258	0.010038066333383	0.0249404466473825
119	-0.0115073828655362	-0.0141233876719924	0.00852721014800445
120	-0.00335677997201291	-0.00772373011544038	0.0288918328968032
121	0.00299076291126151	0.00648047804791965	0.0245230463360474
122	-0.0010467274833609	-0.00628824953016066	0.0132427846739263
123	0.000462175761463584	-0.00581595360205987	0.0224681364753278
124	0.0176002898872559	-0.0234008553055387	0.00470251932541112
125	0.00800982935109643	-0.00749160994889049	0.0183491400876292
126	-0.00347772109209404	-0.00870727338223792	0.023643174989607
127	-0.00816262979158832	-0.00734329899988652	0.0362952911906219
128	-0.00489342919042877	-0.00450775385034045	0.0168904785536947
129	0.000252991131527558	-0.00568435541766324	0.0189871478393435
130	0.007594427814667	-0.0108186468846554	-0.00166801637457438
131	-0.00998530200552677	-0.00520026310140313	0.0197475561745969
132	-0.0114373834613405	0.00331334141667369	0.0148406433220311
133	-0.00610682555131056	-0.0148675517774787	0.0268055487311755
134	0.00281217484276764	-0.00852018082870781	0.0164427754582079
135	0.00293309481914444	0.00023998794502794	0.0263190583654354
136	0.000501451509976959	-0.0067571614885507	0.0212470401683795
137	4.1309169634363e-05	-0.00524423569801904	0.0119042826140281
138	0.0485219444276532	-0.0166193603943193	0.00701319661642486
139	0.00261409353291802	-0.00360486216715346	0.00243013123132275
140	-0.00920074992299686	0.0161822114329951	0.0320961837334426
141	0.0079077121445004	-0.00909782938414207	0.0117421875172446
142	0.000482753084486619	-0.00674047929140197	0.0209234664770039
143	-0.00928318324637428	-0.0109451207603637	0.0108858737047296
144	0.0004890850491838	-0.00573000962972006	0.0214904460712363
145	-0.0143110527964528	-0.0145220258574839	0.0406240401108951
146	-0.00300045854714729	-0.00543577228892759	0.0174715185399468
