SampleID	PC1	PC2	PC3
13L.N2	-0.162214123849666	0.224234430809604	-0.112236092828557
13N.N1	-0.351375469044681	0.0153679367854047	-0.298440932763965
13N.N2	-0.152214552920442	0.295725894140933	-0.10842786635561
14R.N2	-0.0341941603746009	0.194494464515063	0.115160311994124
17N.N2	0.18788215082898	-0.00953592409230453	0.117619914764611
18R.N2	0.247791407522416	-0.245806124954638	-0.340189089623098
13L.N1	-0.304982948471119	0.018974034234921	0.0355900855887003
14L.N1	-0.163401644400348	-0.0100885635378094	0.222690219041918
20N.N1	0.090293312652597	-0.218997082296851	0.21647182623219
18L.N1	0.221534111032607	0.120705210990892	0.0947693974807239
16R.N1	-0.250219595450202	-0.164848532847933	0.137767484907925
14L.N2	0.0965931221559646	0.335521142018735	-0.113209211304396
20N.N2	-0.00249348254294145	0.0822069352005376	-0.0158894631216983
18L.N2	0.335351837028026	0.167946285201102	-0.25035946096406
16R.N2	-0.06931007906021	0.119539568415614	0.0808255557421304
15L.N1	-0.0119160507371076	-0.193390135047736	0.213867403238181
19R.N1	-0.249678038431115	-0.256075481846406	-0.306107699797109
17R.N1	0.336540846339032	0.0484494031015186	0.157199097190702
15L.N2	0.0169916117430349	0.209244305651096	0.117891501111997
19R.N2	-0.151278641895752	-0.131564411906561	-0.0699606470608958
17R.N2	0.277328902000111	0.161623833178107	0.0296879032812486
18R.N1	0.19518365599079	-0.36356207633295	-0.440618895371478
14R.N1	-0.19922874288392	0.0311262873420692	0.14671403864015
17N.N1	0.0970165727685464	-0.431291398722409	0.369184619976267
