Feature	Intercept_mean	C(NASH_category, Treatment('Non_NASH'))[T.NA]_mean	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_mean	Intercept_std	C(NASH_category, Treatment('Non_NASH'))[T.NA]_std	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_std	Intercept_hdi	C(NASH_category, Treatment('Non_NASH'))[T.NA]_hdi	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_hdi
2384	-11.174262354450025	-1.1759056461699986	-0.133792552812	4.238469346082981	4.461888916316041	4.365404482731237	(-18.8758, -3.37425)	(-9.8515, 6.85524)	(-8.38296, 7.74888)
4488	-12.791968300000004	-0.4273419472875007	-0.2780767538726453	0.2731081471782016	0.34659499549012196	0.34329071601843064	(-13.3032, -12.2969)	(-1.11488, 0.178043)	(-0.918735, 0.351091)
1403	-9.459080025000004	-3.8327282228000046	0.3948930347950002	0.9314043601409381	1.1897839908843297	1.1703604618924826	(-10.9404, -7.53423)	(-5.95888, -1.55852)	(-1.95501, 2.47458)
920	-6.239259250000002	-5.7138208300000075	0.11166662259799999	0.5241301064708429	0.6327299191862281	0.6576649280685566	(-7.17029, -5.24705)	(-6.9135, -4.54836)	(-1.15521, 1.29051)
1610	-9.823131759999995	-1.0947200791500014	-0.28534543292	0.23283211512526034	0.28639331886292924	0.2904074477417224	(-10.2662, -9.40339)	(-1.64516, -0.598796)	(-0.835452, 0.257745)
3755	-12.942620740000008	-0.068909463886	0.09530773506999993	1.8585338825449353	2.1155888661137996	2.151757658119253	(-15.983, -9.3128)	(-4.12174, 3.98989)	(-4.25423, 3.77036)
2347	-10.139775629500011	-1.5969839789899996	0.6473779682021997	2.9249770756346285	3.703281576185135	3.2087186863586727	(-15.192, -4.8246)	(-8.40268, 5.69502)	(-5.86351, 6.46278)
1688	-10.158253184999989	-4.001062282499999	-0.5122723712944988	0.604976055653367	0.7263533944992631	0.7731851516223263	(-11.2017, -9.00628)	(-5.34436, -2.60586)	(-2.0314, 0.814473)
3200	-11.325655854999987	0.5370104309000002	0.5772990015020011	0.3891846949465884	0.47003012333887223	0.480012904749515	(-12.0251, -10.5819)	(-0.408879, 1.38941)	(-0.259856, 1.54549)
4410	-8.750969349999997	-0.900125362944	0.1938077178745	0.4701111143230687	0.5929084727603071	0.5963174015898012	(-9.65075, -7.92301)	(-1.9201, 0.263434)	(-0.904712, 1.31054)
