Name	FeatureID	mz	RT	Compound_Name.x	LibraryQualityString	SharedPeaks	LibraryName	MQScore	MassDiff	MZErrorPPM	Adduct	IonMode	mtb_group	ratio	min	max	cred	cat	collection_time	disease_stage
2154 m/z 491.3121034 unknown	2154	491.3121034	5.334353764	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-3.361852518435	-11.5942	6.05559	not_credible	Non_NASH	ZT1	Wk 4
1004 m/z 331.0746317 unknown	1004	331.0746317	4.990282604	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-3.34102139367	-12.4085	6.69937	not_credible	Non_NASH	ZT1	Wk 4
1614 m/z 357.1296111 unknown	1614	357.1296111	0.823054095	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-3.03639567167	-6.33814	0.0318726	not_credible	Non_NASH	ZT1	Wk 4
3850 m/z 455.7153045 unknown	3850	455.7153045	2.522191323	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.99030838603	-8.32721	2.04545	not_credible	Non_NASH	ZT1	Wk 4
883 m/z 524.2603141 unknown	883	524.2603141	2.581299471	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.88697506245	-4.84848	-0.770529	credible	Non_NASH	ZT1	Wk 4
4191 m/z 507.2735853 bile acids	4191	507.2735853	4.795269209	NA	NA	NA	NA	NA	NA	NA	NA	NA	bile acids	-2.8565326726095	-12.947	7.00537	not_credible	Non_NASH	ZT1	Wk 4
2249 m/z 439.1838723 unknown	2249	439.1838723	2.640548343	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.70647253637	-7.8898	3.62427	not_credible	Non_NASH	ZT1	Wk 4
2857 m/z 640.3460697 unknown	2857	640.3460697	7.128066302	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.690908172095	-6.10658	0.333512	not_credible	Non_NASH	ZT1	Wk 4
746 1-beta-D-Glucopyranosyl-L-tryptophan unknown	746	367.1506829	0.96181796	1-beta-D-Glucopyranosyl-L-tryptophan	Bronze	14	lib-00045.mgf	0.802996	0.000701904	1.91176	M+H	Positive	unknown	-2.673954681165	-5.06125	0.0107143	not_credible	Non_NASH	ZT1	Wk 4
3895 m/z 668.36136 unknown	3895	668.36136	2.96771613	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.612768934285	-4.51866	-0.806307	credible	Non_NASH	ZT1	Wk 4
1648 m/z 410.1483048 unknown	1648	410.1483048	0.950367781	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.59466889697	-5.65567	0.305743	not_credible	Non_NASH	ZT1	Wk 4
2487 m/z 517.3731809 unknown	2487	517.3731809	7.354599761	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-2.517284868582	-11.9878	6.73943	not_credible	Non_NASH	ZT1	Wk 4
4028 m/z 361.1832256 fatty acids & other lipids	4028	361.1832256	6.184130538	NA	NA	NA	NA	NA	NA	NA	NA	NA	fatty acids & other lipids	-2.49030025633993	-8.50952	3.40341	not_credible	Non_NASH	ZT1	Wk 4
