Feature	Intercept_mean	C(NASH_category, Treatment('Non_NASH'))[T.NA]_mean	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_mean	Intercept_std	C(NASH_category, Treatment('Non_NASH'))[T.NA]_std	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_std	Intercept_hdi	C(NASH_category, Treatment('Non_NASH'))[T.NA]_hdi	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_hdi
584	-8.378952654999999	0.13494069673560002	0.3222945859254999	0.3863782029165218	0.46831830123353835	0.4958422619082682	(-9.08265, -7.6777)	(-0.698271, 1.00185)	(-0.652008, 1.20817)
2385	-15.567890824999978	0.006848077124500092	-8.1658759757	2.011793107576491	2.320633711281596	3.763565484040836	(-18.9253, -12.191)	(-4.42326, 4.34871)	(-15.3528, -1.01527)
675	-8.73381252	0.32213518117999956	-0.09460122269750004	0.333295280334945	0.3921946918836513	0.4322297713938694	(-9.36991, -8.12844)	(-0.418078, 1.05875)	(-0.921834, 0.724115)
3729	-11.568666529999984	0.5442647289749996	0.11760185425599992	0.5718424239933224	0.6592139025020572	0.7108684375425826	(-12.5091, -10.3724)	(-0.711856, 1.80879)	(-1.12633, 1.53725)
1526	-9.269540829999986	0.0027498957606999215	-1.2235671828280006	1.7613329645746165	2.1903277811134982	2.429569041851779	(-12.188, -5.9311)	(-4.19473, 4.19766)	(-5.47879, 3.92064)
3754	-14.763296399999977	-0.3718610931790002	-0.30662604975999985	1.0547010883501735	1.2229751510909526	1.302205738465282	(-16.4727, -12.6885)	(-2.65397, 1.76967)	(-2.76858, 2.09804)
2262	-11.389825770000007	0.25399483717350024	0.052665061345999985	0.4332039771330671	0.5100676183963291	0.5384133016537141	(-12.1254, -10.5852)	(-0.716592, 1.16808)	(-1.04749, 1.00448)
41	-7.257032266999988	-0.38157086548299957	-0.7589077467165001	0.8733501128534872	1.0623814874945612	1.1840321943288652	(-8.78169, -5.77601)	(-2.18902, 1.68744)	(-2.92306, 1.40982)
3797	-9.721261938320012	-0.8138096422850021	0.19270221422000033	4.961244576711399	5.3374497674339745	4.71000770866617	(-19.2974, -0.836174)	(-11.6146, 8.7655)	(-8.09815, 9.02083)
2834	-9.64254644109998	-0.9499252396554998	0.17568683620000003	4.694326306714692	5.107499735957563	4.563371146886131	(-19.1561, -1.46194)	(-10.8563, 8.43258)	(-8.10195, 8.77711)
1744	-11.255591895000032	-0.1919115098319998	-0.4771096866074995	0.6456681442552041	0.7674140222425788	0.8074998855776577	(-12.4233, -10.0475)	(-1.62544, 1.25585)	(-1.92318, 1.08619)
1739	-12.47904982450003	-6.48188898455001	1.3800452201049995	2.9510044527362993	5.1599069682583965	3.2830536771487995	(-17.0863, -6.99271)	(-16.3056, 3.02159)	(-4.53548, 8.0112)
