FeatureID	mz	RT	mtb_group
169	349.2007291	3.96270117	unknown
170	350.2327596	5.328466448	fatty acids & other lipids
171	350.3266265	8.897786935	glycols
172	351.1762217	0.51195514	unknown
173	351.2028093	2.354132169	amines
174	351.2160691	3.915738555	unknown
175	352.3059829	7.670067605	glycols
176	353.2301963	6.06035007	unknown
177	353.2663993	8.351631872	unknown
178	355.1882015	5.310443725	unknown
179	355.2631854	4.908278847	bile acids
180	357.1362756	3.850671824	unknown
181	357.1526247	2.631431561	unknown
182	357.2788843	6.996766701	bile acids
183	361.1752716	7.221466249	unknown
184	361.183406	5.763998251	fatty acids & other lipids
185	362.2077531	2.586836994	unknown
186	362.2176781	2.08545185	unknown
187	363.2529994	9.975155205	unknown
188	363.3105906	8.449973211	glycols
189	364.186984	3.674070353	unknown
190	364.2119215	5.078331469	unknown
191	364.2120913	2.891636514	fatty acids & other lipids
192	364.3422008	9.29966266	glycols
193	365.1361389	7.985317668	unknown
194	365.2775911	5.77469773	unknown
195	366.2275785	4.212529606	fatty acids & other lipids
196	366.321601	8.143344699	glycols
197	367.1628942	4.047897861	unknown
198	368.2429066	3.993797321	unknown
199	368.3160737	8.246854003	unknown
200	369.2427817	7.426918023	unknown
201	371.1274656	3.105601077	bilirubins
202	371.1829011	4.252960075	unknown
203	371.258326	6.654728142	fatty acids & other lipids
204	371.3268883	6.698633855	unknown
205	373.1429024	3.257560901	bilirubins
206	373.2738949	4.910322175	bile acids
207	373.3061411	6.121468542	unknown
208	374.1630382	3.846054691	unknown
209	374.1998728	5.369829024	bile acids
210	375.289409	6.997601014	bile acids
211	376.2153744	5.743901655	bile acids
212	376.2596347	6.354976701	unknown
213	377.145917	2.348847582	unknown
214	377.3262319	8.876526984	glycols
215	378.2026735	1.733285658	unknown
216	378.2308779	5.900941824	fatty acids & other lipids
217	378.2640041	5.324585444	fatty acids & other lipids
218	380.3371964	8.450056097	glycols
219	381.1871026	0.592384925	unknown
220	382.2226252	2.887088103	fatty acids & other lipids
221	384.3472522	9.817019307	unknown
222	385.1430479	3.363183122	bilirubins
223	385.1430496	3.334732547	bilirubins
224	386.2289103	1.726862599	unknown
