FeatureID	mz	mtb_group
1	160.0970046	unknown
2	165.0908821	unknown
3	165.1274632	unknown
4	165.1274591	unknown
5	166.0863467	unknown
6	167.0855274	unknown
7	172.0969347	unknown
8	174.112595	fatty acids & other lipids
9	176.0918416	unknown
10	180.0656709	unknown
11	180.1017792	unknown
12	180.1019327	unknown
13	181.0609277	unknown
14	186.1125621	fatty acids & other lipids
15	188.0707236	unknown
16	188.074163	unknown
17	188.0917918	fatty acids & other lipids
18	189.1234275	amines
19	192.1382491	unknown
20	194.0813218	unknown
21	197.1536284	unknown
22	199.169228	unknown
23	200.1281201	fatty acids & other lipids
24	202.2164908	unknown
25	203.1391433	amines
26	205.0973447	unknown
27	206.0449963	unknown
28	213.0734676	unknown
29	216.0633834	fatty acids & other lipids
30	217.1072785	unknown
31	217.1548351	unknown
32	218.0765837	unknown
33	218.1389276	fatty acids & other lipids
34	218.2115952	unknown
35	219.1340644	amines
36	219.1381386	carnitines
37	220.0640434	unknown
38	220.1181508	unknown
39	220.1368239	unknown
40	222.0797095	unknown
41	226.1439856	fatty acids & other lipids
42	226.1439466	fatty acids & other lipids
43	226.1801489	fatty acids & other lipids
44	228.1958565	fatty acids & other lipids
45	229.0974121	unknown
46	229.1435929	fatty acids & other lipids
47	230.2479631	unknown
48	231.1340346	unknown
49	231.1705775	amines
50	231.1705628	unknown
51	232.9857247	unknown
52	233.0922461	unknown
53	233.1496914	amines
54	238.0452474	unknown
55	239.1391946	unknown
56	240.2322192	unknown
57	242.0999949	unknown
58	244.1907176	fatty acids & other lipids
59	244.1907673	fatty acids & other lipids
60	245.095715	unknown
61	245.1862162	unknown
62	246.2428292	unknown
63	248.1679681	fatty acids & other lipids
64	250.038284	unknown
65	250.1121846	unknown
66	250.1779035	unknown
67	251.0486881	unknown
68	256.1695898	unknown
69	258.2792901	unknown
70	262.1111993	unknown
71	262.2377507	unknown
72	267.1720923	unknown
73	267.1743591	unknown
74	269.1902547	unknown
75	269.2588366	unknown
76	270.279144	unknown
77	274.1110671	unknown
78	274.2741514	unknown
79	275.1640469	unknown
80	275.2582002	glycols
81	276.1267504	unknown
82	279.0935665	unknown
83	279.159191	unknown
84	281.1729464	unknown
85	281.1729194	unknown
86	288.2533403	unknown
87	289.09739	unknown
88	290.1599074	unknown
89	290.2690444	unknown
90	291.1705829	bilirubins
91	291.17059	bilirubins
92	291.2530826	glycols
93	294.2065431	unknown
94	295.0784361	unknown
95	295.2268511	fatty acids & other lipids
96	297.1809366	unknown
97	297.1850444	unknown
98	299.200741	unknown
99	300.2897695	unknown
100	301.1411217	unknown
101	301.2162451	unknown
102	302.214853	unknown
103	303.1705506	bilirubins
104	304.1757997	unknown
105	304.2484738	unknown
106	304.3000213	unknown
107	305.1860871	bilirubins
108	307.165412	unknown
109	309.2059537	unknown
110	309.2577316	unknown
111	310.2352784	unknown
112	310.3104228	fatty acids & other lipids
113	311.0807259	unknown
114	311.1853557	unknown
115	311.1965255	amines
116	311.2557691	unknown
117	313.179783	bilirubins
118	314.2076484	unknown
119	314.2803503	amines
120	315.1956664	bilirubins
121	316.212161	unknown
122	316.2272676	unknown
123	316.2848075	unknown
124	317.2062112	unknown
125	318.3004317	unknown
126	319.1390491	unknown
127	319.1651421	bilirubins
128	319.1903759	unknown
129	319.2844144	glycols
130	321.0632177	unknown
131	323.1603899	bilirubins
132	323.1833602	unknown
133	326.0379651	unknown
134	326.3054139	fatty acids & other lipids
135	326.3782166	unknown
136	327.0083556	unknown
137	327.078246	unknown
138	327.1414088	unknown
139	327.1593055	unknown
140	328.2233033	amines
141	328.3210898	unknown
142	329.0053644	unknown
143	329.1747989	unknown
144	330.3368076	unknown
145	331.1904064	bilirubins
146	332.2221457	bilirubins
147	333.2059573	unknown
148	333.2999675	unknown
149	335.2213886	unknown
150	336.3109339	glycols
151	338.2667491	unknown
152	339.1932164	unknown
153	340.2595802	unknown
154	343.1300211	unknown
155	343.1351186	unknown
156	343.1542102	unknown
157	343.2956597	unknown
158	344.2069362	unknown
159	344.2796498	unknown
160	344.3160575	unknown
161	345.1809381	amines
162	345.2175091	unknown
163	345.2376661	unknown
164	347.1854488	unknown
165	347.1854993	unknown
166	347.3156673	glycols
167	348.0199394	unknown
168	348.2169446	bilirubins
169	349.2007291	unknown
170	350.2327596	bilirubins
171	350.3266265	glycols
172	351.1762217	unknown
173	351.2028093	amines
174	351.2160691	unknown
175	352.3059829	glycols
176	353.2301963	unknown
177	353.2663993	unknown
178	355.1882015	unknown
179	355.2631854	bile acids
180	357.1362756	unknown
181	357.1526247	unknown
182	357.2788843	bile acids
183	361.1752716	unknown
184	361.183406	bilirubins
185	362.2077531	unknown
186	362.2176781	unknown
187	363.2529994	unknown
188	363.3105906	glycols
189	364.186984	unknown
190	364.2119215	unknown
191	364.2120913	bilirubins
192	364.3422008	glycols
193	365.1361389	unknown
194	365.2775911	unknown
195	366.2275785	bilirubins
196	366.321601	glycols
197	367.1628942	unknown
198	368.2429066	unknown
199	368.3160737	unknown
200	369.2427817	unknown
201	371.1274656	bilirubins
202	371.1829011	unknown
203	371.258326	unknown
204	371.3268883	unknown
205	373.1429024	bilirubins
206	373.2738949	bile acids
207	373.3061411	unknown
208	374.1630382	unknown
209	374.1998728	bile acids
210	375.289409	bile acids
211	376.2153744	bile acids
212	376.2596347	unknown
213	377.145917	unknown
214	377.3262319	glycols
215	378.2026735	unknown
216	378.2308779	fatty acids & other lipids
217	378.2640041	bilirubins
218	380.3371964	glycols
219	381.1871026	unknown
220	382.2226252	bilirubins
221	384.3472522	unknown
222	385.1430479	bilirubins
223	385.1430496	bilirubins
224	386.2289103	unknown
225	386.2535728	unknown
226	387.1584831	bilirubins
227	388.2544303	glycols
228	389.2688116	unknown
229	389.3049963	carnitines
230	390.1580677	unknown
231	390.2385173	amines
232	390.297972	unknown
233	391.2845568	unknown
234	391.3417958	unknown
235	392.3160408	unknown
236	393.1521028	unknown
237	393.2236663	unknown
238	393.2862586	unknown
239	393.3088465	unknown
240	394.3529734	glycols
241	395.1808323	unknown
242	396.3322425	glycols
243	397.2119778	unknown
244	397.2120724	unknown
245	397.2205231	unknown
246	399.227797	bilirubins
247	399.2508506	unknown
248	399.3584152	unknown
249	400.3420101	carnitines
250	401.3378062	unknown
251	401.3415825	unknown
252	402.2312276	bile acids
253	405.1685644	unknown
254	405.1685668	unknown
255	406.2953231	unknown
256	406.3292132	unknown
257	407.2793918	unknown
258	408.3110014	bile acids
259	408.3684681	glycols
260	410.2208513	unknown
261	410.3264545	unknown
262	410.3482695	glycols
263	411.250687	unknown
264	412.2363868	unknown
265	412.3059216	bile acids
266	413.2250712	unknown
267	413.266469	unknown
268	413.3051895	unknown
269	414.2848605	unknown
270	414.321491	unknown
271	415.133989	unknown
272	415.211622	unknown
273	415.2818031	unknown
274	415.3208422	bile acids
275	417.2962311	unknown
276	417.3364821	carnitines
277	417.3364602	bile acids
278	419.2430132	unknown
279	421.2327171	unknown
280	421.3176382	unknown
281	422.326607	unknown
282	423.2743287	unknown
283	424.3057616	bile acids
284	424.3635587	glycols
285	425.2146116	unknown
286	426.3214476	bile acids
287	426.3217698	bile acids
288	426.3579275	carnitines
289	427.2668956	unknown
290	427.3571941	unknown
291	427.389576	unknown
292	428.2103178	carnitines
293	428.3735754	carnitines
294	429.2613251	unknown
295	429.3189086	unknown
296	430.1896253	unknown
297	431.2771629	unknown
298	431.2772306	unknown
299	431.3119718	unknown
300	431.3158051	bile acids
301	431.3521658	carnitines
302	432.205038	unknown
303	432.2382076	unknown
304	432.280738	glycols
305	432.3598071	carnitines
306	433.2324135	unknown
307	434.2385624	unknown
308	434.3264942	unknown
309	434.3629787	unknown
310	435.1562962	unknown
311	435.2483681	unknown
312	436.2366624	unknown
313	436.3422225	unknown
314	437.1934609	unknown
315	437.2639874	unknown
316	438.3577103	unknown
317	438.3790399	glycols
318	440.2774221	amines
319	440.3261106	unknown
320	441.3364328	unknown
321	442.2550032	unknown
322	442.3165511	bile acids
323	443.3519608	unknown
324	443.3884808	bile acids
325	444.2418603	unknown
326	445.367709	unknown
327	445.367697	unknown
328	446.3751178	carnitines
329	447.3467559	carnitines
330	448.3422295	unknown
331	448.354477	carnitines
332	450.3579279	bile acids
333	450.3788891	fatty acids & other lipids
334	451.2997029	unknown
335	452.2830965	unknown
336	452.3735392	bile acids
337	452.3946447	glycols
338	453.16738	unknown
339	453.3188397	unknown
340	453.3438484	unknown
341	454.2929764	amines
342	454.3417113	unknown
343	455.3138697	unknown
344	455.3343408	unknown
345	457.3289881	unknown
346	459.3468846	unknown
347	460.2695052	unknown
348	460.3543796	carnitines
349	461.2680978	unknown
350	461.3626149	unknown
351	462.2591351	unknown
352	462.2673419	bile acids
353	462.3699519	carnitines
354	463.378137	unknown
355	464.2835405	unknown
356	466.3528764	bile acids
357	466.3892954	carnitines
358	468.3573446	unknown
359	468.389679	glycols
360	469.2928331	unknown
361	470.2287235	unknown
362	471.3089511	unknown
363	471.3444622	unknown
364	473.2405801	unknown
365	473.3243205	unknown
366	476.3069088	glycols
367	478.2626147	unknown
368	479.2383865	unknown
369	480.2779545	bile acids
370	481.2540096	unknown
371	482.3242682	amines
372	482.3299599	unknown
373	482.3302257	unknown
374	482.347655	bile acids
375	482.4052696	glycols
376	483.2696784	unknown
377	483.3811465	unknown
378	484.3523074	unknown
379	484.3635166	bile acids
380	485.1600392	unknown
381	485.3602675	unknown
382	487.3055324	unknown
383	487.3398141	unknown
384	487.3760381	unknown
385	488.2459567	unknown
386	490.2834873	bile acids
387	493.2473614	unknown
388	495.3083924	unknown
389	496.2730096	unknown
390	496.3399836	phosphocholines
391	496.4208801	glycols
392	497.1341217	unknown
393	498.288492	bile acids
394	499.2649322	unknown
395	499.3203476	bile acids
396	499.3394377	unknown
397	500.3044869	bile acids
398	501.3342207	unknown
399	501.3551979	unknown
400	503.2358072	unknown
401	504.2626318	bile acids
402	505.2514923	unknown
403	506.278319	bile acids
404	507.3103575	unknown
405	508.4359645	unknown
406	509.2180169	unknown
407	509.287329	unknown
408	512.4156904	glycols
409	514.2833765	unknown
410	515.3146917	unknown
411	516.2743835	unknown
412	516.298953	bile acids
413	517.2208692	unknown
414	517.3308596	bile acids
415	519.3102297	bile acids
416	520.2704007	bile acids
417	520.2936576	bile acids
418	520.3330218	glycols
419	524.3711662	phosphocholines
420	526.2574659	unknown
421	526.431203	glycols
422	531.200058	unknown
423	531.3096924	unknown
424	533.2155379	unknown
425	533.3254408	bile acids
426	534.2736546	unknown
427	534.2735956	unknown
428	535.3048886	unknown
429	537.3206515	unknown
430	540.4469125	glycols
431	542.2520404	unknown
432	542.2897112	unknown
433	546.3095284	bile acids
434	548.3252217	bile acids
435	550.2460197	unknown
436	550.3409058	bile acids
437	551.2648098	unknown
438	554.175998	unknown
439	556.4420168	glycols
440	560.2888569	unknown
441	562.2866886	unknown
442	562.3045278	unknown
443	563.299975	bile acids
444	563.3364072	unknown
445	564.3202601	bile acids
446	564.3594662	glycols
447	566.3359785	unknown
448	570.3213137	unknown
449	570.457601	glycols
450	571.0350575	unknown
451	573.0319968	unknown
452	577.3499724	unknown
453	579.1619578	unknown
454	584.4733729	glycols
455	585.2701674	unknown
456	588.0616287	unknown
457	589.3019908	unknown
458	590.0586089	unknown
459	591.3179386	unknown
460	593.0170447	unknown
461	593.3340255	unknown
462	594.240121	unknown
463	594.2401482	unknown
464	595.0139789	unknown
465	595.3492278	bilirubins
466	595.352547	unknown
467	596.2557051	bile acids
468	597.3649918	bilirubins
469	597.4489632	unknown
470	600.4682793	glycols
471	602.2429904	unknown
472	607.3126114	bilirubins
473	607.3126627	bilirubins
474	608.3857034	unknown
475	609.2516214	unknown
476	609.2878675	unknown
477	609.3284745	bilirubins
478	611.2669793	unknown
479	611.3034498	bile acids
480	611.3441126	bilirubins
481	614.2647969	unknown
482	614.4839108	glycols
483	615.2790847	unknown
484	615.3150207	unknown
485	615.3152976	unknown
486	616.2221143	bile acids
487	617.3313142	unknown
488	618.0899361	unknown
489	618.2377985	bile acids
490	619.3468954	unknown
491	628.1947404	unknown
492	628.330684	unknown
493	628.499669	glycols
494	629.2778235	unknown
495	630.3084592	bile acids
496	637.297404	unknown
497	638.2042018	unknown
498	639.3132389	unknown
499	641.3140269	bile acids
500	644.4945454	glycols
501	649.2135473	unknown
502	651.2291279	unknown
503	655.2764871	unknown
504	658.5101945	glycols
505	665.185841	unknown
506	667.2013866	unknown
507	672.5259364	glycols
508	673.2899214	unknown
509	675.3053793	bilirubins
510	679.5119774	unknown
511	688.5208577	glycols
512	702.5364673	glycols
513	749.165363	unknown
514	766.1921187	unknown
515	785.592482	unknown
516	802.6185183	unknown
517	807.5742734	unknown
518	823.5450733	unknown
519	829.5562432	unknown
520	839.5109021	unknown
521	839.5641248	unknown
522	865.5327561	unknown
523	919.9203316	bile acids
524	928.4340326	bile acids
525	945.46044	bile acids
526	1208.529716	bile acids
527	1221.847768	unknown
528	1225.556228	unknown
529	1242.582619	bile acids
530	153.113417	unknown
531	163.1329664	unknown
532	171.1856232	unknown
533	172.0968676	unknown
534	176.0377525	unknown
535	182.0786789	unknown
536	183.1492498	unknown
537	188.1282208	fatty acids & other lipids
538	190.0499812	unknown
539	196.0944246	unknown
540	203.1101773	unknown
541	204.0691974	unknown
542	209.153674	unknown
543	211.1692033	unknown
544	215.1391971	unknown
545	216.1233126	fatty acids & other lipids
546	223.1692734	fatty acids & other lipids
547	224.0412544	unknown
548	225.1099359	unknown
549	227.102746	unknown
550	229.1548803	unknown
551	231.1416536	fatty acids & other lipids
552	237.0694518	unknown
553	238.143921	fatty acids & other lipids
554	240.1596007	fatty acids & other lipids
555	245.1862087	unknown
556	246.1700952	fatty acids & other lipids
557	247.1289639	unknown
558	248.1133151	unknown
559	249.1271855	unknown
560	250.1111435	unknown
561	251.1618912	unknown
562	254.9936066	unknown
563	257.981158	unknown
564	260.1858604	unknown
565	261.1445971	amines
566	263.1028528	unknown
567	263.1391878	unknown
568	263.142764	unknown
569	265.1549324	unknown
570	267.1721383	unknown
571	274.1835623	unknown
572	274.2376141	unknown
573	275.1064158	unknown
574	276.97561	unknown
575	279.1341225	unknown
576	279.1341295	unknown
577	279.1705477	unknown
578	293.1345777	unknown
579	295.1655366	unknown
580	297.1850435	unknown
581	298.0971896	unknown
582	302.1237181	unknown
583	302.2075062	amines
584	302.2076797	amines
585	302.3054671	unknown
586	303.1705338	bilirubins
587	305.2474492	unknown
588	310.128709	unknown
589	318.1815839	unknown
590	318.1914137	unknown
591	318.2026253	amines
592	318.3003679	fatty acids & other lipids
593	321.1480825	unknown
594	321.1807288	bilirubins
595	325.0893496	unknown
596	328.1393507	unknown
597	329.2474455	unknown
598	332.2180616	amines
599	332.3312494	unknown
600	334.1651088	unknown
601	337.1047461	unknown
602	341.6800271	unknown
603	343.1370544	unknown
604	344.2282922	glycols
605	346.1684907	unknown
606	348.1768956	amines
