CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
3266	3680	5	0.8406	60.021
2746	2757	5	0.8719	-18.011
3445	3985	5	0.8344	12.000
963	964	5	1.0	0.000
2221	3518	5	0.8512	-36.021
2049	3680	5	0.8605	18.995
2660	3242	5	0.8259	30.047
3252	3257	5	0.8078	-18.009
1264	3552	5	0.9535	0.000
970	3598	5	0.846	-18.011
997	3985	5	0.8827	-2.016
969	3096	5	0.8746	10.021
2660	3981	5	0.8307	-28.031
3257	4054	5	0.8656	-23.942
968	3430	5	0.9395	0.000
967	3480	5	0.8993	-14.016
2040	2459	5	0.8796	-0.000
95	2973	5	0.8186	2.016
967	968	5	0.8908	-0.000
1720	2414	5	0.8384	-42.011
990	2588	5	0.9453	3.995
997	3242	5	0.8278	61.053
3515	3598	5	0.8695	18.011
546	3955	5	0.8149	-42.083
3430	3480	5	0.8828	-14.016
2219	3480	5	0.9511	0.000
2588	2800	5	0.8747	-89.995
3263	3680	5	0.8256	42.995
3518	3598	5	0.8937	32.026
216	2459	5	0.8384	44.967
997	3257	5	0.9028	-30.993
967	3678	5	0.8919	-0.000
1001	3253	5	0.8742	-17.027
1264	3480	5	0.9174	0.000
1001	1030	5	0.9134	-31.042
3480	3552	5	0.9649	-0.000
2795	2808	5	0.918	-28.031
3430	3552	5	0.9116	-14.016
738	4354	5	0.992	0.000
2221	3257	5	0.8044	-60.020
1392	2973	5	0.8186	2.016
3552	3678	5	0.9339	14.016
1720	3445	5	0.8566	-41.027
1491	2040	5	0.9053	314.246
1001	2040	5	0.9548	-3.995
1261	3678	5	0.9337	0.000
3096	3101	5	0.9362	-18.010
977	2040	5	0.9226	-36.021
738	3991	5	0.9395	0.000
2219	3678	5	0.9416	14.016
977	2974	5	0.9137	0.000
2221	3598	5	0.8501	-3.995
1030	2049	5	0.8745	13.032
997	1404	5	0.8151	2.016
3242	3955	5	0.8133	-2.016
1264	3108	5	0.9418	0.000
990	3096	5	0.9015	46.042
969	977	5	0.9739	-18.011
2757	3515	5	0.8298	-28.031
3552	3694	5	0.9095	-3.995
4029	4054	5	0.837	-18.010
3480	3678	5	0.9086	14.016
1109	2251	6	0.8811	13.979
1447	2815	6	0.8403	13.979
1095	2815	6	0.9125	0.000
1109	1447	6	0.8323	0.000
1071	3621	6	0.9921	-0.000
1095	2251	6	0.9715	0.000
1447	2251	6	0.9045	13.979
2620	3621	6	0.9091	13.978
1071	2128	6	0.8789	-13.979
1068	3621	6	0.9048	-2.016
1109	2620	6	0.7967	15.996
2815	3621	6	0.844	15.995
1095	1109	6	0.8651	-13.979
1071	2251	6	0.8777	-15.995
1071	1095	6	0.8547	-15.995
1068	2251	6	0.8076	-18.011
2128	2620	6	0.9318	0.001
1068	1095	6	0.7926	-18.011
1447	2620	6	0.7832	15.996
2128	3621	6	0.8885	13.979
1071	2815	6	0.8451	-15.995
1447	2128	6	0.784	15.995
2251	3621	6	0.8789	15.995
1068	2103	6	0.8637	18.010
1071	2620	6	0.9062	-13.978
1109	2815	6	0.8825	13.979
1068	1071	6	0.9043	-2.016
2251	2815	6	0.9258	0.000
1068	2815	6	0.8172	-18.011
1095	1447	6	0.9002	-13.979
1095	3621	6	0.856	15.995
418	511	7	0.9356	-168.188
129	740	7	0.8573	-17.027
391	454	7	0.9639	-88.052
262	1833	7	0.9161	28.032
259	4099	7	0.9698	0.000
214	1710	7	0.8523	138.177
408	470	7	0.9579	-88.053
1710	1792	7	0.915	-44.026
366	470	7	0.9567	-124.161
449	454	7	0.9805	-14.016
227	304	7	0.9716	-44.026
240	317	7	0.924	-44.026
439	449	7	0.9776	-14.016
470	4163	7	0.9366	124.161
1722	4124	7	0.922	-132.079
493	507	7	0.9286	-44.026
430	493	7	0.9506	-88.053
166	192	7	0.9432	-17.026
259	4184	7	0.9433	-88.052
408	511	7	0.9287	-176.105
259	391	7	0.9618	-88.052
1890	1909	7	0.9271	-44.026
418	604	7	0.9594	176.105
359	439	7	0.9636	-88.052
92	150	7	0.8374	-45.058
4130	4144	7	0.9587	-14.015
408	439	7	0.9735	-44.026
1710	1722	7	0.9299	-61.053
317	4169	7	0.9522	-44.026
171	240	7	0.9163	-44.026
227	418	7	0.9722	-132.079
175	214	7	0.8758	-25.020
391	430	7	0.9711	-44.026
511	512	7	0.9372	-14.016
227	366	7	0.9746	-88.052
240	4076	7	0.9407	-0.000
1659	1925	7	0.8633	263.247
449	482	7	0.9602	-44.026
439	511	7	0.9355	-132.079
242	1909	7	0.9079	-132.078
304	366	7	0.9726	-44.026
304	446	7	0.9638	-132.079
304	449	7	0.9397	-138.177
421	4205	7	1.0	0.000
4124	4163	7	0.9344	-44.026
196	1880	7	0.8496	-88.052
366	418	7	0.9761	-44.026
214	218	7	0.9028	-3.011
421	482	7	0.9504	-88.053
175	218	7	0.9263	-28.031
214	240	7	0.9274	-17.027
1865	1880	7	0.8841	-28.031
227	446	7	0.9669	-176.105
175	3264	7	0.863	-24.961
4169	4233	7	0.945	-88.053
