Animal	zt_time_binned	condition	mn_RER	sd_RER	mn_MotorAct	sd_MotorAct	mn_WaterCons	sd_WaterCons	mn_kcal_hr_M	sd_kcal_hr_M	mn_FoodCons	sd_FoodCons	mn_kcalCons	sd_kcalCons	mn_Sleep_pct_M	sd_Sleep_pct_M
1	1	FT	0.6735408	0.033652442214199	0.584556775	0.553580517501296	0.1939515	0.0755793153382595	0.455745425	0.0109192881551791	0	0	0	0	67.743055	33.5170895036592
1	5	FT	0.688006216666667	0.0836963633976773	0.5093662	0.639085998024275	0.0574271191666668	0.0747678254726279	0.393493683333333	0.0565499314416084	0	0	0	0	76.1643514166667	30.6259909669253
1	9	FT	0.6736603375	0.0129005869238505	0.1982346	0.28180811572546	0.0234659499999999	0.0288184709103132	0.3471099375	0.0423553299504809	0	0	0	0	89.7256925	14.3281476540487
1	13	FT	0.6966822125	0.00963054446397912	0.5613675	0.582335039081701	0.2260515125	0.339178851558438	0.4237405875	0.0977203141831602	0.089611325	0.143167590639009	0.46687500325	0.745903147229235	66.22222125	33.7166912326934
1	17	FT	0.6643168	0.0105518146957898	0.941062625	0.494923027015294	0.66698475	0.101657505730552	0.5642844125	0.0342871250107274	0.23734805	0.0851408364188922	1.2365833405	0.443583757742428	42.17014	25.6531379786679
1	21	FT	0.6420336625	0.0302668256369406	0.65389625	0.331965417866186	0.413135125	0.0890425694027259	0.5234043375	0.029730762189977	0.2127185	0.236654950512344	1.108263385	1.23297229216931	58.3645825	21.1270786442246
11	1	NA	0.78580885	0.00380336062844429	1.29163375	0.235652636500386	2.20885	0.324962612926474	0.64021465	0.0157052826638046	1.6164425	0.545150762167374	5.01097175	1.68996736271886	25.08333	9.85927190673159
11	5	NA	0.754707125	0.0618149509056466	0.455577608333333	0.467708088980106	0.730445058333333	0.575413108616159	0.466352591666667	0.0687636568880877	0.551556041666666	0.500498402708488	1.70982372916667	1.55154504839631	71.9537028333333	27.5969558596967
11	9	NA	0.6972553625	0.0341577515760934	0.3882534875	0.329179005077513	0.692637	0.425947471821183	0.445297025	0.0444837171469597	0.354386625	0.390758141379381	1.0985985375	1.21135023827608	75.74652625	18.7143859131669
11	13	NA	0.69461815	0.025738025787261	0.4793722375	0.359490678086404	0.932918125	0.643540929247692	0.4965539125	0.100919066466712	0.4834045	0.458007649789514	1.49855395	1.41982371434749	69.3541675	26.5359072987612
11	17	NA	0.759379425	0.0163438552921019	0.88529725	0.525611416847957	2.04862775	0.529002184066303	0.5853101	0.0891151739785094	1.6980835	1.10599012967672	5.26405885	3.42856940199784	46.9791675	34.8710934582837
11	21	NA	0.7836585875	0.0182325403146162	0.768705375	0.268417288142356	1.764105	0.385837967101662	0.5789290375	0.049126797531081	0.88320125	0.67489932503062	2.737923875	2.09218790759492	52.74652875	15.6619284015579
12	1	FT	0.689964725	0.0129010620041853	0.96562175	0.619842371939498	0.17677825	0.0729530051854148	0.5220897	0.0340937753404733	0	0	0	0	56.34027775	31.9419349026581
12	5	FT	0.664220241666667	0.0210685979761548	0.575613491666666	0.587244349775382	0.0378519916666666	0.066527525443485	0.458052283333333	0.0798343860915701	0	0	0	0	71.5740741666667	29.2346173239312
12	9	FT	0.649166025	0.0186956513174091	0.24454970625	0.231654680185503	0.00354127500000007	0.0065819630748955	0.395002575	0.0187689854443631	0	0	0	0	88.2604175	9.70234755600159
12	13	FT	0.655322	0.0222131244312906	0.9578257725	0.554355484731297	0.2569306875	0.37308948000832	0.549049875	0.133968229213675	0.1403229	0.168106405354092	0.731082309	0.875834371894819	48.031250125	32.231484580536
