DateTime	DurationMin	Animal	VO2_M	VCO2_M	VH2O_M	kcal_hr_M	RER_M	FoodInA_M	WaterInA_M	BodyMass_Mnz	PedSpeed_Mnz	PedMeters_M	PedMeters_R	AllMeters_M	AllMeters_R	XBreak_R	YBreak_R	EnviroTemp_M	EnviroRH_M	EnviroBP_M	EnviroLightlux_M	EnviroOccupancy_M	EnviroSound_M	Still_pct_M	Sleep_pct_M	WaterCons	FoodCons	food_cumulative	Group	Mouse_ID	Age	MotorActivity	DateTime_hour	condition	zt_hour	phase	kcalCons	cumulative_Kcal	tot_kcal_cons	percent_cumulative_Kcal	zt_time_binned
2021-03-04 21:37:33	60	1	1.20027	0.7691195	0.2377059	0.3348547	0.6423138	1.711399	5.846931	24.40877	0	314.8985	0	332.7876	0	0	0	23.92613	56.09622	101.301	144	11.80624	8550.951	100	100	0	0	3.422798	FT	3R	15 weeks	0	21	FT	0	light	0	0	22.49377383	0	5
2021-03-05 21:37:33	60	1	1.453061	0.9523731	0.2594625	0.4067903	0.6538695	4.317423	12.11771	25.55265	0.01309659	578.3734	0.590332	605.5944	0.7460938	119	211	23.95156	57.57016	100.6958	143.9317	11.80547	8624.704	96.41666	92.69444	0.254060000000001	0	8.634846	FT	3R	15 weeks	0.1557618	21	FT	0	light	0	0	22.49377383	0	5
2021-03-04 21:37:33	60	11	1.495614	1.124074	0.7973009	0.4282465	0.7559472	21.22066	30.27694	22.80839	0.01844689	168.3672	1.087494	185.815	1.200714	175	114	NA	NA	NA	NA	NA	NA	96.30556	92.80556	1.23109	0.570149999999998	41.87117	NA	11R	15 weeks	0.11322	21	NA	0	light	1.76746499999999	1.76746499999999	147.03780345	0.012020480165844	5
2021-03-05 21:37:33	60	11	1.626742	1.152481	0.8690977	0.4611381	0.9291173	48.26023	64.58681	23.18607	0.01707325	286.2954	1.306305	318.2227	1.360413	135	111	NA	NA	NA	NA	NA	NA	96.52778	94.66666	1.69998	1.01226	95.5082	NA	11R	15 weeks	0.054108	21	NA	0	light	3.13800599999999	4.90547099999999	147.03780345	0.0333619714447658	5
2021-03-04 21:37:33	60	12	1.494421	0.9863958	0.4184529	0.4188279	0.6629617	2.042306	7.631305	22.33121	0.02204249	280.5805	0.556427	306.222	0.5654602	21	33	NA	NA	NA	NA	NA	NA	99.61111	99.5	0.0171739999999998	0	4.084612	FT	6N	15 weeks	0.00903319999999996	21	FT	0	light	0	0	25.39880731	0	5
2021-03-05 21:37:33	60	12	1.921483	1.299871	0.436233	0.5406134	0.6784806	4.875011	15.99854	23.07289	0.01221009	516.7847	11.73828	556.2262	13.02313	2043	2090	NA	NA	NA	NA	NA	NA	69.77778	41.02778	0.23584	0	9.750022	FT	6N	15 weeks	1.28485	21	FT	0	light	0	0	25.39880731	0	5
2021-03-04 21:37:33	60	13	1.51219	0.9944942	0.4102185	0.4235671	0.6584597	2.240555	8.125727	27.58963	0.01124117	268.7772	3.733093	285.942	4.251953	193	1001	NA	NA	NA	NA	NA	NA	89.41666	77.41666	0.195537999999999	0	4.48111	FT	10N	15 weeks	0.51886	21	FT	0	light	0	0	24.49421064	0	5
2021-03-05 21:37:33	60	13	1.432385	0.9917461	0.3520109	0.404514	0.6935039	4.701384	16.30944	27.85876	0.01363842	542.0864	0.6923218	580.8918	0.855835	22	306	NA	NA	NA	NA	NA	NA	96.63889	90.88889	0.178279999999997	0	9.402768	FT	10N	15 weeks	0.1635132	21	FT	0	light	0	0	24.49421064	0	5
2021-03-04 21:37:33	60	14	1.352415	0.862975	0.4761068	0.3770592	0.6567249	4.153996	12.93804	0	0	193.7166	0	211.0124	0	0	0	NA	NA	NA	NA	NA	NA	100	100	0.2271	0.0343309999999999	8.273661	FA	9aR	15 weeks	0	21	FA	0	light	0.178864509999999	0.178864509999999	47.5324227491	0.00376300006722014	5
2021-03-05 21:37:33	60	14	1.433214	0.9556201	0.4862508	0.4023127	0.6678548	9.17293	26.0627	0	0.01475303	368.8606	0.87854	403.5608	0.9703369	84	103	NA	NA	NA	NA	NA	NA	96.61111	95.47222	0.43526	0.0763419999999986	18.269518	FA	9aR	15 weeks	0.0917969	21	FA	0	light	0.397741819999993	0.576606329999992	47.5324227491	0.0121308003390362	5
